function,case,real,group,tc,av,bp,pass,cycles_last_gate,cycles_done,first_source_to_last_gate,words,bytes,source_words,U_words,V_words,A_words,tau_words,config_words,U_updates,V_updates,A_updates,A_scalar_mac,U_cache_reads,zero_source_words,Z_writes,scratch_writes,req_stall,out_stall,phase0,phase1,phase2,phase3,phase4,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,state27,state28,state29,state30,state31,state32,state33,state34,state35,state36,state37,state38,state39,state40,state41,state42,state43,state44,state45,state46,state47,state48,state49,state50,state51,state52,state53,state54,state55,state56,state57,state58,state59,state60,state61,state62,state63
regional_r96_a48,capture0_group305,1,305,1,0,0,0,122372,122373,122046,3564,57024,288,2325,576,13,360,2,8286,14376,1452,11616,3720,399,8526,480,0,0,84,49370,64225,8652,42,1,3564,3564,1,1,1,1,13,13,24,240,1153,288,3654,8835,2325,11076,8286,8286,1,12,588,576,480,23520,23040,14376,480,1,0,480,4800,1452,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group305,1,305,1,0,1,0,131114,131115,130752,3564,57024,288,2325,576,13,360,2,8286,14376,1452,11616,3720,399,8526,480,1280,15,120,55792,65616,9530,57,1,4844,11011,1,1,1,1,13,13,24,240,1153,288,3654,8835,2325,11076,8286,8286,1,12,588,576,480,23520,23040,14376,480,1,0,480,4800,1452,480,360,360,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group305,1,305,1,1,0,0,127430,127431,127104,3564,57024,288,2325,576,13,360,2,8286,23040,726,5799,3720,399,8526,240,0,0,84,49370,74328,3607,42,1,3564,3564,1,1,1,1,13,13,24,240,1153,288,3654,8835,2325,11076,8286,8286,1,12,588,576,480,23520,23040,23040,0,0,1,240,2400,726,240,360,360,480,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group305,1,305,1,1,1,0,136235,136236,135873,3564,57024,288,2325,576,13,360,2,8286,23040,726,5799,3720,399,8526,240,1350,15,120,55792,76660,3607,57,1,4914,11004,1,1,1,1,13,13,24,240,1153,288,3654,8835,2325,11076,8286,8286,1,12,588,576,480,23520,23040,23040,0,0,1,240,2400,726,240,360,360,480,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group609,1,609,0,0,0,0,163228,163229,162686,4394,70304,288,3155,576,13,360,2,14256,22980,1632,13056,5048,233,14736,480,0,0,60,81466,72829,8832,42,1,4394,4394,1,1,1,1,13,13,0,480,1153,288,8436,13251,3155,19304,14256,14256,1,12,588,576,480,23520,23040,22980,480,1,0,480,4800,1632,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group609,1,609,0,0,1,0,173711,173712,173133,4394,70304,288,3155,576,13,360,2,14256,22980,1632,13056,5048,233,14736,480,1630,15,96,89594,74240,9725,57,1,6024,13232,1,1,1,1,13,13,0,480,1153,288,8436,13251,3155,19304,14256,14256,1,12,588,576,480,23520,23040,22980,480,1,0,480,4800,1632,480,360,360,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group609,1,609,0,1,0,0,161144,161145,160602,4394,70304,288,3155,576,13,360,2,14256,23040,1088,6523,5048,233,14736,480,0,0,60,81466,74328,5249,42,1,4394,4394,1,1,1,1,13,13,0,480,1153,288,8436,13251,3155,19304,14256,14256,1,12,588,576,480,23520,23040,23040,0,0,1,480,3200,1088,480,360,360,480,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group609,1,609,0,1,1,0,171650,171651,171072,4394,70304,288,3155,576,13,360,2,14256,23040,1088,6523,5048,233,14736,480,1697,15,96,89594,76655,5249,57,1,6091,13188,1,1,1,1,13,13,0,480,1153,288,8436,13251,3155,19304,14256,14256,1,12,588,576,480,23520,23040,23040,0,0,1,480,3200,1088,480,360,360,480,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group609,1,609,1,0,0,0,146010,146011,145684,4394,70304,288,3155,576,13,360,2,10692,22980,1632,13056,5048,233,10932,480,0,0,84,64224,72829,8832,42,1,4394,4394,1,1,1,1,13,13,24,240,1153,288,4650,11989,3155,14478,10692,10692,1,12,588,576,480,23520,23040,22980,480,1,0,480,4800,1632,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group609,1,609,1,0,1,0,156836,156837,156474,4394,70304,288,3155,576,13,360,2,10692,22980,1632,13056,5048,233,10932,480,1526,15,120,72703,74232,9725,57,1,5920,13679,1,1,1,1,13,13,24,240,1153,288,4650,11989,3155,14478,10692,10692,1,12,588,576,480,23520,23040,22980,480,1,0,480,4800,1632,480,360,360,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
