function,case,real,group,tc,av,bp,pass,cycles_last_gate,cycles_done,first_source_to_last_gate,words,bytes,source_words,U_words,V_words,A_words,tau_words,config_words,U_updates,V_updates,A_updates,A_scalar_mac,U_cache_reads,zero_source_words,Z_writes,scratch_writes,req_stall,out_stall,phase0,phase1,phase2,phase3,phase4,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,state27,state28,state29,state30,state31,state32,state33,state34,state35,state36,state37,state38,state39,state40,state41,state42,state43,state44,state45,state46,state47,state48,state49,state50,state51,state52,state53,state54,state55,state56,state57,state58,state59,state60,state61,state62,state63
regional_r96_a48,capture0_group2438,1,2438,1,0,0,0,136604,136605,136278,3427,54832,288,2188,576,13,360,2,9774,22392,1620,12960,4376,317,10014,480,0,0,84,55418,72241,8820,42,1,3427,3427,1,1,1,1,13,13,24,240,1153,288,4146,9846,2188,13056,9774,9774,1,12,588,576,480,23520,23040,22392,480,1,0,480,4800,1620,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group2438,1,2438,1,0,1,0,144866,144867,144504,3427,54832,288,2188,576,13,360,2,9774,22392,1620,12960,4376,317,10014,480,1244,15,120,61343,73618,9729,57,1,4671,10430,1,1,1,1,13,13,24,240,1153,288,4146,9846,2188,13056,9774,9774,1,12,588,576,480,23520,23040,22392,480,1,0,480,4800,1620,480,360,360,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group2438,1,2438,1,1,0,0,133562,133563,133236,3427,54832,288,2188,576,13,360,2,9774,23040,810,6474,4376,317,10014,240,0,0,84,55418,74328,3691,42,1,3427,3427,1,1,1,1,13,13,24,240,1153,288,4146,9846,2188,13056,9774,9774,1,12,588,576,480,23520,23040,23040,0,0,1,240,2400,810,240,360,360,480,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group2438,1,2438,1,1,1,0,141860,141861,141498,3427,54832,288,2188,576,13,360,2,9774,23040,810,6474,4376,317,10014,240,1307,15,120,61343,76650,3691,57,1,4734,10403,1,1,1,1,13,13,24,240,1153,288,4146,9846,2188,13056,9774,9774,1,12,588,576,480,23520,23040,23040,0,0,1,240,2400,810,240,360,360,480,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group4876,1,4876,0,0,0,0,126436,126437,125870,2999,47984,288,1760,576,13,360,2,9744,15480,1476,11808,2816,512,10224,480,0,0,84,52306,65329,8676,42,1,2999,2999,1,1,1,1,13,13,24,480,1153,288,5088,7392,1760,12560,9744,9744,1,12,588,576,480,23520,23040,15480,480,1,0,480,4800,1476,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group4876,1,4876,0,0,1,0,133529,133530,132927,2999,47984,288,1760,576,13,360,2,9744,15480,1476,11808,2816,512,10224,480,1067,13,120,57110,66704,9541,55,1,4066,9012,1,1,1,1,13,13,24,480,1153,288,5088,7392,1760,12560,9744,9744,1,12,588,576,480,23520,23040,15480,480,1,0,480,4800,1476,480,360,360,0,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group4876,1,4876,0,1,0,0,131904,131905,131338,2999,47984,288,1760,576,13,360,2,9744,23040,984,5898,2816,512,10224,480,0,0,84,52306,74328,5145,42,1,2999,2999,1,1,1,1,13,13,24,480,1153,288,5088,7392,1760,12560,9744,9744,1,12,588,576,480,23520,23040,23040,0,0,1,480,3200,984,480,360,360,480,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group4876,1,4876,0,1,1,0,139106,139107,138504,2999,47984,288,1760,576,13,360,2,9744,23040,984,5898,2816,512,10224,480,1024,14,120,57110,76676,5145,56,1,4023,9163,1,1,1,1,13,13,24,480,1153,288,5088,7392,1760,12560,9744,9744,1,12,588,576,480,23520,23040,23040,0,0,1,480,3200,984,480,360,360,480,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group4876,1,4876,1,0,0,0,115368,115369,115042,2999,47984,288,1760,576,13,360,2,7308,15480,1476,11808,2816,512,7548,480,0,0,84,41238,65329,8676,42,1,2999,2999,1,1,1,1,13,13,24,240,1153,288,2976,6688,1760,9420,7308,7308,1,12,588,576,480,23520,23040,15480,480,1,0,480,4800,1476,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group4876,1,4876,1,0,1,0,122683,122684,122321,2999,47984,288,1760,576,13,360,2,7308,15480,1476,11808,2816,512,7548,480,1138,12,120,46272,66697,9541,54,1,4137,9164,1,1,1,1,13,13,24,240,1153,288,2976,6688,1760,9420,7308,7308,1,12,588,576,480,23520,23040,15480,480,1,0,480,4800,1476,480,360,360,0,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group4876,1,4876,1,1,0,0,119310,119311,118984,2999,47984,288,1760,576,13,360,2,7308,23040,738,5898,2816,512,7548,240,0,0,84,41238,74328,3619,42,1,2999,2999,1,1,1,1,13,13,24,240,1153,288,2976,6688,1760,9420,7308,7308,1,12,588,576,480,23520,23040,23040,0,0,1,240,2400,738,240,360,360,480,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
