batch,arm,frames,AEE,AEE_nine_excluding_common_calibration_frame,paired_parent_AEE,delta_from_paired_parent,delta_from_NB0,better_than_NB0
aee,parent,10,1.1597366283203656,1.1351236836723948,1.1597366283203656,0.0,-0.2948662327496345,True
aee,r0_spatial_nm8,10,1.1840618202035338,1.1552656789261877,1.1597366283203656,0.024325191883168173,-0.27054104086646635,True
aee,r0_flat_nm8,10,1.1633597872442658,1.1383145801530807,1.1597366283203656,0.003623158923900194,-0.29124307382573433,True
aee,r0_ordinary34,10,1.1750728783914892,1.1450823721854824,1.1597366283203656,0.015336250071123603,-0.2795299826785109,True
aee,r1_shifted24,10,1.182456895402029,1.1567362806470836,1.1597366283203656,0.022720267081663303,-0.2721459656679712,True
aee,r1_shifted14,10,1.1735405843624471,1.1531437413439092,1.1597366283203656,0.013803956042081511,-0.281062276707553,True
aee,r1_ordinary24,10,1.1646512256765869,1.1436072055981625,1.1597366283203656,0.00491459735622124,-0.2899516353934133,True
aee,r1_ordinary34,10,1.1784827773568778,1.1588559142499328,1.1597366283203656,0.018746149036512172,-0.27612008371312236,True
aee,spatial_plus_shifted24,10,1.2060245414611845,1.1868456432814787,1.1597366283203656,0.046287913140818926,-0.2485783196088156,True
aee,flat_plus_shifted24,10,1.1825259807109327,1.160035279731624,1.1597366283203656,0.02278935239056712,-0.2720768803590674,True
aee,spatial_plus_shifted14,10,1.173950408989192,1.1394642775238177,1.1597366283203656,0.014213780668826281,-0.28065245208080825,True
aee,flat_plus_shifted14,10,1.16375462169113,1.1432978451350402,1.1597366283203656,0.004017993370764472,-0.29084823937887005,True
count_aee,r0_signed_pair,10,1.1633027786894596,1.1398824553530973,1.1597366283203656,0.0035661503690940233,-0.2913000823805405,True
count_aee,r0_unsigned_pair,10,1.1512492510099523,1.1325197504945883,1.1597366283203656,-0.008487377310413269,-0.3033536100600478,True
count_aee,r0_flat_nm32,10,1.1909979110333435,1.1655341754777329,1.1597366283203656,0.0312612827129779,-0.2636049500366566,True
r0_sparse_aee,r0_ordinary24,10,1.1591833471628528,1.1429166255273475,1.1597366283203656,-0.0005532811575128527,-0.2954195139071474,True
r0_sparse_aee,r0_ordinary34,10,1.1860722596043523,1.1697823733220718,1.1597366283203656,0.026335631283986638,-0.2685306014656479,True
r0_sparse_aee,r0_shift14_magnitude,10,1.1777446144137682,1.156285272039984,1.1597366283203656,0.018007986093402595,-0.27685824665623193,True
r0_sparse_aee,r0_shift14_request,10,1.1762471512300443,1.1494885578643934,1.1597366283203656,0.016510522909678693,-0.27835570983995583,True
r0_sparse_aee,r0_request_plus_r1_ordinary24,10,1.2036039540137697,1.1756478212905535,1.1597366283203656,0.043867325693404124,-0.2509989070562304,True
r0_sparse_aee,r0_unsigned_plus_r1_ordinary24,10,1.1838750236116096,1.1635154024766414,1.1597366283203656,0.024138395291243953,-0.2707278374583906,True
control_aee,r0_shift14_gram,10,1.194979038243057,1.1719535834848225,1.1597366283203656,0.03524240992269134,-0.2596238228269432,True
control_aee,r0_pair_h8,10,1.1966744036546821,1.1761279204952804,1.1597366283203656,0.036937775334316525,-0.257928457415318,True
control_aee,r0_ordinary34_h8,10,1.214450438192108,1.1924673243149768,1.1597366283203656,0.05471380987174235,-0.24015242287789218,True
control_aee,r0_flat_svd_r8,10,1.347965040930866,1.3218792628593938,1.1597366283203656,0.1882284126105005,-0.10663782013913403,True
control_aee,r0_activation_svd_r8,10,1.4030194174746644,1.3626756771132673,1.1597366283203656,0.2432827891542988,-0.05158344359533573,True
control_aee,r0_spatial_r16,10,1.2691297866358249,1.234699859982612,1.1597366283203656,0.10939315831545926,-0.18547307443417527,True
control_aee,r0_tucker_r8,10,1.4170152223496761,1.3861241317272548,1.1597366283203656,0.2572785940293105,-0.037587638720324,True
temporal_fusion_aee,lifting_parent,10,1.1653433024219495,1.137084633215804,1.1653433024219495,0.0,-0.28925955864805064,True
temporal_fusion_aee,lifting_r0_ordinary24,10,1.2099646387073526,1.1894946358643042,1.1653433024219495,0.0446213362854031,-0.24463822236264754,True
temporal_fusion_aee,lifting_r0_unsigned,10,1.18205876332095,1.158992883845099,1.1653433024219495,0.016715460899000556,-0.2725440977490501,True
temporal_fusion_aee,lifting_r0_request,10,1.2227245036395151,1.195639915805193,1.1653433024219495,0.057381201217565625,-0.23187835743048502,True
