receipt,fixture,first_tile,tiles,mode,stall,command,total_cycles,static_words,source_load_words,external_source_words,padding_words,core_weight_words,core_z_vector_reads,core_z_writes,core_psum_reads,core_psum_writes,core_first_issues,core_mac_issues,core_output_stalls,consumer_cycles,consumer_join_wait_cycles,consumer_output_stalls,output_beats,halo_tiles,retained_source_words
results.json,real_6,,,0,0,1,20682,0,1536,1536,0,703,1904,1884,480,480,1864,3612,2419,19142,15757,0,480,0,0
results.json,real_6,,,0,1,0,24102,1848,1536,1536,0,703,1904,1884,480,480,1864,3612,2808,19946,16293,268,480,0,0
results.json,real_6,,,0,1,1,22099,0,1536,1536,0,703,1904,1884,480,480,1864,3612,2808,19945,16289,271,480,0,0
results.json,real_6,,,1,0,0,22530,1848,1536,1536,0,703,1904,1884,480,480,1864,3612,2419,19142,15757,0,480,0,0
results.json,real_6,,,1,0,1,20682,0,1536,1536,0,703,1904,1884,480,480,1864,3612,2419,19142,15757,0,480,0,0
results.json,real_6,,,1,1,0,24102,1848,1536,1536,0,703,1904,1884,480,480,1864,3612,2808,19946,16293,268,480,0,0
results.json,real_6,,,1,1,1,22099,0,1536,1536,0,703,1904,1884,480,480,1864,3612,2808,19945,16289,271,480,0,0
results.json,real_7,,,0,0,0,19898,1848,1536,1536,0,536,1194,1174,480,480,1154,3444,2419,16510,13125,0,480,0,0
results.json,real_7,,,0,0,1,18050,0,1536,1536,0,536,1194,1174,480,480,1154,3444,2419,16510,13125,0,480,0,0
results.json,real_7,,,0,1,0,21377,1848,1536,1536,0,536,1194,1174,480,480,1154,3444,2804,17221,13567,269,480,0,0
results.json,real_7,,,0,1,1,19372,0,1536,1536,0,536,1194,1174,480,480,1154,3444,2803,17218,13566,267,480,0,0
results.json,real_7,,,1,0,0,19898,1848,1536,1536,0,536,1194,1174,480,480,1154,3444,2419,16510,13125,0,480,0,0
results.json,real_7,,,1,0,1,18050,0,1536,1536,0,536,1194,1174,480,480,1154,3444,2419,16510,13125,0,480,0,0
results.json,real_7,,,1,1,0,21377,1848,1536,1536,0,536,1194,1174,480,480,1154,3444,2804,17221,13567,269,480,0,0
results.json,real_7,,,1,1,1,19372,0,1536,1536,0,536,1194,1174,480,480,1154,3444,2803,17218,13566,267,480,0,0
results.json,zero,,,0,0,0,12112,1848,1536,1536,0,0,40,20,480,480,0,0,2419,8724,5339,0,480,0,0
results.json,zero,,,0,0,1,10264,0,1536,1536,0,0,40,20,480,480,0,0,2419,8724,5339,0,480,0,0
results.json,zero,,,0,1,0,13402,1848,1536,1536,0,0,40,20,480,480,0,0,2806,9246,5592,269,480,0,0
results.json,zero,,,0,1,1,11397,0,1536,1536,0,0,40,20,480,480,0,0,2805,9243,5589,269,480,0,0
results.json,zero,,,1,0,0,12112,1848,1536,1536,0,0,40,20,480,480,0,0,2419,8724,5339,0,480,0,0
results.json,zero,,,1,0,1,10264,0,1536,1536,0,0,40,20,480,480,0,0,2419,8724,5339,0,480,0,0
results.json,zero,,,1,1,0,13402,1848,1536,1536,0,0,40,20,480,480,0,0,2806,9246,5592,269,480,0,0
results.json,zero,,,1,1,1,11397,0,1536,1536,0,0,40,20,480,480,0,0,2805,9243,5589,269,480,0,0
results.json,one,,,0,0,0,68916,1848,1536,1536,0,946,17280,17260,480,480,17240,3360,2419,65528,62143,0,480,0,0
results.json,one,,,0,0,1,67068,0,1536,1536,0,946,17280,17260,480,480,17240,3360,2419,65528,62143,0,480,0,0
results.json,one,,,0,1,0,70554,1848,1536,1536,0,946,17280,17260,480,480,17240,3360,2809,66398,62743,270,480,0,0
results.json,one,,,0,1,1,68549,0,1536,1536,0,946,17280,17260,480,480,17240,3360,2806,66395,62742,268,480,0,0
results.json,one,,,1,0,0,68916,1848,1536,1536,0,946,17280,17260,480,480,17240,3360,2419,65528,62143,0,480,0,0
results.json,one,,,1,0,1,67068,0,1536,1536,0,946,17280,17260,480,480,17240,3360,2419,65528,62143,0,480,0,0
results.json,one,,,1,1,0,70554,1848,1536,1536,0,946,17280,17260,480,480,17240,3360,2809,66398,62743,270,480,0,0
results.json,one,,,1,1,1,68549,0,1536,1536,0,946,17280,17260,480,480,17240,3360,2806,66395,62742,268,480,0,0
results.json,padding_poison,,,0,0,0,60636,1848,1536,864,672,958,14400,14380,480,480,14360,3720,2419,57248,53863,0,480,0,0
results.json,padding_poison,,,0,0,1,58788,0,1536,864,672,958,14400,14380,480,480,14360,3720,2419,57248,53863,0,480,0,0
results.json,padding_poison,,,0,1,0,62012,1848,1536,864,672,958,14400,14380,480,480,14360,3720,2806,57993,54338,270,480,0,0
results.json,padding_poison,,,0,1,1,60009,0,1536,864,672,958,14400,14380,480,480,14360,3720,2806,57992,54338,269,480,0,0
results.json,padding_poison,,,1,0,0,60636,1848,1536,864,672,958,14400,14380,480,480,14360,3720,2419,57248,53863,0,480,0,0
results.json,padding_poison,,,1,0,1,58788,0,1536,864,672,958,14400,14380,480,480,14360,3720,2419,57248,53863,0,480,0,0
results.json,padding_poison,,,1,1,0,62012,1848,1536,864,672,958,14400,14380,480,480,14360,3720,2806,57993,54338,270,480,0,0
results.json,padding_poison,,,1,1,1,60009,0,1536,864,672,958,14400,14380,480,480,14360,3720,2806,57992,54338,269,480,0,0
results.json,identity_ties_sat,,,0,0,0,12112,1848,1536,1536,0,0,40,20,480,480,0,0,2419,8724,5339,0,480,0,0
results.json,identity_ties_sat,,,0,0,1,10264,0,1536,1536,0,0,40,20,480,480,0,0,2419,8724,5339,0,480,0,0
results.json,identity_ties_sat,,,0,1,0,13402,1848,1536,1536,0,0,40,20,480,480,0,0,2806,9246,5592,269,480,0,0
results.json,identity_ties_sat,,,0,1,1,11397,0,1536,1536,0,0,40,20,480,480,0,0,2805,9243,5589,269,480,0,0
results.json,identity_ties_sat,,,1,0,0,12112,1848,1536,1536,0,0,40,20,480,480,0,0,2419,8724,5339,0,480,0,0
results.json,identity_ties_sat,,,1,0,1,10264,0,1536,1536,0,0,40,20,480,480,0,0,2419,8724,5339,0,480,0,0
results.json,identity_ties_sat,,,1,1,0,13402,1848,1536,1536,0,0,40,20,480,480,0,0,2806,9246,5592,269,480,0,0
results.json,identity_ties_sat,,,1,1,1,11397,0,1536,1536,0,0,40,20,480,480,0,0,2805,9243,5589,269,480,0,0
results.json,product_ties,,,0,0,0,11793,1848,1536,1536,0,13,60,40,480,480,20,480,2419,8405,5020,0,480,0,0
results.json,product_ties,,,0,0,1,9945,0,1536,1536,0,13,60,40,480,480,20,480,2419,8405,5020,0,480,0,0
results.json,product_ties,,,0,1,0,13117,1848,1536,1536,0,13,60,40,480,480,20,480,2810,8961,5303,273,480,0,0
results.json,product_ties,,,0,1,1,11114,0,1536,1536,0,13,60,40,480,480,20,480,2810,8960,5304,271,480,0,0
results.json,product_ties,,,1,0,0,11793,1848,1536,1536,0,13,60,40,480,480,20,480,2419,8405,5020,0,480,0,0
results.json,product_ties,,,1,0,1,9945,0,1536,1536,0,13,60,40,480,480,20,480,2419,8405,5020,0,480,0,0
results.json,product_ties,,,1,1,0,13117,1848,1536,1536,0,13,60,40,480,480,20,480,2810,8961,5303,273,480,0,0
results.json,product_ties,,,1,1,1,11114,0,1536,1536,0,13,60,40,480,480,20,480,2810,8960,5304,271,480,0,0
results.json,extreme_1,,,0,0,0,69522,1848,1536,1536,0,960,17320,17300,480,480,17280,3840,2419,66134,62749,0,480,0,0
results.json,extreme_1,,,0,0,1,67674,0,1536,1536,0,960,17320,17300,480,480,17280,3840,2419,66134,62749,0,480,0,0
results.json,extreme_1,,,0,1,0,71167,1848,1536,1536,0,960,17320,17300,480,480,17280,3840,2809,67011,63356,270,480,0,0
results.json,extreme_1,,,0,1,1,69162,0,1536,1536,0,960,17320,17300,480,480,17280,3840,2806,67008,63353,270,480,0,0
results.json,extreme_1,,,1,0,0,69522,1848,1536,1536,0,960,17320,17300,480,480,17280,3840,2419,66134,62749,0,480,0,0
results.json,extreme_1,,,1,0,1,67674,0,1536,1536,0,960,17320,17300,480,480,17280,3840,2419,66134,62749,0,480,0,0
results.json,extreme_1,,,1,1,0,71167,1848,1536,1536,0,960,17320,17300,480,480,17280,3840,2809,67011,63356,270,480,0,0
results.json,extreme_1,,,1,1,1,69162,0,1536,1536,0,960,17320,17300,480,480,17280,3840,2806,67008,63353,270,480,0,0
results.json,extreme_-1,,,0,0,0,69522,1848,1536,1536,0,960,17320,17300,480,480,17280,3840,2419,66134,62749,0,480,0,0
results.json,extreme_-1,,,0,0,1,67674,0,1536,1536,0,960,17320,17300,480,480,17280,3840,2419,66134,62749,0,480,0,0
results.json,extreme_-1,,,0,1,0,71167,1848,1536,1536,0,960,17320,17300,480,480,17280,3840,2809,67011,63356,270,480,0,0
results.json,extreme_-1,,,0,1,1,69162,0,1536,1536,0,960,17320,17300,480,480,17280,3840,2806,67008,63353,270,480,0,0
results.json,extreme_-1,,,1,0,0,69522,1848,1536,1536,0,960,17320,17300,480,480,17280,3840,2419,66134,62749,0,480,0,0
results.json,extreme_-1,,,1,0,1,67674,0,1536,1536,0,960,17320,17300,480,480,17280,3840,2419,66134,62749,0,480,0,0
results.json,extreme_-1,,,1,1,0,71167,1848,1536,1536,0,960,17320,17300,480,480,17280,3840,2809,67011,63356,270,480,0,0
results.json,extreme_-1,,,1,1,1,69162,0,1536,1536,0,960,17320,17300,480,480,17280,3840,2806,67008,63353,270,480,0,0
results.json,fp_conversion_boundaries,,,0,0,0,12112,1848,1536,1536,0,0,40,20,480,480,0,0,2419,8724,5339,0,480,0,0
results.json,fp_conversion_boundaries,,,0,0,1,10264,0,1536,1536,0,0,40,20,480,480,0,0,2419,8724,5339,0,480,0,0
results.json,fp_conversion_boundaries,,,0,1,0,13402,1848,1536,1536,0,0,40,20,480,480,0,0,2806,9246,5592,269,480,0,0
results.json,fp_conversion_boundaries,,,0,1,1,11397,0,1536,1536,0,0,40,20,480,480,0,0,2805,9243,5589,269,480,0,0
results.json,fp_conversion_boundaries,,,1,0,0,12112,1848,1536,1536,0,0,40,20,480,480,0,0,2419,8724,5339,0,480,0,0
results.json,fp_conversion_boundaries,,,1,0,1,10264,0,1536,1536,0,0,40,20,480,480,0,0,2419,8724,5339,0,480,0,0
results.json,fp_conversion_boundaries,,,1,1,0,13402,1848,1536,1536,0,0,40,20,480,480,0,0,2806,9246,5592,269,480,0,0
results.json,fp_conversion_boundaries,,,1,1,1,11397,0,1536,1536,0,0,40,20,480,480,0,0,2805,9243,5589,269,480,0,0
results_64.json,,128,64,0,0,0,1138971,1848,98304,85344,12960,31381,79592,78312,30720,30720,77032,198720,154816,1038626,821986,0,30720,0,0
results_64.json,,128,64,0,0,1,1137123,0,98304,85344,12960,31381,79592,78312,30720,30720,77032,198720,154816,1038626,821986,0,30720,0,0
results_64.json,,128,64,0,1,0,1219057,1848,98304,85344,12960,31381,79592,78312,30720,30720,77032,198720,179664,1083695,849782,17273,30720,0,0
results_64.json,,128,64,0,1,1,1216912,0,98304,85344,12960,31381,79592,78312,30720,30720,77032,198720,179658,1083588,849684,17264,30720,0,0
results_64.json,,128,64,1,0,0,1091355,1848,50688,43680,7008,31381,79592,78312,30720,30720,77032,198720,154816,1038626,821986,0,30720,62,47616
results_64.json,,128,64,1,0,1,1089507,0,50688,43680,7008,31381,79592,78312,30720,30720,77032,198720,154816,1038626,821986,0,30720,62,47616
results_64.json,,128,64,1,1,0,1154219,1848,50688,43680,7008,31381,79592,78312,30720,30720,77032,198720,179647,1083537,849654,17243,30720,62,47616
results_64.json,,128,64,1,1,1,1152254,0,50688,43680,7008,31381,79592,78312,30720,30720,77032,198720,179656,1083588,849686,17262,30720,62,47616
results_full.json,,0,19200,0,0,0,324217349,1848,29491200,29276544,214656,8905268,20541592,20157592,9216000,9216000,19773592,53720964,46444800,294666700,229674700,0,9216000,0,0
results_full.json,,0,19200,1,0,0,309563909,1848,14837760,14684160,153600,8905268,20541592,20157592,9216000,9216000,19773592,53720964,46444800,294666700,229674700,0,9216000,19080,14653440
