function,case,real,mode,bp,pass,hblocks,cycles_to_last_gate,cycles_to_done,first_X_request_to_last_gate,dictionary_load_cycles,source_phase_cycles,backend_phase_cycles,backend_boot_cycles,backend_fc_cycles,backend_psn_cycles,words,bytes,dictionary_words,source_config_words,source_X_words,source_graph_words,source_prefetch_words,backend_config_words,backend_coeff_words,source_produced_pairs,source_scalar_mac,backend_vector_mac,backend_vector_updates,bridge_writes,bridge_reads,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,backend_mode,frontier,source_channel_refs
adapt_response_class,train12,1,1,1,0,4,72043,72045,71879,52,44598,27393,5968,4000,16137,9216,147456,12,960,4096,0,3712,1588,2560,20480,204800,11280,3940,1920,1280,2941,497,1,16,36,32,42646,1920,4,7248,20141,1,4,0,2048
adapt_response_class,train12,1,2,0,0,4,63359,63361,63287,24,39263,24072,3176,3968,15640,12822,205152,12,672,3674,4316,3975,1588,2560,18370,183700,11280,3940,1920,1280,0,0,1,12,12,32,37311,1920,4,4456,19612,1,4,0,1837
adapt_response_class,train12,1,2,1,0,4,74750,74753,74610,52,47298,27400,5972,4003,16137,12822,205152,12,672,3674,4316,3975,1588,2560,18370,183700,11280,3940,1920,1280,4073,497,1,16,36,32,45346,1920,4,7252,20144,2,4,0,1837
adapt_response_class,train12,1,2,0,0,4,59328,59330,59256,24,35232,24072,3176,3968,15640,12729,203664,12,672,3718,4179,3321,1588,2560,13640,136400,11280,3940,1920,1280,0,0,1,12,12,32,33280,1920,4,4456,19612,1,4,1,2302
adapt_response_class,train12,1,2,1,0,4,70935,70937,70795,52,43503,27380,5965,3999,16128,12727,203632,12,672,3718,4177,3321,1588,2560,13640,136400,11280,3940,1920,1280,4001,488,1,16,36,32,41551,1920,4,7245,20131,1,4,1,2302
adapt_response_class,train12,1,3,0,0,4,62998,63000,62926,24,38902,24072,3176,3968,15640,12821,205136,12,672,3636,4353,4001,1588,2560,18180,181800,11280,3940,1920,1280,0,0,1,12,12,32,36950,1920,4,4456,19612,1,4,0,1818
adapt_response_class,train12,1,3,1,0,4,74518,74520,74377,52,47074,27392,5967,4000,16137,12821,205136,12,672,3636,4353,4001,1588,2560,18180,181800,11280,3940,1920,1280,4033,497,1,16,36,32,45122,1920,4,7247,20141,1,4,0,1818
adapt_response_class,train12,1,3,0,0,4,59283,59285,59211,24,35187,24072,3176,3968,15640,12711,203376,12,672,3678,4201,3332,1588,2560,13538,135380,11280,3940,1920,1280,0,0,1,12,12,32,33235,1920,4,4456,19612,1,4,1,2280
adapt_response_class,train12,1,3,1,0,4,70801,70803,70660,52,43373,27376,5958,3999,16131,12709,203344,12,672,3678,4199,3331,1588,2560,13538,135380,11280,3940,1920,1280,4106,491,1,16,36,32,41421,1920,4,7238,20134,1,4,1,2280
adapt_response_class,train13,1,1,0,0,4,65448,65450,65360,24,41856,23568,3176,3696,15408,9216,147456,12,960,4096,0,3712,1588,2560,20480,204800,11040,3668,1920,1280,0,0,1,12,12,32,39904,1920,4,4456,19108,1,4,0,2048
