first_tile,tiles,mode,stall,command,outputs,raw_outputs,J_outputs,total_cycles,static_words,parameter_stalls,source_load_words,external_source_words,padding_words,origin_words,source_load_stalls,output_beats,retired_tiles,core_cycles,core_source_words,core_weight_words,core_psum_reads,core_psum_writes,core_sum_issues,core_update_issues,core_source_stalls,core_weight_stalls,core_output_stalls,core_masked_contexts,core_zero_contexts,core_pattern_copies,core_merge_issues,core_z_reads,core_z_writes,core_first_issues,core_mac_issues,core_second_weight_words,core_support_reads,core_delta_issues,core_prefix_issues,core_local_source_reads,consumer_cycles,consumer_raw_words,consumer_identity_words,consumer_coefficient_words,consumer_mul_issues,consumer_add_issues,consumer_round_issues,consumer_output_words,consumer_identity_stalls,consumer_raw_wait_cycles,consumer_join_wait_cycles,consumer_output_stalls,consumer_saturations,consumer_conversion_issues,consumer_conversion_saturations,wall_seconds_so_far,identity_input,job_wall_seconds
128,64,9,0,0,245760,245760,245760,1853549,12504,0,98304,85344,12960,64,0,30720,64,1742164,201184,31381,229440,229440,0,198720,0,0,154816,0,0,0,0,295822,99662,97102,198720,6144,6144,0,0,0,1742548,30720,30720,1536,30720,61440,30720,30720,0,1525908,1525908,0,0,30720,0,0.666381,IEEE_binary32,1.2955585718154907
128,64,9,0,1,245760,245760,245760,1841045,0,0,98304,85344,12960,64,0,30720,64,1742164,201184,31381,229440,229440,0,198720,0,0,154816,0,0,0,0,295822,99662,97102,198720,6144,6144,0,0,0,1742548,30720,30720,1536,30720,61440,30720,30720,0,1525908,1525908,0,0,30720,0,1.29097,IEEE_binary32,1.295574575662613
128,64,9,1,0,245760,245760,245760,1942722,12504,1042,98304,85344,12960,64,34851,30720,64,1795377,201184,31381,229440,229440,0,198720,16000,12386,179643,0,0,0,0,295822,99662,97102,198720,6144,6144,0,0,0,1795828,30720,30720,1536,30720,61440,30720,30720,7651,1554294,1561920,17268,0,30720,0,0.72535,IEEE_binary32,1.3863978879526258
128,64,9,1,1,245760,245760,245760,1929247,0,0,98304,85344,12960,64,34850,30720,64,1795450,201184,31381,229440,229440,0,198720,16072,12397,179633,0,0,0,0,295822,99662,97102,198720,6144,6144,0,0,0,1795900,30720,30720,1536,30720,61440,30720,30720,7642,1554377,1561996,17264,0,30720,0,1.38147,IEEE_binary32,1.3864177484065294
128,64,11,0,0,245760,245760,245760,1792493,12504,0,98304,85344,12960,64,0,30720,64,1681108,85344,31381,229440,229440,0,198720,0,0,154816,0,0,0,0,295822,99662,97102,198720,6144,6144,0,0,55168,1681492,30720,30720,1536,30720,61440,30720,30720,0,1464852,1464852,0,0,30720,0,0.68164,IEEE_binary32,1.2868743650615215
128,64,11,0,1,245760,245760,245760,1779989,0,0,98304,85344,12960,64,0,30720,64,1681108,85344,31381,229440,229440,0,198720,0,0,154816,0,0,0,0,295822,99662,97102,198720,6144,6144,0,0,55168,1681492,30720,30720,1536,30720,61440,30720,30720,0,1464852,1464852,0,0,30720,0,1.28181,IEEE_binary32,1.286892332136631
128,64,11,1,0,245760,245760,245760,1873942,12504,1042,98304,85344,12960,64,34854,30720,64,1726606,85344,31381,229440,229440,0,198720,8187,12465,179662,0,0,0,0,295822,99662,97102,198720,6144,6144,0,0,55168,1727045,30720,30720,1536,30720,61440,30720,30720,7644,1485504,1493130,17275,0,30720,0,0.680937,IEEE_binary32,1.3160670958459377
128,64,11,1,1,245760,245760,245760,1860467,0,0,98304,85344,12960,64,34857,30720,64,1726673,85344,31381,229440,229440,0,198720,8166,12541,179674,0,0,0,0,295822,99662,97102,198720,6144,6144,0,0,55168,1727113,30720,30720,1536,30720,61440,30720,30720,7659,1485559,1493203,17270,0,30720,0,1.31131,IEEE_binary32,1.3160833707079291
