first_tile,tiles,mode,stall,command,outputs,raw_outputs,J_outputs,total_cycles,static_words,parameter_stalls,source_load_words,external_source_words,padding_words,origin_words,source_load_stalls,output_beats,retired_tiles,core_cycles,core_source_words,core_weight_words,core_psum_reads,core_psum_writes,core_sum_issues,core_update_issues,core_source_stalls,core_weight_stalls,core_output_stalls,core_masked_contexts,core_zero_contexts,core_pattern_copies,core_merge_issues,core_z_reads,core_z_writes,core_first_issues,core_mac_issues,core_second_weight_words,core_support_reads,core_delta_issues,core_prefix_issues,core_local_source_reads,consumer_cycles,consumer_raw_words,consumer_identity_words,consumer_coefficient_words,consumer_mul_issues,consumer_add_issues,consumer_round_issues,consumer_output_words,consumer_identity_stalls,consumer_raw_wait_cycles,consumer_join_wait_cycles,consumer_output_stalls,consumer_saturations,consumer_conversion_issues,consumer_conversion_saturations,wall_seconds_so_far,identity_input,job_wall_seconds
0,19200,9,0,0,73728000,73728000,73728000,511638152,12504,0,29491200,29276544,214656,19200,0,9216000,19200,481961647,65879744,8905268,62936964,62936964,0,53720964,0,0,46444800,0,0,0,0,77488449,24535485,23767485,53720964,1843188,1843200,0,0,0,482076847,9216000,9216000,460800,9216000,18432000,9216000,9216000,0,417084847,417084847,0,0,9216000,0,174.682,IEEE_binary32,174.7630322398618
0,19200,11,0,0,73728000,73728000,73728000,493321352,12504,0,29491200,29276544,214656,19200,0,9216000,19200,463644847,29276544,8905268,62936964,62936964,0,53720964,0,0,46444800,0,0,0,0,77488449,24535485,23767485,53720964,1843188,1843200,0,0,16550400,463760047,9216000,9216000,460800,9216000,18432000,9216000,9216000,0,398768047,398768047,0,0,9216000,0,167.494,IEEE_binary32,167.575612783432
