mode	group	vectors	uops	configuration_cycles	service_cycles	latency_min	latency_max	input_wait	source_gap	output_backpressure
unstalled	v009_zurich_city_07_a_0021_s2b5	64	79	90	5440	84	84	5292	0	0
unstalled	directed_extreme_and_equality	6	5	16	66	10	10	50	0	0
unstalled	directed_constant_rows	6	2	13	48	7	7	35	0	0
unstalled	directed_zero_program	6	0	11	36	5	5	25	0	0
unstalled	directed_all_constant	6	0	11	36	5	5	25	0	0
stalled	v000_zurich_city_09_a_0001_s2b0	64	72	83	5179	77	80	4999	0	187
stalled	v000_zurich_city_09_a_0001_s2b1	64	79	90	5628	84	87	5439	0	188
stalled	v000_zurich_city_09_a_0001_s2b2	64	87	98	6075	92	94	5878	0	123
stalled	v000_zurich_city_09_a_0001_s2b3	64	74	85	5185	79	80	5001	2	63
stalled	v000_zurich_city_09_a_0001_s2b4	64	85	96	5856	90	91	5702	0	32
stalled	v000_zurich_city_09_a_0001_s2b5	64	79	90	5632	87	87	5442	0	192
stalled	v001_zurich_city_07_a_0001_s2b0	64	72	83	5180	77	80	4998	2	186
stalled	v001_zurich_city_07_a_0001_s2b1	64	79	90	5628	84	87	5438	1	187
stalled	v001_zurich_city_07_a_0001_s2b2	64	87	98	6075	92	94	5879	0	123
stalled	v001_zurich_city_07_a_0001_s2b3	64	74	85	5185	80	81	5003	0	65
stalled	v001_zurich_city_07_a_0001_s2b4	64	85	96	5856	90	91	5670	1	31
stalled	v001_zurich_city_07_a_0001_s2b5	64	79	90	5632	87	87	5443	0	192
stalled	v002_zurich_city_02_c_0001_s2b0	64	72	83	5180	77	80	4996	0	188
stalled	v002_zurich_city_02_c_0001_s2b1	64	79	90	5628	84	87	5436	2	186
stalled	v002_zurich_city_02_c_0001_s2b2	64	87	98	6075	92	94	5881	0	123
stalled	v002_zurich_city_02_c_0001_s2b3	64	74	85	5185	80	81	5001	0	65
stalled	v002_zurich_city_02_c_0001_s2b4	64	85	96	5860	90	93	5671	2	34
stalled	v002_zurich_city_02_c_0001_s2b5	64	79	90	5628	84	87	5438	1	187
stalled	v003_zurich_city_11_b_0001_s2b0	64	72	83	5180	77	80	4996	0	188
stalled	v003_zurich_city_11_b_0001_s2b1	64	79	90	5628	84	87	5438	0	188
stalled	v003_zurich_city_11_b_0001_s2b2	64	87	98	6082	94	95	5886	1	129
stalled	v003_zurich_city_11_b_0001_s2b3	64	74	85	5185	80	81	5003	0	65
stalled	v003_zurich_city_11_b_0001_s2b4	64	85	96	5856	90	91	5670	1	31
stalled	v003_zurich_city_11_b_0001_s2b5	64	79	90	5632	87	87	5443	0	192
stalled	v004_zurich_city_09_a_0011_s2b0	64	72	83	5180	77	80	4996	0	188
stalled	v004_zurich_city_09_a_0011_s2b1	64	79	90	5628	84	87	5436	2	186
stalled	v004_zurich_city_09_a_0011_s2b2	64	87	98	6075	92	94	5881	0	123
stalled	v004_zurich_city_09_a_0011_s2b3	64	74	85	5185	80	81	5001	0	65
stalled	v004_zurich_city_09_a_0011_s2b4	64	85	96	5860	90	93	5671	2	34
stalled	v004_zurich_city_09_a_0011_s2b5	64	79	90	5628	84	87	5438	1	187
stalled	v005_zurich_city_07_a_0011_s2b0	64	72	83	5180	77	80	4996	0	188
stalled	v005_zurich_city_07_a_0011_s2b1	64	79	90	5628	84	87	5438	0	188
stalled	v005_zurich_city_07_a_0011_s2b2	64	87	98	6082	94	95	5886	1	129
stalled	v005_zurich_city_07_a_0011_s2b3	64	74	85	5185	80	81	5003	0	65
stalled	v005_zurich_city_07_a_0011_s2b4	64	85	96	5856	90	91	5670	1	31
stalled	v005_zurich_city_07_a_0011_s2b5	64	79	90	5632	87	87	5443	0	192
stalled	v006_zurich_city_02_c_0011_s2b0	64	72	83	5180	77	80	4996	0	188
stalled	v006_zurich_city_02_c_0011_s2b1	64	79	90	5628	84	87	5436	2	186
stalled	v006_zurich_city_02_c_0011_s2b2	64	87	98	6075	92	94	5881	0	123
stalled	v006_zurich_city_02_c_0011_s2b3	64	74	85	5185	80	81	5001	0	65
stalled	v006_zurich_city_02_c_0011_s2b4	64	85	96	5860	90	93	5671	2	34
stalled	v006_zurich_city_02_c_0011_s2b5	64	79	90	5628	84	87	5438	1	187
stalled	v007_zurich_city_11_b_0011_s2b0	64	72	83	5180	77	80	4996	0	188
stalled	v007_zurich_city_11_b_0011_s2b1	64	79	90	5628	84	87	5438	0	188
stalled	v007_zurich_city_11_b_0011_s2b2	64	87	98	6082	94	95	5886	1	129
stalled	v007_zurich_city_11_b_0011_s2b3	64	74	85	5185	80	81	5003	0	65
stalled	v007_zurich_city_11_b_0011_s2b4	64	85	96	5856	90	91	5670	1	31
stalled	v007_zurich_city_11_b_0011_s2b5	64	79	90	5632	87	87	5443	0	192
stalled	v008_zurich_city_09_a_0021_s2b0	64	72	83	5180	77	80	4996	0	188
stalled	v008_zurich_city_09_a_0021_s2b1	64	79	90	5628	84	87	5436	2	186
stalled	v008_zurich_city_09_a_0021_s2b2	64	87	98	6075	92	94	5881	0	123
stalled	v008_zurich_city_09_a_0021_s2b3	64	74	85	5185	80	81	5001	0	65
stalled	v008_zurich_city_09_a_0021_s2b4	64	85	96	5860	90	93	5671	2	34
stalled	v008_zurich_city_09_a_0021_s2b5	64	79	90	5628	84	87	5438	1	187
stalled	v009_zurich_city_07_a_0021_s2b0	64	72	83	5180	77	80	4996	0	188
stalled	v009_zurich_city_07_a_0021_s2b1	64	79	90	5628	84	87	5438	0	188
stalled	v009_zurich_city_07_a_0021_s2b2	64	87	98	6082	94	95	5886	1	129
stalled	v009_zurich_city_07_a_0021_s2b3	64	74	85	5185	80	81	5003	0	65
stalled	v009_zurich_city_07_a_0021_s2b4	64	85	96	5856	90	91	5670	1	31
stalled	v009_zurich_city_07_a_0021_s2b5	64	79	90	5632	87	87	5443	0	192
stalled	directed_extreme_and_equality	6	5	16	66	10	10	47	0	0
stalled	directed_constant_rows	6	2	13	63	7	10	45	0	15
stalled	directed_zero_program	6	0	11	44	5	8	27	0	8
stalled	directed_all_constant	6	0	11	44	5	8	27	0	8
