case	real	p4f2	reduce	stress	start_to_complete_beats	issue_beats	commits	scalar_members	packets	source_gap_beats	input_backpressure_beats	output_backpressure_beats	read_responses
directed_tail_multirow_P8F1	0	0	0	0	128	120	86	120	6	0	97	0	112
directed_tail_multirow_P8F1	0	0	0	1	128	120	86	120	6	0	91	152	112
directed_tail_multirow_P8F1	0	0	1	0	94	86	86	120	6	0	69	0	112
directed_tail_multirow_P8F1	0	0	1	1	94	86	86	120	6	0	63	154	112
directed_S15_positive_boundary_P8F1	0	0	0	0	1066	1032	264	1032	33	0	1024	0	112
directed_S15_positive_boundary_P8F1	0	0	0	1	1066	1032	264	1032	33	0	1003	151	112
directed_S15_positive_boundary_P8F1	0	0	1	0	298	264	264	1032	33	0	256	0	112
directed_S15_positive_boundary_P8F1	0	0	1	1	298	264	264	1032	33	0	256	152	112
directed_S15_negative_boundary_P8F1	0	0	0	0	1057	1024	256	1024	32	0	992	0	112
directed_S15_negative_boundary_P8F1	0	0	0	1	1057	1024	256	1024	32	0	974	154	112
directed_S15_negative_boundary_P8F1	0	0	1	0	289	256	256	1024	32	0	248	0	112
directed_S15_negative_boundary_P8F1	0	0	1	1	289	256	256	1024	32	0	217	150	112
directed_empty_P4F2	0	1	0	0	13	0	0	0	6	0	5	0	112
directed_empty_P4F2	0	1	0	1	15	0	0	0	6	2	3	154	112
directed_empty_P4F2	0	1	1	0	13	0	0	0	6	0	5	0	112
directed_empty_P4F2	0	1	1	1	14	0	0	0	6	1	4	152	112
directed_valid_zero_P4F2	0	1	0	0	47	40	16	40	4	0	41	0	112
directed_valid_zero_P4F2	0	1	0	1	47	40	16	40	4	0	39	154	112
directed_valid_zero_P4F2	0	1	1	0	23	16	16	40	4	0	17	0	112
directed_valid_zero_P4F2	0	1	1	1	24	16	16	40	4	1	14	154	112
directed_tail_multirow_P4F2	0	1	0	0	124	116	84	116	6	0	91	0	112
directed_tail_multirow_P4F2	0	1	0	1	125	116	84	116	6	1	90	151	112
directed_tail_multirow_P4F2	0	1	1	0	92	84	84	116	6	0	67	0	112
directed_tail_multirow_P4F2	0	1	1	1	92	84	84	116	6	0	64	151	112
directed_S15_positive_boundary_P4F2	0	1	0	0	1066	1032	264	1032	33	0	1024	0	112
directed_S15_positive_boundary_P4F2	0	1	0	1	1068	1032	264	1032	33	2	1006	152	112
directed_S15_positive_boundary_P4F2	0	1	1	0	298	264	264	1032	33	0	256	0	112
directed_S15_positive_boundary_P4F2	0	1	1	1	299	264	264	1032	33	1	256	154	112
directed_S15_negative_boundary_P4F2	0	1	0	0	1057	1024	256	1024	32	0	992	0	112
directed_S15_negative_boundary_P4F2	0	1	0	1	1057	1024	256	1024	32	0	972	154	112
directed_S15_negative_boundary_P4F2	0	1	1	0	289	256	256	1024	32	0	248	0	112
directed_S15_negative_boundary_P4F2	0	1	1	1	291	256	256	1024	32	2	248	152	112
