file,valid_pixels,dense_q16_AEE,block_magnitude25_AEE,cin_fullcost25_AEE
zurich_city_09_a_0001.npy,33225,1.3885786169155188,1.2788671743891085,1.3562569356452956
zurich_city_09_a_0011.npy,34250,0.7828881920848083,0.756226120769624,0.8713009193534929
zurich_city_09_a_0021.npy,33116,0.8905474241456223,1.0620653328207734,1.1996734833839797
zurich_city_09_a_0031.npy,35022,0.7775304467405546,0.8346787727927003,0.872110393301889
zurich_city_09_a_0041.npy,37230,0.5997962635819892,0.6091476539814163,0.7073593919729185
zurich_city_09_a_0051.npy,38432,0.675953599256388,0.6697299553639697,0.7158114746836766
zurich_city_09_a_0061.npy,35956,0.9548595262610202,0.8590205195661835,1.195695477132086
zurich_city_09_a_0071.npy,35418,0.9678230742141588,1.000600532483006,1.0644726500805899
zurich_city_09_a_0081.npy,27455,0.8136816695182763,0.8504409161084583,0.9764353230708464
zurich_city_09_a_0091.npy,32271,0.6988879725706728,0.7152950434616252,0.7786716047752641
zurich_city_09_a_0101.npy,32366,0.7923863468966534,0.8433993749512089,0.8837819563879594
zurich_city_09_a_0111.npy,27487,1.0544836197124356,1.2260263092496637,1.2976926317970334
zurich_city_09_a_0121.npy,19989,1.6449661752885998,1.6993589887107425,1.6613075084464757
zurich_city_09_a_0131.npy,21434,0.8043804258667393,0.917952331622662,1.0387683166132975
zurich_city_09_a_0141.npy,31781,0.9951869998301612,1.0223013819223756,1.1060255157208536
zurich_city_09_a_0151.npy,46463,0.943228039087369,1.0213109110282594,1.2172413149231835
zurich_city_09_a_0161.npy,44817,0.6491227855099324,0.7026156648058637,0.7711910214340216
zurich_city_09_a_0171.npy,34887,1.1804827879413295,1.2344629558831153,1.3187503337901458
zurich_city_09_a_0181.npy,28733,1.3105976726064459,1.4366049684475364,1.3280343686626923
zurich_city_09_a_0191.npy,29218,1.1842060470737472,1.4651331691688745,1.535648389562028
zurich_city_09_a_0201.npy,19687,1.3274285403995807,1.730370928471593,1.379750883490091
zurich_city_09_a_0211.npy,39146,0.7546293959583452,0.808575666815353,0.8662910014773579
zurich_city_09_a_0221.npy,38515,0.7622209982090334,0.7837201692233464,0.830246683300492
zurich_city_09_a_0231.npy,47105,0.706144265005457,0.7564117865532552,0.861853327669257
zurich_city_09_a_0241.npy,51409,0.5754525270407114,0.6386356617272931,0.8214015348674718
zurich_city_09_a_0251.npy,42120,1.0751657617829076,1.3845082609409667,1.5519181479957727
zurich_city_09_a_0261.npy,47118,0.6729721354286727,0.8028601053663679,0.7779843992954956
zurich_city_09_a_0271.npy,41759,2.4460474555835052,2.7793855586940652,3.6597092003499134
zurich_city_09_a_0281.npy,43202,0.8987898102154445,1.0232058254697662,1.1696115999641257
zurich_city_09_a_0291.npy,37953,0.8546980665847996,0.8936649901750909,1.0179119010991982
zurich_city_09_a_0301.npy,33129,1.2867812656980282,1.1631819792764286,1.3004274420121014
zurich_city_09_a_0311.npy,30937,0.9093419716136208,0.8787811942133393,1.2237010606549439
zurich_city_09_a_0321.npy,31942,0.9769923729105602,1.0072917283828338,1.093235550028435
zurich_city_09_a_0331.npy,30768,1.0824764162952563,1.0448557156393534,1.125945250750163
zurich_city_09_a_0341.npy,29501,1.1669089229452798,1.2807939570609173,1.2382431768735904
zurich_city_09_a_0351.npy,37493,0.6835687456921936,0.7488948902410771,0.8420739834527435
zurich_city_09_a_0361.npy,38962,0.902000678573322,0.9072729664590382,0.9393135047623538
zurich_city_09_a_0371.npy,36815,0.8413598643658152,0.8421941401948944,0.8438392769675724
zurich_city_09_a_0381.npy,35682,1.1953835060821445,1.1396552039908092,1.3320537898670064
zurich_city_09_a_0391.npy,38428,0.8963657796368096,0.9403617728240518,0.9961452368098943
zurich_city_09_a_0401.npy,39828,0.7988405468268114,0.7957059852149717,1.017389743965946
zurich_city_09_a_0411.npy,35185,1.0636548682074547,1.1039863093803652,1.2685234963030196
zurich_city_09_a_0421.npy,33718,0.9927891173939739,1.1440498067864153,1.152643655314877
zurich_city_09_a_0431.npy,36093,0.7892826868471031,0.7765732239502873,0.8389513806382884
zurich_city_09_a_0441.npy,30766,0.6758991501127154,0.7017143958003743,0.7899472258887812
zurich_city_09_a_0451.npy,31423,1.1361112651839795,1.1854803743942925,1.2229818493705384
zurich_city_09_a_0461.npy,32170,1.0351289334228417,1.029980717551335,1.3184953708810612
zurich_city_09_a_0471.npy,19534,1.3687094003432208,1.3612590527782567,1.335428289226913
zurich_city_09_a_0481.npy,26387,0.8012184405278094,1.0620038055033474,1.1194291332610635
zurich_city_09_a_0491.npy,36601,1.0077121209912292,1.0254431522515604,1.1240141681256515
zurich_city_09_a_0501.npy,29156,0.9592485511281943,0.9289013077593973,1.122322477819743
zurich_city_09_a_0511.npy,24241,0.6907685860975687,0.676490314302754,0.6013314044813399
zurich_city_09_a_0521.npy,26206,0.8097644769097391,0.9529782180186661,0.7540359851454171
zurich_city_09_a_0531.npy,25870,5.767777612942491,7.547068736367619,5.085930511217105
zurich_city_09_a_0541.npy,22040,11.290510968457758,11.14183803514929,11.54738167333947
zurich_city_09_a_0551.npy,23339,1.8902929025596074,1.7197214359548603,1.778326811039038
zurich_city_09_a_0561.npy,20563,2.205464427039873,2.2669894145236884,2.342221128991236
zurich_city_09_a_0571.npy,23689,1.5403886302926084,1.8022774629035554,1.7893503298012106
zurich_city_09_a_0581.npy,21936,2.398765039555596,3.1503101928101174,3.095659179551178
zurich_city_09_a_0591.npy,23696,1.3950682030127235,1.7956359225543732,1.7548879990413921
