arm,frames,valid_pixels,AEE_frame_mean,AEE_pixel_mean,historical_NB0,below_historical_NB0,wall_seconds_including_any_priority_pause
dense_q16,825,48152523,1.2106890853803083,1.1493412183218157,1.44535253468097,True,593.2188722966239
block_magnitude25,825,48152523,1.2655970935545984,1.2014199073494678,1.44535253468097,True,500.9464453905821
cin_fullcost25,825,48152523,1.2992308516308682,1.2298147631949876,1.44535253468097,True,529.9387967027724
