function,case,real,mode,bp,pass,hblocks,cycles_to_last_gate,cycles_to_done,first_X_request_to_last_gate,dictionary_load_cycles,source_phase_cycles,backend_phase_cycles,backend_boot_cycles,backend_fc_cycles,backend_psn_cycles,words,bytes,dictionary_words,source_config_words,source_X_words,source_graph_words,source_prefetch_words,backend_config_words,backend_coeff_words,source_channels,source_scalar_mac,backend_vector_mac,backend_vector_updates,bridge_writes,bridge_reads,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9
response_class,diagnostic_zero,0,2,1,1,4,44767,44769,44627,52,33131,11584,5887,4,4405,6772,108352,12,672,2496,2016,1824,1576,0,1248,124800,0,0,1920,1280,2519,437,1,16,36,32,31179,1920,4,7167,4413,1
response_class,diagnostic_zero,0,3,0,1,4,35892,35894,35820,24,27456,8412,3152,4,3968,6740,107840,12,672,2496,1984,1792,1576,0,1248,124800,0,0,1920,1280,0,0,1,12,12,32,25504,1920,4,4432,3976,1
response_class,diagnostic_zero,0,3,1,1,4,44767,44769,44636,52,33118,11597,5900,4,4405,6740,107840,12,672,2496,1984,1792,1576,0,1248,124800,0,0,1920,1280,2079,437,1,16,36,32,31166,1920,4,7180,4413,1
response_class,diagnostic_signed_extreme,0,0,0,1,4,91052,91054,90964,24,41856,49172,3056,27548,17280,7556,120896,12,960,4096,0,3712,1528,960,2048,204800,12800,27520,1920,1280,0,0,1,12,12,32,39904,1920,4,4336,44832,1
response_class,diagnostic_signed_extreme,0,0,1,1,4,97036,97038,96872,52,44598,52386,5792,27564,17742,7556,120896,12,960,4096,0,3712,1528,960,2048,204800,12800,27520,1920,1280,2421,462,1,16,36,32,42646,1920,4,7072,45310,1
response_class,diagnostic_signed_extreme,0,1,0,1,4,70668,70670,70580,24,41856,28788,3152,7068,17280,6996,111936,12,960,4096,0,3712,1576,352,2048,204800,12800,7040,1920,1280,0,0,1,12,12,32,39904,1920,4,4432,24352,1
response_class,diagnostic_signed_extreme,0,1,1,1,4,76676,76678,76512,52,44598,32026,5915,7086,17737,6996,111936,12,960,4096,0,3712,1576,352,2048,204800,12800,7040,1920,1280,2210,457,1,16,36,32,42646,1920,4,7195,24827,1
response_class,diagnostic_signed_extreme,0,2,0,1,4,67148,67150,67076,24,38336,28788,3152,7068,17280,9524,152384,12,672,3584,3328,3072,1576,352,1792,179200,12800,7040,1920,1280,0,0,1,12,12,32,36384,1920,4,4432,24352,1
response_class,diagnostic_signed_extreme,0,2,1,1,4,78161,78163,78021,52,46078,32031,5920,7084,17739,9524,152384,12,672,3584,3328,3072,1576,352,1792,179200,12800,7040,1920,1280,3084,459,1,16,36,32,44126,1920,4,7200,24827,1
response_class,diagnostic_signed_extreme,0,3,0,1,4,67084,67086,67012,24,38272,28788,3152,7068,17280,9492,151872,12,672,3584,3328,3104,1576,320,1792,179200,12800,7040,1920,1280,0,0,1,12,12,32,36320,1920,4,4432,24352,1
