case	real	time	intersection	reduce	stress	cycles_through_done_handshake	last_gate	source_reads	w_reads	w_zero	packets	events	commits	source_req_wait	w_req_wait	w_response_wait	output_wait	barrier_wait	psn_issues	nr_peak	w_pending_peak	w_accept_peak	source_accept_peak	first_tile0	first_tile1	w_metadata_reads	w_value_reads	compare_active_PE_beats	weight_pointer_advances_without_value	nrv_skips	nnz_tile0	nnz_tile1	image_bytes_tile0	image_bytes_tile1	frontend_load_beats	configuration_beats
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	2	0	1	7121	7114	288	2680	0	648	13442	9145	47	911	0	28	7	2080	2	4	3	4	1	0	96	2584	0	0	38	378	379	426	427	241	85
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	2	1	0	2597	2590	288	2680	0	648	13442	9145	0	0	0	0	0	2080	2	4	4	4	0	0	96	2584	0	0	38	378	379	426	427	72	85
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	2	1	1	7121	7114	288	2680	0	648	13442	9145	47	911	0	24	7	2080	2	4	3	4	1	0	96	2584	0	0	38	378	379	426	427	241	85
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	3	0	0	2635	2628	288	2626	38	648	13442	9145	0	0	331	0	0	2080	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	85
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	3	0	1	6988	6981	288	2626	38	648	13442	9145	45	861	0	44	2	2080	2	4	3	4	1	0	4	2622	0	0	0	378	379	386	386	12	85
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	3	1	0	2535	2528	288	2626	38	648	13442	9145	0	0	0	0	0	2080	2	4	4	4	0	0	4	2622	0	0	0	378	379	386	386	3	85
v000_zurich_city_09_a_0001_s2b0_p0_h0_733_packed_time	1	1	3	1	1	6971	6964	288	2626	38	648	13442	9145	45	861	0	24	2	2080	2	4	3	4	1	0	4	2622	0	0	0	378	379	386	386	12	85
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	0	0	0	2192	2185	288	1954	30	484	3719	3031	0	0	0	0	10	2624	2	4	4	4	2	1	0	1954	0	0	0	375	380	384	384	0	102
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	0	0	1	5316	5309	288	1954	30	484	3719	3031	32	606	0	27	12	2624	2	4	3	4	2	1	0	1954	0	0	0	375	380	384	384	0	102
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	0	1	0	2190	2183	288	1954	30	484	3719	3031	0	0	0	0	9	2624	2	4	4	4	2	1	0	1954	0	0	0	375	380	384	384	0	102
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	0	1	1	5316	5309	288	1954	30	484	3719	3031	32	606	0	30	10	2624	1	4	3	4	2	1	0	1954	0	0	0	375	380	384	384	0	102
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	1	0	0	6498	6491	288	7956	0	484	3719	3031	0	0	0	0	12	2624	2	4	4	4	2	1	6032	1924	7516	1084	30	375	380	1127	1142	0	102
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	1	0	1	19870	19863	288	7956	0	484	3719	3031	45	2661	0	45	12	2624	1	4	4	4	2	1	6032	1924	12495	1084	30	375	380	1127	1142	0	102
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	1	1	0	6496	6489	288	7956	0	484	3719	3031	0	0	0	0	10	2624	1	4	4	4	2	1	6032	1924	7516	1084	30	375	380	1127	1142	0	102
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	1	1	1	19870	19863	288	7956	0	484	3719	3031	45	2661	0	48	10	2624	1	4	4	4	2	1	6032	1924	12495	1084	30	375	380	1127	1142	0	102
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	2	0	0	2246	2239	288	2020	0	484	3719	3031	0	0	0	0	10	2624	2	4	4	4	2	1	96	1924	0	0	30	375	380	423	428	72	102
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	2	0	1	5487	5480	288	2020	0	484	3719	3031	37	663	0	49	12	2624	2	4	4	4	2	1	96	1924	0	0	30	375	380	423	428	235	102
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	2	1	0	2242	2235	288	2020	0	484	3719	3031	0	0	0	0	9	2624	2	4	4	4	2	1	96	1924	0	0	30	375	380	423	428	72	102
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	2	1	1	5468	5461	288	2020	0	484	3719	3031	37	663	0	33	10	2624	2	4	4	4	2	1	96	1924	0	0	30	375	380	423	428	235	102
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	3	0	0	2192	2185	288	1958	30	484	3719	3031	0	0	0	0	10	2624	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	102
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	3	0	1	5355	5348	288	1958	30	484	3719	3031	49	602	0	46	12	2624	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	11	102
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	3	1	0	2190	2183	288	1958	30	484	3719	3031	0	0	0	0	9	2624	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	102
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_class	1	0	3	1	1	5355	5348	288	1958	30	484	3719	3031	49	602	0	49	10	2624	1	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	11	102
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	0	0	0	2172	2165	288	1954	30	484	4305	3185	0	0	0	0	9	2464	2	4	4	4	2	1	0	1954	0	0	0	375	380	384	384	0	97
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	0	0	1	5344	5337	288	1954	30	484	4305	3185	47	673	0	24	22	2464	2	4	3	4	2	1	0	1954	0	0	0	375	380	384	384	0	97
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	0	1	0	2166	2159	288	1954	30	484	4305	3185	0	0	0	0	7	2464	2	4	4	4	2	1	0	1954	0	0	0	375	380	384	384	0	97
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	0	1	1	5335	5328	288	1954	30	484	4305	3185	47	673	0	26	12	2464	2	4	3	4	2	1	0	1954	0	0	0	375	380	384	384	0	97
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	1	0	0	6478	6471	288	7956	0	484	4305	3185	0	0	0	0	15	2464	2	4	4	4	2	1	6032	1924	7516	1084	30	375	380	1127	1142	0	97
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	1	0	1	20117	20110	288	7956	0	484	4305	3185	38	2662	0	16	22	2464	1	4	4	4	2	1	6032	1924	12473	1084	30	375	380	1127	1142	0	97
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	1	1	0	6472	6465	288	7956	0	484	4305	3185	0	0	0	0	9	2464	2	4	4	4	2	1	6032	1924	7516	1084	30	375	380	1127	1142	0	97
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	1	1	1	20107	20100	288	7956	0	484	4305	3185	38	2662	0	17	12	2464	1	4	4	4	2	1	6032	1924	12473	1084	30	375	380	1127	1142	0	97
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	2	0	0	2224	2217	288	2020	0	484	4305	3185	0	0	0	0	9	2464	2	4	4	4	2	1	96	1924	0	0	30	375	380	423	428	72	97
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	2	0	1	5515	5508	288	2020	0	484	4305	3185	36	639	0	19	20	2464	2	4	3	4	2	1	96	1924	0	0	30	375	380	423	428	241	97
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	2	1	0	2218	2211	288	2020	0	484	4305	3185	0	0	0	0	7	2464	2	4	4	4	2	1	96	1924	0	0	30	375	380	423	428	72	97
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	2	1	1	5506	5499	288	2020	0	484	4305	3185	36	639	0	21	12	2464	2	4	3	4	2	1	96	1924	0	0	30	375	380	423	428	241	97
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	3	0	0	2172	2165	288	1958	30	484	4305	3185	0	0	0	0	9	2464	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	97
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	3	0	1	5268	5261	288	1958	30	484	4305	3185	40	633	0	20	22	2464	2	4	3	4	2	1	4	1954	0	0	0	375	380	386	386	12	97
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	3	1	0	2166	2159	288	1958	30	484	4305	3185	0	0	0	0	7	2464	2	4	4	4	2	1	4	1954	0	0	0	375	380	386	386	3	97
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	3	1	1	5259	5252	288	1958	30	484	4305	3185	40	633	0	13	12	2464	2	4	3	4	2	1	4	1954	0	0	0	375	380	386	386	12	97
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	0	0	0	2675	2668	288	2822	51	695	6666	5069	0	0	0	0	2	2496	2	4	4	4	1	0	0	2822	0	0	0	377	377	384	384	0	98
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	0	0	1	7360	7353	288	2822	51	695	6666	5069	45	893	0	26	17	2496	2	4	3	4	0	3	0	2822	0	0	0	377	377	384	384	0	98
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	0	1	0	2675	2668	288	2822	51	695	6666	5069	0	0	0	0	1	2496	2	4	4	4	1	0	0	2822	0	0	0	377	377	384	384	0	98
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	0	1	1	7349	7342	288	2822	51	695	6666	5069	45	893	0	20	15	2496	1	4	3	4	0	3	0	2822	0	0	0	377	377	384	384	0	98
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	1	0	0	7174	7167	288	8819	0	695	6666	5069	0	0	0	0	3	2496	2	4	4	4	2	0	6048	2771	9667	245	51	377	377	1133	1133	0	98
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	1	0	1	22085	22078	288	8819	0	695	6666	5069	39	2925	0	24	21	2496	1	4	4	4	0	3	6048	2771	17007	245	51	377	377	1133	1133	0	98
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	1	1	0	7173	7166	288	8819	0	695	6666	5069	0	0	0	0	2	2496	1	4	4	4	2	0	6048	2771	9667	245	51	377	377	1133	1133	0	98
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	1	1	1	22077	22070	288	8819	0	695	6666	5069	39	2925	0	18	16	2496	1	4	4	4	0	3	6048	2771	17007	245	51	377	377	1133	1133	0	98
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	2	0	0	2745	2738	288	2867	0	695	6666	5069	0	0	0	0	2	2496	2	4	4	4	1	0	96	2771	0	0	51	377	377	425	425	72	98
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	2	0	1	7455	7448	288	2867	0	695	6666	5069	52	942	0	34	19	2496	2	4	4	4	0	3	96	2771	0	0	51	377	377	425	425	235	98
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	2	1	0	2740	2733	288	2867	0	695	6666	5069	0	0	0	0	1	2496	2	4	4	4	1	0	96	2771	0	0	51	377	377	425	425	72	98
