layer,spikes,elements,firing_rate,dense_flops_share,effective_flops,synops,energy_uj,op_type
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_k,34022,74649600,0.0004557559585048011,4059494897.334994,1850138.9879802593,34022,0.0034022,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_q,173798,74649600,0.0023281839420438957,4059494897.334994,9451250.832784466,173798,0.0173798,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.sn1,176361,66355200,0.002657832392939815,3608439908.7422166,9590628.477431852,176361,0.1587249,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.sn2,6308944,265420800,0.0237695915316358,14433759634.968866,343084570.7890226,6308944,5.6780496000000005,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.attn_sn,0,74649600,0.0,4059494897.334994,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.proj_sn,19804508,74649600,0.2652995863340192,4059494897.334994,1076982316.9880354,19804508,17.8240572,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn2_q,9,2332800,3.858024691358025e-06,126859215.54171856,489.42598588625987,9,9e-07,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn_k,637525,74649600,0.008540233303326475,4059494897.334994,34669033.516904205,637525,0.0637525,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn_q,2513,74649600,3.366394461591221e-05,4059494897.334994,136658.61139246344,2513,0.0002513,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.sn1,14846086,66355200,0.22373658733603394,3608439908.7422166,807340030.7891333,14846086,13.3614774,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.sn2,20477331,265420800,0.07715043809678819,14433759634.968866,1113570879.2215855,20477331,18.4295979,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.attn_sn,0,74649600,0.0,4059494897.334994,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.proj_sn,15182580,74649600,0.20338461291152263,4059494897.334994,825638798.310779,15182580,13.664322,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn2_q,134432,2332800,0.05762688614540466,126859215.54171856,7310501.570517965,134432,0.0134432,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn_k,3111496,74649600,0.041681348593964336,4059494897.334994,169205221.93123934,3111496,0.3111496,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn_q,2151104,74649600,0.028816015089163236,4059494897.334994,116978466.21598634,2151104,0.2151104,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.sn1,3882571,66355200,0.0585119327498071,3608439908.7422166,211136793.27204466,3882571,3.4943139000000003,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.sn2,42088661,265420800,0.15857333336347415,14433759634.968866,2288809378.284175,42088661,37.8797949,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.attn_sn,0,74649600,0.0,4059494897.334994,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.proj_sn,22491584,74649600,0.301295438957476,4059494897.334994,1223107297.038181,22491584,20.2424256,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn2_q,0,2332800,0.0,126859215.54171856,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn_k,3204617,74649600,0.0429287899734225,4059494897.334994,174269203.84587428,3204617,0.3204617,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn_q,42,74649600,5.626286008230453e-07,4059494897.334994,2283.9879341358796,42,4.2e-06,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.sn1,23306872,66355200,0.35124409239969134,3608439908.7422166,1267443200.724985,23306872,20.9761848,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.sn2,26932132,265420800,0.10146956078800154,14433759634.968866,1464587250.6798763,26932132,24.2389188,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.attn_sn,0,74649600,0.0,4059494897.334994,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.proj_sn,29144807,74649600,0.3904214758016118,4059494897.334994,1584913988.8266408,29144807,26.2303263,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.sn2_q,393888,2332800,0.16884773662551442,126859215.54171856,21419891.41430746,393888,0.0393888,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.sn_k,476126,74649600,0.006378145361796982,4059494897.334994,25892048.55067571,476126,0.047612600000000005,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.sn_q,4935703,74649600,0.06611827792781207,4059494897.334994,268406811.86853004,4935703,0.49357029999999996,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.sn1,11853173,66355200,0.17863216447241512,3608439908.7422166,644583431.2672663,11853173,10.6678557,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.sn2,57796457,265420800,0.21775406072169173,14433759634.968866,3143009771.9953136,57796457,52.0168113,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.attn_sn,0,74649600,0.0,4059494897.334994,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.proj_sn,26788905,74649600,0.358862003279321,4059494897.334994,1456798471.1598175,26788905,24.110014500000002,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.sn2_q,15470,2332800,0.006631515775034294,126859215.54171856,841268.8890733822,15470,0.0015470000000000002,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.sn_k,3542115,74649600,0.04744988586676955,4059494897.334994,192622569.55527884,3542115,0.3542115,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.sn_q,86989,74649600,0.0011652976037379973,4059494897.334994,4730519.676251096,86989,0.0086989,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.sn1,26367548,66355200,0.39736973138503084,3608439908.7422166,1433884797.25592,26367548,23.7307932,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.sn2,21846462,265420800,0.08230877911603009,14433759634.968866,1188025133.6085234,21846462,19.6618158,mac
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.attn_sn,0,49766400,0.0,2706329931.556662,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.proj_sn,5523445,49766400,0.11098743328832304,2706329931.556662,300368612.7348369,5523445,4.9711005,mac
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.sn2_q,20464,1555200,0.01315843621399177,84572810.36114569,1112845.9305751577,20464,0.0020464,logic
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.sn_k,611158,49766400,0.01228053465792181,2706329931.556662,33235178.52025275,611158,0.061115800000000005,logic
