layer,calls,spikes,elements,firing_rate,mean_call_firing_rate
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.sn1,40,9290987,66355200,0.14001897364486882,0.14001897364486887
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.sn2,40,22568645,265420800,0.085029677402826,0.08502967740282599
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.attn_sn,40,10518,74649600,0.00014089827674897118,0.0001408982767489712
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.proj_sn,40,152399,74649600,0.002041524669924554,0.002041524669924554
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn2_q,40,7115,2332800,0.003049982853223594,0.0030499828532235948
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn_k,40,31618,74649600,0.00042355216906721536,0.0004235521690672154
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn_q,40,33649,74649600,0.00045075928069272976,0.0004507592806927297
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.sn1,40,11446608,66355200,0.17250506365740742,0.17250506365740736
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.sn2,40,23715079,265420800,0.08934898470654899,0.08934898470654896
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.attn_sn,40,10470,74649600,0.00014025527263374486,0.00014025527263374484
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.proj_sn,40,205580,74649600,0.0027539330418381346,0.002753933041838135
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn2_q,40,7244,2332800,0.003105281207133059,0.003105281207133059
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn_k,40,33749,74649600,0.0004520988725994513,0.00045209887259945136
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn_q,40,34255,74649600,0.00045887720764746227,0.00045887720764746216
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.sn1,40,12951829,66355200,0.19518935968846451,0.1951893596884645
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.sn2,40,23980730,265420800,0.0903498520085841,0.0903498520085841
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.attn_sn,40,4649,74649600,6.227762774348423e-05,6.22776277434842e-05
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.proj_sn,40,201228,74649600,0.0026956340020576133,0.0026956340020576133
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.sn2_q,40,4271,2332800,0.0018308470507544582,0.0018308470507544584
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.sn_k,40,19083,74649600,0.0002556343235596708,0.00025563432355967073
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.sn_q,40,21169,74649600,0.00028357821073388205,0.00028357821073388205
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.sn1,40,13857295,66355200,0.20883510259934412,0.20883510259934415
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.sn2,40,24233524,265420800,0.0913022792486497,0.09130227924864967
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.attn_sn,40,6903,74649600,9.247202932098766e-05,9.247202932098766e-05
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.proj_sn,40,208935,74649600,0.002798876350308642,0.002798876350308642
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.sn2_q,40,10741,2332800,0.004604338134430727,0.004604338134430728
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.sn_k,40,14818,74649600,0.00019850072873799725,0.0001985007287379973
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.sn_q,40,15575,74649600,0.0002086414394718793,0.00020864143947187924
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.sn1,40,14107736,66355200,0.21260935088734567,0.21260935088734567
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.sn2,40,24203100,265420800,0.0911876537181713,0.0911876537181713
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.attn_sn,40,40988,49766400,0.000823607896090535,0.0008236078960905351
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.proj_sn,40,155146,49766400,0.003117484889403292,0.003117484889403292
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.sn2_q,40,50863,1555200,0.0327051183127572,0.032705118312757187
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.sn_k,40,50346,49766400,0.001011646412037037,0.0010116464120370372
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.sn_q,40,165554,49766400,0.0033266219778806585,0.003326621977880659
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.sn1,40,3650787,33177600,0.11003770616319444,0.11003770616319448
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.sn2,40,10379853,132710400,0.07821431477864584,0.07821431477864585
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.attn.attn_sn,40,41221,49766400,0.0008282897698045267,0.000828289769804527
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.attn.proj_sn,40,295284,49766400,0.005933400848765432,0.005933400848765433
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.attn.sn2_q,40,23374,1555200,0.015029578189300412,0.015029578189300416
