case	kind	held	mode	lazy	bp	cycles	configuration	mem_beats	w_beats	center_beats	pwp_beats	query	alu	fields	build	parent_reads	joins	negative_fields	pwp_rows	query_native_rows	mem_wait	out_wait
held_tile_128_k16_00	1	1	3	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
held_tile_128_k16_00	1	1	4	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	4	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
held_tile_128_k16_00	1	1	4	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	4	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
held_tile_128_k16_00	1	1	5	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	5	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
held_tile_128_k16_00	1	1	5	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	5	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
held_tile_128_k16_00	1	1	6	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	6	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
held_tile_128_k16_00	1	1	6	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	6	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
held_tile_128_k16_00	1	1	7	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	7	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
held_tile_128_k16_00	1	1	7	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
held_tile_128_k16_00	1	1	7	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
calibration_tile_159_k16_07	1	0	0	0	0	117	40	2	2	0	0	0	11	14	0	0	0	0	0	0	0	0
calibration_tile_159_k16_07	1	0	0	0	1	132	40	2	2	0	0	0	11	14	0	0	0	0	0	0	0	10
calibration_tile_159_k16_07	1	0	0	1	0	117	40	2	2	0	0	0	11	14	0	0	0	0	0	0	0	0
calibration_tile_159_k16_07	1	0	0	1	1	132	40	2	2	0	0	0	11	14	0	0	0	0	0	0	0	10
calibration_tile_159_k16_07	1	0	1	0	0	113	40	2	2	0	0	0	7	10	0	3	0	0	0	0	0	0
calibration_tile_159_k16_07	1	0	1	0	1	121	40	2	2	0	0	0	7	10	0	3	0	0	0	0	0	3
calibration_tile_159_k16_07	1	0	1	1	0	113	40	2	2	0	0	0	7	10	0	3	0	0	0	0	0	0
calibration_tile_159_k16_07	1	0	1	1	1	121	40	2	2	0	0	0	7	10	0	3	0	0	0	0	0	3
calibration_tile_159_k16_07	1	0	2	0	0	156	40	4	2	1	1	24	8	9	0	0	3	0	3	9	0	0
calibration_tile_159_k16_07	1	0	2	0	1	176	40	4	2	1	1	24	8	9	0	0	3	0	3	9	0	9
calibration_tile_159_k16_07	1	0	2	1	0	134	40	4	2	1	1	9	8	9	0	0	3	0	3	9	0	0
calibration_tile_159_k16_07	1	0	2	1	1	162	40	4	2	1	1	9	8	9	0	0	3	0	3	9	0	16
calibration_tile_159_k16_07	1	0	3	0	0	137	40	4	2	1	1	8	7	9	0	3	1	0	1	3	0	0
calibration_tile_159_k16_07	1	0	3	0	1	156	40	4	2	1	1	8	7	9	0	3	1	0	1	3	0	8
calibration_tile_159_k16_07	1	0	3	1	0	121	40	4	2	1	1	1	7	9	0	3	1	0	1	3	0	0
calibration_tile_159_k16_07	1	0	3	1	1	134	40	4	2	1	1	1	7	9	0	3	1	0	1	3	0	3
calibration_tile_159_k16_07	1	0	4	0	0	138	40	3	2	1	0	8	9	11	2	3	1	0	1	3	0	0
calibration_tile_159_k16_07	1	0	4	0	1	155	40	3	2	1	0	8	9	11	2	3	1	0	1	3	0	10
calibration_tile_159_k16_07	1	0	4	1	0	122	40	3	2	1	0	1	9	11	2	3	1	0	1	3	0	0
calibration_tile_159_k16_07	1	0	4	1	1	133	40	3	2	1	0	1	9	11	2	3	1	0	1	3	0	3
calibration_tile_159_k16_07	1	0	5	0	0	131	40	4	2	1	1	2	7	9	0	3	1	0	1	3	0	0
calibration_tile_159_k16_07	1	0	5	0	1	153	40	4	2	1	1	2	7	9	0	3	1	0	1	3	0	11
calibration_tile_159_k16_07	1	0	5	1	0	121	40	4	2	1	1	1	7	9	0	3	1	0	1	3	0	0
calibration_tile_159_k16_07	1	0	5	1	1	134	40	4	2	1	1	1	7	9	0	3	1	0	1	3	0	3
calibration_tile_159_k16_07	1	0	6	0	0	134	40	3	2	1	0	8	7	10	0	3	0	0	0	4	0	0
calibration_tile_159_k16_07	1	0	6	0	1	150	40	3	2	1	0	8	7	10	0	3	0	0	0	4	0	9
calibration_tile_159_k16_07	1	0	6	1	0	118	40	3	2	1	0	1	7	10	0	3	0	0	0	4	0	0
calibration_tile_159_k16_07	1	0	6	1	1	131	40	3	2	1	0	1	7	10	0	3	0	0	0	4	0	5
calibration_tile_159_k16_07	1	0	7	0	0	156	40	4	2	1	1	24	8	10	0	0	2	0	2	10	0	0
calibration_tile_159_k16_07	1	0	7	0	1	175	40	4	2	1	1	24	8	10	0	0	2	0	2	10	0	10
calibration_tile_159_k16_07	1	0	7	1	0	134	40	4	2	1	1	9	8	10	0	0	2	0	2	10	0	0
calibration_tile_159_k16_07	1	0	7	1	1	152	40	4	2	1	1	9	8	10	0	0	2	0	2	10	0	7
held_tile_136_k16_07	1	1	0	0	0	112	40	2	2	0	0	0	6	7	0	0	0	0	0	0	0	0
held_tile_136_k16_07	1	1	0	0	1	121	40	2	2	0	0	0	6	7	0	0	0	0	0	0	0	4
held_tile_136_k16_07	1	1	0	1	0	112	40	2	2	0	0	0	6	7	0	0	0	0	0	0	0	0
held_tile_136_k16_07	1	1	0	1	1	121	40	2	2	0	0	0	6	7	0	0	0	0	0	0	0	4
held_tile_136_k16_07	1	1	1	0	0	110	40	2	2	0	0	0	4	6	0	1	0	0	0	0	0	0
held_tile_136_k16_07	1	1	1	0	1	120	40	2	2	0	0	0	4	6	0	1	0	0	0	0	0	5
held_tile_136_k16_07	1	1	1	1	0	110	40	2	2	0	0	0	4	6	0	1	0	0	0	0	0	0
held_tile_136_k16_07	1	1	1	1	1	120	40	2	2	0	0	0	4	6	0	1	0	0	0	0	0	5
held_tile_136_k16_07	1	1	2	0	0	135	40	4	2	1	1	8	5	6	0	0	1	0	1	3	0	0
held_tile_136_k16_07	1	1	2	0	1	156	40	4	2	1	1	8	5	6	0	0	1	0	1	3	0	10
held_tile_136_k16_07	1	1	2	1	0	121	40	4	2	1	1	3	5	6	0	0	1	0	1	3	0	0
held_tile_136_k16_07	1	1	2	1	1	142	40	4	2	1	1	3	5	6	0	0	1	0	1	3	0	9
held_tile_136_k16_07	1	1	3	0	0	122	40	3	2	1	0	0	4	6	0	1	0	0	0	0	0	0
held_tile_136_k16_07	1	1	3	0	1	139	40	3	2	1	0	0	4	6	0	1	0	0	0	0	0	10
held_tile_136_k16_07	1	1	3	1	0	110	40	2	2	0	0	0	4	6	0	1	0	0	0	0	0	0
held_tile_136_k16_07	1	1	3	1	1	120	40	2	2	0	0	0	4	6	0	1	0	0	0	0	0	5
held_tile_136_k16_07	1	1	4	0	0	122	40	3	2	1	0	0	4	6	0	1	0	0	0	0	0	0
held_tile_136_k16_07	1	1	4	0	1	139	40	3	2	1	0	0	4	6	0	1	0	0	0	0	0	10
held_tile_136_k16_07	1	1	4	1	0	110	40	2	2	0	0	0	4	6	0	1	0	0	0	0	0	0
held_tile_136_k16_07	1	1	4	1	1	120	40	2	2	0	0	0	4	6	0	1	0	0	0	0	0	5
held_tile_136_k16_07	1	1	5	0	0	122	40	3	2	1	0	0	4	6	0	1	0	0	0	0	0	0
held_tile_136_k16_07	1	1	5	0	1	139	40	3	2	1	0	0	4	6	0	1	0	0	0	0	0	10
held_tile_136_k16_07	1	1	5	1	0	110	40	2	2	0	0	0	4	6	0	1	0	0	0	0	0	0
held_tile_136_k16_07	1	1	5	1	1	120	40	2	2	0	0	0	4	6	0	1	0	0	0	0	0	5
held_tile_136_k16_07	1	1	6	0	0	122	40	3	2	1	0	0	4	6	0	1	0	0	0	0	0	0
held_tile_136_k16_07	1	1	6	0	1	139	40	3	2	1	0	0	4	6	0	1	0	0	0	0	0	10
held_tile_136_k16_07	1	1	6	1	0	110	40	2	2	0	0	0	4	6	0	1	0	0	0	0	0	0
held_tile_136_k16_07	1	1	6	1	1	120	40	2	2	0	0	0	4	6	0	1	0	0	0	0	0	5
held_tile_136_k16_07	1	1	7	0	0	133	40	3	2	1	0	8	6	7	0	0	0	0	0	4	0	0
held_tile_136_k16_07	1	1	7	0	1	150	40	3	2	1	0	8	6	7	0	0	0	0	0	4	0	10
held_tile_136_k16_07	1	1	7	1	0	119	40	3	2	1	0	3	6	7	0	0	0	0	0	4	0	0
held_tile_136_k16_07	1	1	7	1	1	132	40	3	2	1	0	3	6	7	0	0	0	0	0	4	0	4
calibration_tile_19040_k16_15	1	0	0	0	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_19040_k16_15	1	0	0	0	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
calibration_tile_19040_k16_15	1	0	0	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_19040_k16_15	1	0	0	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
calibration_tile_19040_k16_15	1	0	1	0	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_19040_k16_15	1	0	1	0	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
calibration_tile_19040_k16_15	1	0	1	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_19040_k16_15	1	0	1	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
calibration_tile_19040_k16_15	1	0	2	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_19040_k16_15	1	0	2	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
calibration_tile_19040_k16_15	1	0	2	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_19040_k16_15	1	0	2	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
calibration_tile_19040_k16_15	1	0	3	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_19040_k16_15	1	0	3	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
calibration_tile_19040_k16_15	1	0	3	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_19040_k16_15	1	0	3	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
calibration_tile_19040_k16_15	1	0	4	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_19040_k16_15	1	0	4	0	1	131	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	6
calibration_tile_19040_k16_15	1	0	4	1	0	106	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
calibration_tile_19040_k16_15	1	0	4	1	1	120	40	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9
calibration_tile_19040_k16_15	1	0	5	0	0	118	40	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0
