bundle,scope_type,scope,tokens,bundle_count,ordinary_lru_capacity_rows,baseline_weight_row_fetches,candidate_weight_row_fetches,baseline_weight_fetch_bytes,candidate_weight_fetch_bytes,weight_fetch_reduction,weight_fetch_ratio,compute_issue_cycles,commit_cycles,baseline_weight_cycles,candidate_weight_cycles,baseline_roofline_cycles,candidate_roofline_cycles,roofline_cycle_speedup,fetch_ratio_is_cycle_speedup
4,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.fc1,480000,120000,4,161949488,45272432,995017654272,278153822208,0.7204533798834856,3.577220857054907,162417664,7680000,8031086592,2188081152,8031086592,2188081152,3.6703787629902314,False
4,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.fc2,480000,120000,4,42716661,17708322,262451165184,108799930368,0.5854469524198065,2.4122365179490184,42723772,1920000,2088738816,868278144,2088738816,868278144,2.4056102649060804,False
4,layer,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.fc1,120000,30000,4,98990720,33048128,608198983680,203047698432,0.6661492309582151,2.9953502963919774,99024736,3840000,4888731648,1613070336,4888731648,1613070336,3.030699616064355,False
4,layer,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.fc2,120000,30000,4,76122464,28837136,467696418816,177175363584,0.6211744275645097,2.639737316493566,76134544,960000,3766901760,1401673728,3766901760,1401673728,2.687431236493861,False
4,layer,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.fc1,120000,30000,4,97750272,34303744,600577671168,210762203136,0.6490675340524883,2.849551116053105,98006400,3840000,4925546496,1711534080,4925546496,1711534080,2.8778547582295295,False
4,layer,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.fc2,120000,30000,4,48085544,19927920,295437582336,122437140480,0.5855735769569332,2.412973556698341,48098280,960000,2373934080,974466048,2373934080,974466048,2.4361383189001575,False
4,sequence,interlaken_01_a,11160000,2790000,4,494932795,171223332,3040867092480,1051996151808,0.6540473095948309,2.8905686463337834,498132808,45600000,24517876992,8400560256,24517876992,8400560256,2.918600217704337,False
4,sequence,thun_01_b,11160000,2790000,4,503559178,173592766,3093867589632,1066553954304,0.6552683903221401,2.9008073873308753,506774016,45600000,24918196224,8514611328,24918196224,8514611328,2.926521865074145,False
4,sequence,zurich_city_09_a,11160000,2790000,4,517490840,181102961,3179463720960,1112696592384,0.6500363929147035,2.8574399730548854,519993279,45600000,25571552640,8844984192,25571552640,8844984192,2.891079518618997,False
4,sequence,zurich_city_12_a,11160000,2790000,4,517719837,181855075,3180870678528,1117317580800,0.6487384449980038,2.8468814356706846,520216518,45600000,25573851648,8880576768,25573851648,8880576768,2.879751204916334,False
8,all,FC1_FC2,44640000,5580000,8,2022791906,400603199,12428033470464,2461306054656,0.8019553084962759,5.049365334698687,2045116621,182400000,99938547840,19512618240,99938547840,19512618240,5.1217395129030105,False
8,family,FC1,22320000,2790000,8,1429330215,243873137,8781804840960,1498356553728,0.8293794293014368,5.8609580070313365,1439783060,145920000,70512720000,11830443264,70512720000,11830443264,5.960277094144898,False
8,family,FC2,22320000,2790000,8,593461691,156730062,3646228629504,962949500928,0.7359053425404674,3.7865211270062535,605333561,36480000,29425827840,7682174976,29425827840,7682174976,3.830403229805319,False
