epsilon_ratio,scope_type,scope,tokens,baseline_nonzero_blocks,kept_blocks,dropped_blocks,drop_fraction_of_remaining_nonzero_blocks,metadata_bytes,baseline_weight_bytes,saved_weight_bytes,baseline_nonzero_products,saved_nonzero_products,extra_nonzero_product_reduction,saved_psum_update_events,max_dropped_block_abs_output_code_debt,max_accumulated_abs_output_code_debt_per_token,sum_abs_output_code_debt,dynamic_same_block_keep_drop_witness_count,paired_aee_present,overall_delta_aee,max_sequence_delta_aee,same_resource_cycle_speedup,paper_admission
0.01,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.fc1,480000,926752704,0,926752704,1.0,1853505408,948994768896,948994768896,45911327232,45911327232,1.0,926752704,14,193,45911327232,0,False,,,,False
0.01,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.fc1,480000,824254080,0,824254080,1.0,1648508160,844036177920,844036177920,39754761216,39754761216,1.0,824254080,14,184,39754761216,0,False,,,,False
0.01,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.fc1,480000,971696928,0,971696928,1.0,1943393856,995017654272,995017654272,47255239680,47255239680,1.0,971696928,14,188,47255239680,0,False,,,,False
0.01,layer,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.fc1,120000,593944320,0,593944320,1.0,1187888640,608198983680,608198983680,21144554496,21144554496,1.0,593944320,12,231,21144554496,0,False,,,,False
0.01,layer,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.fc1,120000,586501632,0,586501632,1.0,1173003264,600577671168,600577671168,24032047104,24032047104,1.0,586501632,13,260,24032047104,0,False,,,,False
0.01,sequence,interlaken_01_a,5580000,2081177256,0,2081177256,1.0,4162354512,2131125510144,2131125510144,93671793792,93671793792,1.0,2081177256,15,260,93671793792,0,False,,,,False
0.01,sequence,thun_01_b,5580000,2113599504,0,2113599504,1.0,4227199008,2164325892096,2164325892096,95554696704,95554696704,1.0,2113599504,14,253,95554696704,0,False,,,,False
0.01,sequence,zurich_city_09_a,5580000,2198942304,0,2198942304,1.0,4397884608,2251716919296,2251716919296,97520174208,97520174208,1.0,2198942304,14,253,97520174208,0,False,,,,False
0.01,sequence,zurich_city_12_a,5580000,2201204424,0,2201204424,1.0,4402408848,2254033330176,2254033330176,97536467328,97536467328,1.0,2201204424,15,252,97536467328,0,False,,,,False
0.02,all,FC1,22320000,8594923488,0,8594923488,1.0,17189846976,8801201651712,8801201651712,384283132032,384283132032,1.0,8594923488,15,260,384283132032,0,False,,,,False
0.02,layer,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.fc1,7680000,893705784,0,893705784,1.0,1787411568,915154722816,915154722816,47511097728,47511097728,1.0,893705784,15,55,47511097728,0,False,,,,False
0.02,layer,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.fc1,7680000,859388232,0,859388232,1.0,1718776464,880013549568,880013549568,42080036352,42080036352,1.0,859388232,14,52,42080036352,0,False,,,,False
0.02,layer,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.fc1,1920000,289855392,0,289855392,1.0,579710784,296811921408,296811921408,12952555776,12952555776,1.0,289855392,13,93,12952555776,0,False,,,,False
0.02,layer,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.fc1,1920000,518415552,0,518415552,1.0,1036831104,530857525248,530857525248,18742866432,18742866432,1.0,518415552,13,88,18742866432,0,False,,,,False
0.02,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.fc1,480000,675676032,0,675676032,1.0,1351352064,691892256768,691892256768,30514845696,30514845696,1.0,675676032,13,178,30514845696,0,False,,,,False
0.02,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.fc1,480000,659560416,0,659560416,1.0,1319120832,675389865984,675389865984,23005426176,23005426176,1.0,659560416,11,137,23005426176,0,False,,,,False
0.02,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.fc1,480000,795172416,0,795172416,1.0,1590344832,814256553984,814256553984,31378374144,31378374144,1.0,795172416,14,155,31378374144,0,False,,,,False
0.02,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.fc1,480000,926752704,0,926752704,1.0,1853505408,948994768896,948994768896,45911327232,45911327232,1.0,926752704,14,193,45911327232,0,False,,,,False
0.02,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.fc1,480000,824254080,0,824254080,1.0,1648508160,844036177920,844036177920,39754761216,39754761216,1.0,824254080,14,184,39754761216,0,False,,,,False
0.02,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.fc1,480000,971696928,0,971696928,1.0,1943393856,995017654272,995017654272,47255239680,47255239680,1.0,971696928,14,188,47255239680,0,False,,,,False
0.02,layer,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.fc1,120000,593944320,0,593944320,1.0,1187888640,608198983680,608198983680,21144554496,21144554496,1.0,593944320,12,231,21144554496,0,False,,,,False
0.02,layer,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.fc1,120000,586501632,0,586501632,1.0,1173003264,600577671168,600577671168,24032047104,24032047104,1.0,586501632,13,260,24032047104,0,False,,,,False
0.02,sequence,interlaken_01_a,5580000,2081177256,0,2081177256,1.0,4162354512,2131125510144,2131125510144,93671793792,93671793792,1.0,2081177256,15,260,93671793792,0,False,,,,False
0.02,sequence,thun_01_b,5580000,2113599504,0,2113599504,1.0,4227199008,2164325892096,2164325892096,95554696704,95554696704,1.0,2113599504,14,253,95554696704,0,False,,,,False
0.02,sequence,zurich_city_09_a,5580000,2198942304,0,2198942304,1.0,4397884608,2251716919296,2251716919296,97520174208,97520174208,1.0,2198942304,14,253,97520174208,0,False,,,,False
0.02,sequence,zurich_city_12_a,5580000,2201204424,0,2201204424,1.0,4402408848,2254033330176,2254033330176,97536467328,97536467328,1.0,2201204424,15,252,97536467328,0,False,,,,False
0.05,all,FC1,22320000,8594923488,0,8594923488,1.0,17189846976,8801201651712,8801201651712,384283132032,384283132032,1.0,8594923488,15,260,384283132032,0,False,,,,False
0.05,layer,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.fc1,7680000,893705784,0,893705784,1.0,1787411568,915154722816,915154722816,47511097728,47511097728,1.0,893705784,15,55,47511097728,0,False,,,,False
0.05,layer,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.fc1,7680000,859388232,0,859388232,1.0,1718776464,880013549568,880013549568,42080036352,42080036352,1.0,859388232,14,52,42080036352,0,False,,,,False
0.05,layer,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.fc1,1920000,289855392,0,289855392,1.0,579710784,296811921408,296811921408,12952555776,12952555776,1.0,289855392,13,93,12952555776,0,False,,,,False
0.05,layer,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.fc1,1920000,518415552,0,518415552,1.0,1036831104,530857525248,530857525248,18742866432,18742866432,1.0,518415552,13,88,18742866432,0,False,,,,False
0.05,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.fc1,480000,675676032,0,675676032,1.0,1351352064,691892256768,691892256768,30514845696,30514845696,1.0,675676032,13,178,30514845696,0,False,,,,False
0.05,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.fc1,480000,659560416,0,659560416,1.0,1319120832,675389865984,675389865984,23005426176,23005426176,1.0,659560416,11,137,23005426176,0,False,,,,False
0.05,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.fc1,480000,795172416,0,795172416,1.0,1590344832,814256553984,814256553984,31378374144,31378374144,1.0,795172416,14,155,31378374144,0,False,,,,False
0.05,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.fc1,480000,926752704,0,926752704,1.0,1853505408,948994768896,948994768896,45911327232,45911327232,1.0,926752704,14,193,45911327232,0,False,,,,False
0.05,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.fc1,480000,824254080,0,824254080,1.0,1648508160,844036177920,844036177920,39754761216,39754761216,1.0,824254080,14,184,39754761216,0,False,,,,False
0.05,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.fc1,480000,971696928,0,971696928,1.0,1943393856,995017654272,995017654272,47255239680,47255239680,1.0,971696928,14,188,47255239680,0,False,,,,False
0.05,layer,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.fc1,120000,593944320,0,593944320,1.0,1187888640,608198983680,608198983680,21144554496,21144554496,1.0,593944320,12,231,21144554496,0,False,,,,False
0.05,layer,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.fc1,120000,586501632,0,586501632,1.0,1173003264,600577671168,600577671168,24032047104,24032047104,1.0,586501632,13,260,24032047104,0,False,,,,False
0.05,sequence,interlaken_01_a,5580000,2081177256,0,2081177256,1.0,4162354512,2131125510144,2131125510144,93671793792,93671793792,1.0,2081177256,15,260,93671793792,0,False,,,,False
0.05,sequence,thun_01_b,5580000,2113599504,0,2113599504,1.0,4227199008,2164325892096,2164325892096,95554696704,95554696704,1.0,2113599504,14,253,95554696704,0,False,,,,False
0.05,sequence,zurich_city_09_a,5580000,2198942304,0,2198942304,1.0,4397884608,2251716919296,2251716919296,97520174208,97520174208,1.0,2198942304,14,253,97520174208,0,False,,,,False
0.05,sequence,zurich_city_12_a,5580000,2201204424,0,2201204424,1.0,4402408848,2254033330176,2254033330176,97536467328,97536467328,1.0,2201204424,15,252,97536467328,0,False,,,,False
0.1,all,FC1,22320000,8594923488,0,8594923488,1.0,17189846976,8801201651712,8801201651712,384283132032,384283132032,1.0,8594923488,15,260,384283132032,0,False,,,,False
0.1,layer,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.fc1,7680000,893705784,0,893705784,1.0,1787411568,915154722816,915154722816,47511097728,47511097728,1.0,893705784,15,55,47511097728,0,False,,,,False
0.1,layer,sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.1.mlp.fc1,7680000,859388232,0,859388232,1.0,1718776464,880013549568,880013549568,42080036352,42080036352,1.0,859388232,14,52,42080036352,0,False,,,,False
0.1,layer,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.0.mlp.fc1,1920000,289855392,0,289855392,1.0,579710784,296811921408,296811921408,12952555776,12952555776,1.0,289855392,13,93,12952555776,0,False,,,,False
0.1,layer,sttmultires_unet.encoders.swin3d.layers.1.swin_blocks.1.mlp.fc1,1920000,518415552,0,518415552,1.0,1036831104,530857525248,530857525248,18742866432,18742866432,1.0,518415552,13,88,18742866432,0,False,,,,False
0.1,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.fc1,480000,675676032,0,675676032,1.0,1351352064,691892256768,691892256768,30514845696,30514845696,1.0,675676032,13,178,30514845696,0,False,,,,False
0.1,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.fc1,480000,659560416,0,659560416,1.0,1319120832,675389865984,675389865984,23005426176,23005426176,1.0,659560416,11,137,23005426176,0,False,,,,False
0.1,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.fc1,480000,795172416,0,795172416,1.0,1590344832,814256553984,814256553984,31378374144,31378374144,1.0,795172416,14,155,31378374144,0,False,,,,False
0.1,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.fc1,480000,926752704,0,926752704,1.0,1853505408,948994768896,948994768896,45911327232,45911327232,1.0,926752704,14,193,45911327232,0,False,,,,False
0.1,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.fc1,480000,824254080,0,824254080,1.0,1648508160,844036177920,844036177920,39754761216,39754761216,1.0,824254080,14,184,39754761216,0,False,,,,False
0.1,layer,sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.fc1,480000,971696928,0,971696928,1.0,1943393856,995017654272,995017654272,47255239680,47255239680,1.0,971696928,14,188,47255239680,0,False,,,,False
0.1,layer,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.fc1,120000,593944320,0,593944320,1.0,1187888640,608198983680,608198983680,21144554496,21144554496,1.0,593944320,12,231,21144554496,0,False,,,,False
0.1,layer,sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.fc1,120000,586501632,0,586501632,1.0,1173003264,600577671168,600577671168,24032047104,24032047104,1.0,586501632,13,260,24032047104,0,False,,,,False
0.1,sequence,interlaken_01_a,5580000,2081177256,0,2081177256,1.0,4162354512,2131125510144,2131125510144,93671793792,93671793792,1.0,2081177256,15,260,93671793792,0,False,,,,False
0.1,sequence,thun_01_b,5580000,2113599504,0,2113599504,1.0,4227199008,2164325892096,2164325892096,95554696704,95554696704,1.0,2113599504,14,253,95554696704,0,False,,,,False
0.1,sequence,zurich_city_09_a,5580000,2198942304,0,2198942304,1.0,4397884608,2251716919296,2251716919296,97520174208,97520174208,1.0,2198942304,14,253,97520174208,0,False,,,,False
0.1,sequence,zurich_city_12_a,5580000,2201204424,0,2201204424,1.0,4402408848,2254033330176,2254033330176,97536467328,97536467328,1.0,2201204424,15,252,97536467328,0,False,,,,False
