mode,name,warm_cycles,cold_cycles,diverse10_AEE,valid825
0,exact,107044,134644,1.3903315401317662,1.327635022608（同环境封存值，未重跑）
1,groupdrop,97682,125282,1.3931077275142232,1.351391218079（过门）
2,rankdrop,98870,126470,1.3793652604557802,1.331155075046（过门）
3,K4prototype_residual,98813,126413,1.471894678699932,未运行
4,zeroproto_rank,93185,120785,1.714547411880878,未运行
5,temporalgroup_fullrefresh,100916,128516,1.3868015094110187,1.352029903373（过门）
6,temporalrank_fullrefresh,107612,135212,1.3457219579892477,1.326947034649（过门）
7,temporalrank_signed13delta,102596,130196,1.3457219579892477,1.326947034649（过门）
8,temporalgroup_signed13delta,100808,128408,1.3868015094110187,1.352029903373（过门）
