file,valid_pixels,exact_R8_I24,NB0_same_A800,mode1,mode2,mode5,mode6
zurich_city_09_a_0001.npy,33225,1.57855785740496,1.441070215157643,1.5940168100344319,1.5468399739202794,1.629521520157969,1.5876794441533748
zurich_city_09_a_0011.npy,34250,1.0033274397406808,0.8313722095046682,0.964411771934833,0.9558765979034649,0.9534178154702386,0.9483769106767242
zurich_city_09_a_0021.npy,33116,1.1599758294663436,1.0417437836436136,1.2569320579689378,1.2234040753966837,1.1917425276653537,1.1047424889630963
zurich_city_09_a_0031.npy,35022,0.9124120774475427,0.8975678131551764,0.8606427574729182,0.8667661820934544,0.9174082506229759,0.9107634905198867
zurich_city_09_a_0041.npy,37230,0.7425489080896346,0.7596378928650955,0.8018210097371228,0.7446090923650518,0.792194758395492,0.7582432823360348
zurich_city_09_a_0051.npy,38432,0.7341228627007667,0.8015255037282287,0.7130995163517899,0.7690817250865517,0.7273002244578587,0.7034680385218011
zurich_city_09_a_0061.npy,35956,1.082778787210068,0.9848392951863365,1.0956225570972806,1.0889698376536987,1.1035247605826477,0.9994647445103088
zurich_city_09_a_0071.npy,35418,1.014089834434399,1.035462181600131,1.0410357515590032,1.0380777656820324,1.0978034954434646,1.0229653979013735
zurich_city_09_a_0081.npy,27455,0.9236940987436995,1.0852396924124732,0.9630206854888117,0.9412771505106425,0.903669288378966,0.8818925562579958
zurich_city_09_a_0091.npy,32271,0.7667607117647822,0.881649335848628,0.7387640108216802,0.7339573869339074,0.7633090214402813,0.7204198729248362
zurich_city_09_a_0101.npy,32366,0.890009611178076,0.9312775043959879,0.8660733702684832,0.8661999814745301,0.8924554170656684,0.8801511673749723
zurich_city_09_a_0111.npy,27487,1.282477145515951,1.3539738789958289,1.3641165699244802,1.3618265928714763,1.309726487037344,1.342825388688514
zurich_city_09_a_0121.npy,19989,1.6700124483030188,1.569748681904153,1.725635965197709,1.6683110430462267,1.7595381818989875,1.737756092998716
zurich_city_09_a_0131.npy,21434,0.7937304423851169,0.9934718886754902,0.8641750032336908,0.825744313541901,0.9117574973072049,0.8717526348879138
zurich_city_09_a_0141.npy,31781,1.0868368998760176,1.3072855288807466,1.0453227890794976,1.036066750776435,1.0565053763088328,0.9978512072739391
zurich_city_09_a_0151.npy,46463,1.0528704809582905,1.0005384012001919,1.0904438510417873,1.0771831457352938,1.069137910163999,1.0505283663430764
zurich_city_09_a_0161.npy,44817,0.7756786166167264,1.002974147729422,0.8000256944955753,0.7681077756439829,0.7530765011800344,0.7630261633015687
zurich_city_09_a_0171.npy,34887,1.2390074000305733,0.9428988715894724,1.2803948432064873,1.2464200182363707,1.3007826616582456,1.2214899654929448
zurich_city_09_a_0181.npy,28733,1.191099520459116,1.0487884636335834,1.288495733428535,1.2122602682507184,1.2962011901506625,1.2656254457035694
zurich_city_09_a_0191.npy,29218,1.52549054719365,1.3088325088630715,1.623485399633094,1.563293570687061,1.7795041487262482,1.650475452183398
zurich_city_09_a_0201.npy,19687,2.983374074967677,1.429902021727698,2.2649983002406797,1.6830666686458886,2.3970101072365493,2.314295257807142
zurich_city_09_a_0211.npy,39146,0.7948625149532385,1.009622835598743,0.9105609646675954,0.8606325765844538,0.883908085234973,0.8601583034503393
zurich_city_09_a_0221.npy,38515,0.8755385810387695,0.8803615114914163,0.8652115949961987,0.8718171399065555,0.8516306183820799,0.8362815702344202
zurich_city_09_a_0231.npy,47105,0.8868041514231143,0.98850638206874,0.9079429299294861,0.8955097096798724,0.882048051944561,0.882149193741066
zurich_city_09_a_0241.npy,51409,0.7915958617933904,0.956504443699219,0.856848322200494,0.81700962918119,0.8567697360546188,0.7964292171126488
zurich_city_09_a_0251.npy,42120,1.4231037970082632,1.1793380738990664,1.3455283571538805,1.4165341798899893,1.4349279614487807,1.325999327593086
zurich_city_09_a_0261.npy,47118,0.8044877544977621,0.8377909666593732,0.9131301349660105,0.8810370939459268,0.8675148919024046,0.850358260376959
zurich_city_09_a_0271.npy,41759,3.685992965681891,2.2552338332168587,2.9749424089093424,3.8511859678698985,3.8533316716335637,3.8598024694192343
zurich_city_09_a_0281.npy,43202,1.0290015957023966,1.0378013808011042,1.0894794138915762,1.0737948913981525,1.1063820240086863,1.0624416649142792
zurich_city_09_a_0291.npy,37953,0.932610354083105,1.1922188474969293,0.9928334635496694,1.0049513897728284,0.9665507346351582,0.9606458504234111
zurich_city_09_a_0301.npy,33129,1.2920129913822416,1.1766522193834672,1.3587569611094912,1.2994907857134068,1.3640702834165188,1.2374315257536028
zurich_city_09_a_0311.npy,30937,1.0460124799267378,1.0381681321848955,1.0694516671845529,1.0563255526064486,1.093445785900267,1.0335314606387238
zurich_city_09_a_0321.npy,31942,1.0444671816228095,1.1850035497391864,1.1001154534571143,1.0244960062730013,1.096525955727628,1.0196806263829488
zurich_city_09_a_0331.npy,30768,1.04379399175974,1.4377478263114476,1.0915740946939436,1.0224983961617764,1.0345620789980712,1.0138279657779417
zurich_city_09_a_0341.npy,29501,1.1989405809515075,1.5636795858026653,1.2642011542956253,1.303097069320046,1.2841221177234434,1.2400730090228478
zurich_city_09_a_0351.npy,37493,0.8366489758955683,0.7789320695711567,0.9020955603348869,0.8019262067262696,0.8451548471981187,0.8675601662884382
zurich_city_09_a_0361.npy,38962,0.9605998196215434,0.8567726183605712,0.9946349055646028,0.9860327480311434,0.9691253123634448,0.9703903074003536
zurich_city_09_a_0371.npy,36815,0.7890890245787303,1.0434764015269693,0.8553669350708853,0.827723364431361,0.7879676237071833,0.7930672936638268
zurich_city_09_a_0381.npy,35682,1.2364087227212697,1.1824055793894561,1.2546248347221158,1.3044773267933791,1.283759553961828,1.2750274842794498
zurich_city_09_a_0391.npy,38428,1.04583753820489,1.0888811160542464,1.180006237692305,1.0265866025040216,1.1383069894020923,1.077991460066315
zurich_city_09_a_0401.npy,39828,0.8140361099160137,0.8763243960718524,0.7884526380118851,0.799953218682189,0.8370231697871557,0.827680929688656
zurich_city_09_a_0411.npy,35185,1.1889254049224367,1.304302087048045,1.2380822112325474,1.2444355479778009,1.2047220479813388,1.2158729631370473
zurich_city_09_a_0421.npy,33718,1.1328658384086845,1.2871437209512873,1.107437874528334,1.1376804019886513,1.1436979625518482,1.0991868121754351
zurich_city_09_a_0431.npy,36093,0.9435643915534183,1.0142327010698469,0.8759478328384268,0.9059473198513512,0.8906700755453116,0.9119366758371139
zurich_city_09_a_0441.npy,30766,0.6391110722091231,0.8542816331444651,0.7389683233471898,0.6608875606188743,0.6899607716777425,0.6647557283536764
zurich_city_09_a_0451.npy,31423,1.2700649766181336,1.18454289111949,1.2457538225691123,1.1942873600046664,1.2195183175404023,1.268493460366708
zurich_city_09_a_0461.npy,32170,1.0244378508638359,1.2186393873610457,1.089890289299642,0.9966064784445539,1.0280517571235617,0.9591771198173643
zurich_city_09_a_0471.npy,19534,1.5489394129729264,1.7708466578347386,1.5908362447695663,1.4940150556119698,1.5179165876150116,1.4816525162196124
zurich_city_09_a_0481.npy,26387,0.8999528448104838,1.0405231701259483,0.9943359139842938,0.9769187149273986,0.9342158840331146,0.9976384128862599
zurich_city_09_a_0491.npy,36601,1.0174152810205908,1.070355449262735,0.9688864229601681,0.9422336328763851,0.941715165873136,0.9594795453397383
zurich_city_09_a_0501.npy,29156,1.1244595424987924,1.3743031712105322,1.2177933666439706,1.065068536935013,1.142755983536635,1.1449041189205014
zurich_city_09_a_0511.npy,24241,0.6436301069161838,0.8867641249517901,0.7172067881789297,0.7345162896325002,0.6428285378549152,0.6939576741348343
zurich_city_09_a_0521.npy,26206,1.0906298056715629,0.7446890870395784,0.8608638084883737,0.9689185699890408,0.8903302514214047,0.8937809382628792
zurich_city_09_a_0531.npy,25870,8.148163583894178,6.245162685809331,7.816434776154535,9.383866551483305,6.826606935803546,9.262591706361956
zurich_city_09_a_0541.npy,22040,9.091998751610543,15.641401705066986,13.72186207545409,13.260129040012941,14.410352540267429,8.597825823655562
zurich_city_09_a_0551.npy,23339,1.8762584887345612,1.4306132974510675,1.5416048062396879,1.651664328931191,1.5322872456675138,1.9026840429707694
zurich_city_09_a_0561.npy,20563,2.4267941504301644,2.198363433627666,2.377327700694698,2.453085325433677,2.437820382964181,2.4858243781820533
zurich_city_09_a_0571.npy,23689,1.4975983649841966,1.8449645257233789,1.521608405834073,1.4604457006756868,1.5258220082590295,1.5042988507814168
