case,real,order,mode,bp,packed32,prefetch,cycles,channels,scalar_mac,words,xwords,graph_words,prefetch_words,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p1,1,0,1,0,1,1,1297,64,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p1,1,0,1,1,1,0,1621,64,6400,158,128,0,0,0,55,4,1,39,77,6,0,70,398,64,640,192,64,60,10,1
train0_p1,1,0,1,1,1,1,1379,64,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p1,1,0,2,0,0,0,1262,57,5700,225,114,90,0,4,0,0,1,21,21,6,181,0,171,57,570,171,57,0,6,1
train0_p1,1,0,2,0,1,0,1258,57,5700,211,114,76,0,56,0,0,1,21,21,6,177,0,171,57,570,171,57,0,6,1
train0_p1,1,0,2,0,1,1,1212,57,5700,255,114,120,108,399,0,0,1,21,21,6,131,0,171,57,570,171,57,0,6,1
train0_p1,1,0,2,1,0,0,1688,57,5700,225,114,90,0,4,86,0,1,30,57,6,353,0,380,57,570,171,57,0,6,1
train0_p1,1,0,2,1,1,0,1633,57,5700,211,114,76,0,56,52,4,1,30,57,6,311,0,363,57,570,171,57,0,10,1
train0_p1,1,0,2,1,1,1,1467,57,5700,255,114,120,108,399,85,2,1,30,57,6,155,0,355,57,570,171,57,0,8,1
train0_p1,1,0,3,0,0,0,1260,57,5700,220,114,85,0,4,0,0,1,21,21,6,179,0,171,57,570,171,57,0,6,1
train0_p1,1,0,3,0,1,0,1260,57,5700,211,114,76,0,30,0,0,1,21,21,6,179,0,171,57,570,171,57,0,6,1
train0_p1,1,0,3,0,1,1,1211,57,5700,250,114,115,105,407,0,0,1,21,21,6,130,0,171,57,570,171,57,0,6,1
train0_p1,1,0,3,1,0,0,1656,57,5700,220,114,85,0,4,69,2,1,27,54,6,342,0,363,57,570,171,57,0,8,1
train0_p1,1,0,3,1,1,0,1611,57,5700,211,114,76,0,30,70,3,1,27,54,6,310,0,349,57,570,171,57,0,9,1
train0_p1,1,0,3,1,1,1,1472,57,5700,250,114,115,105,405,88,4,1,27,54,6,161,0,358,57,570,171,57,0,10,1
train0_p1,1,1,0,0,1,0,1961,96,9600,221,192,0,0,0,0,0,1,29,29,6,0,102,288,96,960,288,96,60,6,1
train0_p1,1,1,0,0,1,1,1871,96,9600,221,192,0,180,0,0,0,1,29,29,6,0,102,198,96,960,288,96,60,6,1
train0_p1,1,1,0,1,1,0,2351,96,9600,221,192,0,0,0,72,1,1,38,76,6,0,102,621,96,960,288,96,60,7,1
train0_p1,1,1,0,1,1,1,1952,96,9600,221,192,0,180,0,44,5,1,38,76,6,0,102,218,96,960,288,96,60,11,1
train0_p1,1,1,1,0,1,0,1355,64,6400,158,128,0,0,0,0,0,1,30,30,6,0,70,192,64,640,192,64,60,6,1
train0_p1,1,1,1,0,1,1,1297,64,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p1,1,1,1,1,1,0,1621,64,6400,158,128,0,0,0,55,4,1,39,77,6,0,70,398,64,640,192,64,60,10,1
train0_p1,1,1,1,1,1,1,1379,64,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p1,1,1,2,0,0,0,1090,49,4900,204,98,85,0,20,0,0,1,21,21,6,153,0,147,49,490,147,49,0,6,1
train0_p1,1,1,2,0,1,0,1081,49,4900,186,98,67,0,56,0,0,1,21,21,6,144,0,147,49,490,147,49,0,6,1
train0_p1,1,1,2,0,1,1,1046,49,4900,216,98,97,90,341,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p1,1,1,2,1,0,0,1461,49,4900,204,98,85,0,20,72,2,1,30,57,6,303,0,321,49,490,147,49,0,8,1
train0_p1,1,1,2,1,1,0,1414,49,4900,186,98,67,0,56,74,0,1,30,57,6,258,0,321,49,490,147,49,0,6,1
train0_p1,1,1,2,1,1,1,1271,49,4900,216,98,97,90,341,75,4,1,30,57,6,124,0,308,49,490,147,49,0,10,1
train0_p1,1,1,3,0,0,0,1095,49,4900,206,98,87,0,5,0,0,1,21,21,6,158,0,147,49,490,147,49,0,6,1
train0_p1,1,1,3,0,1,0,1081,49,4900,186,98,67,0,52,0,0,1,21,21,6,144,0,147,49,490,147,49,0,6,1
train0_p1,1,1,3,0,1,1,1045,49,4900,213,98,94,88,343,0,0,1,21,21,6,108,0,147,49,490,147,49,0,6,1
train0_p1,1,1,3,1,0,0,1441,49,4900,206,98,87,0,5,68,3,1,27,54,6,297,0,312,49,490,147,49,0,9,1
train0_p1,1,1,3,1,1,0,1396,49,4900,186,98,67,0,52,47,0,1,27,54,6,254,0,313,49,490,147,49,0,6,1
train0_p1,1,1,3,1,1,1,1269,49,4900,213,98,94,88,343,75,5,1,27,54,6,122,0,313,49,490,147,49,0,11,1
train0_p2,1,0,0,0,1,0,1961,96,9600,221,192,0,0,0,0,0,1,29,29,6,0,102,288,96,960,288,96,60,6,1
train0_p2,1,0,0,0,1,1,1871,96,9600,221,192,0,180,0,0,0,1,29,29,6,0,102,198,96,960,288,96,60,6,1
train0_p2,1,0,0,1,1,0,2351,96,9600,221,192,0,0,0,72,1,1,38,76,6,0,102,621,96,960,288,96,60,7,1
train0_p2,1,0,0,1,1,1,1952,96,9600,221,192,0,180,0,44,5,1,38,76,6,0,102,218,96,960,288,96,60,11,1
train0_p2,1,0,1,0,1,0,1355,64,6400,158,128,0,0,0,0,0,1,30,30,6,0,70,192,64,640,192,64,60,6,1
train0_p2,1,0,1,0,1,1,1297,64,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p2,1,0,1,1,1,0,1621,64,6400,158,128,0,0,0,55,4,1,39,77,6,0,70,398,64,640,192,64,60,10,1
train0_p2,1,0,1,1,1,1,1379,64,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p2,1,0,2,0,0,0,1281,58,5800,224,116,87,0,4,0,0,1,21,21,6,182,0,174,58,580,174,58,0,6,1
train0_p2,1,0,2,0,1,0,1276,58,5800,211,116,74,0,57,0,0,1,21,21,6,177,0,174,58,580,174,58,0,6,1
train0_p2,1,0,2,0,1,1,1230,58,5800,254,116,117,106,399,0,0,1,21,21,6,131,0,174,58,580,174,58,0,6,1
train0_p2,1,0,2,1,0,0,1726,58,5800,224,116,87,0,4,93,0,1,30,57,6,360,0,396,58,580,174,58,0,6,1
train0_p2,1,0,2,1,1,0,1669,58,5800,211,116,74,0,57,68,3,1,30,57,6,315,0,381,58,580,174,58,0,9,1
train0_p2,1,0,2,1,1,1,1472,58,5800,254,116,117,106,399,80,0,1,30,57,6,146,0,356,58,580,174,58,0,6,1
train0_p2,1,0,3,0,0,0,1278,58,5800,218,116,81,0,5,0,0,1,21,21,6,179,0,174,58,580,174,58,0,6,1
train0_p2,1,0,3,0,1,0,1276,58,5800,211,116,74,0,29,0,0,1,21,21,6,177,0,174,58,580,174,58,0,6,1
train0_p2,1,0,3,0,1,1,1230,58,5800,251,116,114,104,408,0,0,1,21,21,6,131,0,174,58,580,174,58,0,6,1
train0_p2,1,0,3,1,0,0,1665,58,5800,218,116,81,0,5,74,3,1,27,54,6,330,0,368,58,580,174,58,0,9,1
train0_p2,1,0,3,1,1,0,1621,58,5800,211,116,74,0,29,67,3,1,27,54,6,288,0,366,58,580,174,58,0,9,1
train0_p2,1,0,3,1,1,1,1489,58,5800,251,116,114,104,405,77,1,1,27,54,6,160,0,364,58,580,174,58,0,7,1
train0_p2,1,1,0,0,1,0,1961,96,9600,221,192,0,0,0,0,0,1,29,29,6,0,102,288,96,960,288,96,60,6,1
train0_p2,1,1,0,0,1,1,1871,96,9600,221,192,0,180,0,0,0,1,29,29,6,0,102,198,96,960,288,96,60,6,1
train0_p2,1,1,0,1,1,0,2351,96,9600,221,192,0,0,0,72,1,1,38,76,6,0,102,621,96,960,288,96,60,7,1
train0_p2,1,1,0,1,1,1,1952,96,9600,221,192,0,180,0,44,5,1,38,76,6,0,102,218,96,960,288,96,60,11,1
train0_p2,1,1,1,0,1,0,1355,64,6400,158,128,0,0,0,0,0,1,30,30,6,0,70,192,64,640,192,64,60,6,1
train0_p2,1,1,1,0,1,1,1297,64,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p2,1,1,1,1,1,0,1621,64,6400,158,128,0,0,0,55,4,1,39,77,6,0,70,398,64,640,192,64,60,10,1
train0_p2,1,1,1,1,1,1,1379,64,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p2,1,1,2,0,0,0,1066,48,4800,191,96,74,0,21,0,0,1,21,21,6,147,0,144,48,480,144,48,0,6,1
train0_p2,1,1,2,0,1,0,1058,48,4800,179,96,62,0,59,0,0,1,21,21,6,139,0,144,48,480,144,48,0,6,1
train0_p2,1,1,2,0,1,1,1025,48,4800,212,96,95,88,338,0,0,1,21,21,6,106,0,144,48,480,144,48,0,6,1
train0_p2,1,1,2,1,0,0,1423,48,4800,191,96,74,0,21,80,5,1,30,57,6,280,0,318,48,480,144,48,0,11,1
train0_p2,1,1,2,1,1,0,1391,48,4800,179,96,62,0,59,73,0,1,30,57,6,250,0,321,48,480,144,48,0,6,1
train0_p2,1,1,2,1,1,1,1247,48,4800,212,96,95,88,338,59,6,1,30,57,6,121,0,300,48,480,144,48,0,12,1
train0_p2,1,1,3,0,0,0,1069,48,4800,195,96,78,0,6,0,0,1,21,21,6,150,0,144,48,480,144,48,0,6,1
train0_p2,1,1,3,0,1,0,1059,48,4800,180,96,63,0,53,0,0,1,21,21,6,140,0,144,48,480,144,48,0,6,1
train0_p2,1,1,3,0,1,1,1024,48,4800,211,96,94,88,339,0,0,1,21,21,6,105,0,144,48,480,144,48,0,6,1
train0_p2,1,1,3,1,0,0,1414,48,4800,195,96,78,0,6,72,7,1,27,54,6,280,0,313,48,480,144,48,0,13,1
train0_p2,1,1,3,1,1,0,1379,48,4800,180,96,63,0,53,54,2,1,27,54,6,257,0,306,48,480,144,48,0,8,1
train0_p2,1,1,3,1,1,1,1239,48,4800,211,96,94,88,339,65,2,1,27,54,6,113,0,310,48,480,144,48,0,8,1
train0_p3,1,0,0,0,1,0,1961,96,9600,221,192,0,0,0,0,0,1,29,29,6,0,102,288,96,960,288,96,60,6,1
train0_p3,1,0,0,0,1,1,1871,96,9600,221,192,0,180,0,0,0,1,29,29,6,0,102,198,96,960,288,96,60,6,1
train0_p3,1,0,0,1,1,0,2351,96,9600,221,192,0,0,0,72,1,1,38,76,6,0,102,621,96,960,288,96,60,7,1
train0_p3,1,0,0,1,1,1,1952,96,9600,221,192,0,180,0,44,5,1,38,76,6,0,102,218,96,960,288,96,60,11,1
train0_p3,1,0,1,0,1,0,1355,64,6400,158,128,0,0,0,0,0,1,30,30,6,0,70,192,64,640,192,64,60,6,1
train0_p3,1,0,1,0,1,1,1297,64,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p3,1,0,1,1,1,0,1621,64,6400,158,128,0,0,0,55,4,1,39,77,6,0,70,398,64,640,192,64,60,10,1
train0_p3,1,0,1,1,1,1,1379,64,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p3,1,0,2,0,0,0,1287,58,5800,246,116,109,0,7,0,0,1,21,21,6,188,0,174,58,580,174,58,0,6,1
train0_p3,1,0,2,0,1,0,1283,58,5800,227,116,90,0,59,0,0,1,21,21,6,184,0,174,58,580,174,58,0,6,1
train0_p3,1,0,2,0,1,1,1235,58,5800,278,116,141,127,386,0,0,1,21,21,6,136,0,174,58,580,174,58,0,6,1
train0_p3,1,0,2,1,0,0,1726,58,5800,246,116,109,0,7,86,0,1,30,57,6,372,0,384,58,580,174,58,0,6,1
train0_p3,1,0,2,1,1,0,1672,58,5800,227,116,90,0,59,71,1,1,30,57,6,325,0,376,58,580,174,58,0,7,1
train0_p3,1,0,2,1,1,1,1511,58,5800,278,116,141,127,386,85,9,1,30,57,6,166,0,366,58,580,174,58,0,15,1
train0_p3,1,0,3,0,0,0,1285,58,5800,241,116,104,0,5,0,0,1,21,21,6,186,0,174,58,580,174,58,0,6,1
train0_p3,1,0,3,0,1,0,1285,58,5800,227,116,90,0,29,0,0,1,21,21,6,186,0,174,58,580,174,58,0,6,1
train0_p3,1,0,3,0,1,1,1235,58,5800,276,116,139,125,400,0,0,1,21,21,6,136,0,174,58,580,174,58,0,6,1
train0_p3,1,0,3,1,0,0,1693,58,5800,241,116,104,0,5,93,5,1,27,54,6,361,0,363,58,580,174,58,0,11,1
train0_p3,1,0,3,1,1,0,1687,58,5800,227,116,90,0,29,73,9,1,27,54,6,330,0,384,58,580,174,58,0,15,1
train0_p3,1,0,3,1,1,1,1501,58,5800,276,116,139,125,400,94,7,1,27,54,6,172,0,358,58,580,174,58,0,13,1
train0_p3,1,1,0,0,1,0,1961,96,9600,221,192,0,0,0,0,0,1,29,29,6,0,102,288,96,960,288,96,60,6,1
train0_p3,1,1,0,0,1,1,1871,96,9600,221,192,0,180,0,0,0,1,29,29,6,0,102,198,96,960,288,96,60,6,1
train0_p3,1,1,0,1,1,0,2351,96,9600,221,192,0,0,0,72,1,1,38,76,6,0,102,621,96,960,288,96,60,7,1
train0_p3,1,1,0,1,1,1,1952,96,9600,221,192,0,180,0,44,5,1,38,76,6,0,102,218,96,960,288,96,60,11,1
train0_p3,1,1,1,0,1,0,1355,64,6400,158,128,0,0,0,0,0,1,30,30,6,0,70,192,64,640,192,64,60,6,1
train0_p3,1,1,1,0,1,1,1297,64,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p3,1,1,1,1,1,0,1621,64,6400,158,128,0,0,0,55,4,1,39,77,6,0,70,398,64,640,192,64,60,10,1
train0_p3,1,1,1,1,1,1,1379,64,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p3,1,1,2,0,0,0,1092,49,4900,212,98,93,0,12,0,0,1,21,21,6,155,0,147,49,490,147,49,0,6,1
train0_p3,1,1,2,0,1,0,1084,49,4900,190,98,71,0,50,0,0,1,21,21,6,147,0,147,49,490,147,49,0,6,1
train0_p3,1,1,2,0,1,1,1048,49,4900,223,98,104,96,346,0,0,1,21,21,6,111,0,147,49,490,147,49,0,6,1
train0_p3,1,1,2,1,0,0,1457,49,4900,212,98,93,0,12,78,0,1,30,57,6,297,0,325,49,490,147,49,0,6,1
train0_p3,1,1,2,1,1,0,1419,49,4900,190,98,71,0,50,82,2,1,30,57,6,259,0,323,49,490,147,49,0,8,1
train0_p3,1,1,2,1,1,1,1271,49,4900,223,98,104,96,346,78,2,1,30,57,6,126,0,308,49,490,147,49,0,8,1
train0_p3,1,1,3,0,0,0,1096,49,4900,219,98,100,0,4,0,0,1,21,21,6,159,0,147,49,490,147,49,0,6,1
train0_p3,1,1,3,0,1,0,1086,49,4900,191,98,72,0,47,0,0,1,21,21,6,149,0,147,49,490,147,49,0,6,1
train0_p3,1,1,3,0,1,1,1048,49,4900,222,98,103,95,346,0,0,1,21,21,6,111,0,147,49,490,147,49,0,6,1
train0_p3,1,1,3,1,0,0,1451,49,4900,219,98,100,0,4,86,0,1,27,54,6,302,0,320,49,490,147,49,0,6,1
train0_p3,1,1,3,1,1,0,1434,49,4900,191,98,72,0,47,71,4,1,27,54,6,274,0,327,49,490,147,49,0,10,1
train0_p3,1,1,3,1,1,1,1276,49,4900,222,98,103,95,346,78,3,1,27,54,6,130,0,314,49,490,147,49,0,9,1
