axis,window,model,nrmse,rms_q24,rms_real_f14,max_abs_q24,max_abs_real_f14,different_values,values,coefficient_bytes,weight_body_bytes,scale_bytes,metadata_bytes,common_bias_bytes,mult16x24,small_weight_products,small_weight_bits,sign_terms,scale16x_wide_multiplies,accum_add_or_sub,rne24_dot_values,bias_sat24_values,extra_latent24_bytes,original_U_latent24_bytes
lifting_raw,corner,weight_svd24,0.15503647004376964,6727.528286663057,0.41061574015277447,54338,3.3165283203125,15357,15360,9520,9216,0,16,288,4608,0,0,0,0,4584,120,96,0,72
lifting_raw,corner,activation_whitened24,0.09359369634311006,4061.32982403342,0.2478839003926648,34615,2.11273193359375,15356,15360,9520,9216,0,16,288,4608,0,0,0,0,4584,120,96,0,72
lifting_raw,interior,original32,0.0,0.0,0.0,0,0.0,0,15360,12592,12288,0,16,288,6144,0,0,0,0,6112,128,96,0,96
lifting_raw,interior,sign_residual_r0,0.5266660685128061,21985.786771853513,1.3419059308992622,130733,7.97930908203125,15359,15360,6896,6528,64,16,288,3072,0,0,3072,32,6112,128,96,0,96
lifting_raw,interior,sign_residual_r4,0.4478490478284785,18695.553520921647,1.1410860303296904,119298,7.2813720703125,15360,15360,7924,7552,64,20,288,3584,0,0,3072,32,6620,132,96,12,96
lifting_raw,interior,sign_residual_r8,0.3859084622139333,16109.83063262053,0.9832660298230304,91170,5.5645751953125,15359,15360,8948,8576,64,20,288,4096,0,0,3072,32,7128,136,96,24,96
lifting_raw,interior,sign_residual_r16,0.22400541395328005,9351.153532302875,0.5707491169618454,46035,2.80975341796875,15360,15360,10996,10624,64,20,288,5120,0,0,3072,32,8144,144,96,48,96
lifting_raw,interior,W4,0.07998552435080963,3339.0126844084652,0.20379716091360262,21583,1.31732177734375,15357,15360,8048,7680,64,16,288,3072,3072,4,0,32,6112,128,96,0,96
lifting_raw,interior,W8,0.00470984575620792,196.61351037234826,0.012000336326437272,1027,0.06268310546875,15316,15360,9584,9216,64,16,288,3072,3072,8,0,32,6112,128,96,0,96
lifting_raw,interior,original_ordered24,0.22411922508350202,9355.904602081093,0.5710390992481136,55162,3.3668212890625,15358,15360,9520,9216,0,16,288,4608,0,0,0,0,4584,120,96,0,72
lifting_raw,interior,weight_svd24,0.22876539532888637,9549.859964744193,0.5828771951137813,53481,3.26422119140625,15360,15360,9520,9216,0,16,288,4608,0,0,0,0,4584,120,96,0,72
lifting_raw,interior,activation_whitened24,0.15275347504106782,6376.726225017672,0.38920448150742626,42536,2.59619140625,15360,15360,9520,9216,0,16,288,4608,0,0,0,0,4584,120,96,0,72
