experiment,scope,candidate,control,control_cycles,candidate_cycles,reduction_percent,quality_scope,AEE,novelty_verdict,record
stream_parent_merge,complete_single_frame_r0_Q16_19200_tiles_cold,mode6_dense_q16,mode5_same_dense_q16,1437874585,1361527081,5.309747094528417,separate_Q16_float_consumers_valid825,1.2106890853803083,strong_product_reuse_A,stream_rtl/results_full.json
stream_parent_merge,complete_single_frame_r0_Q16_19200_tiles_cold,mode6_block_magnitude25,mode5_same_block_magnitude25,1110577614,1053569256,5.1332169207581435,separate_Q16_float_consumers_valid825,1.2655970935545984,strong_product_reuse_A,stream_rtl/results_full.json
stream_parent_merge,complete_single_frame_r0_Q16_19200_tiles_cold,mode6_cin_fullcost25,mode5_same_cin_fullcost25,1094526589,1034824441,5.454609198169058,separate_Q16_float_consumers_valid825,1.2992308516308682,strong_product_reuse_A,stream_rtl/results_full.json
integer_factor,8_real_tiles_new_source_origin_static_coefficients_resident_raw_p,mode7,mode6_expanded21_same_function_common_8MAC_budget,382536,186035,51.36797582449757,new_chain_diverse10_A800_float_consumers,1.3533257656301605,strong_factor_A,integer_factor/results.json
integer_factor,8_real_tiles_new_source_origin_static_coefficients_resident_raw_p,mode8,mode6_expanded21_same_function_common_8MAC_budget,382536,192947,49.561087061087065,new_chain_diverse10_A800_float_consumers,1.3533257656301605,slower_than_mode7_layout,integer_factor/results.json
one_axis_transform,8_real_tiles_exact_Q16_in_distinct_48bit_add_harness,horizontal_F23_vertical_direct,same_module_direct,178948,305875,-70.92954377808078,exact_leaf_function_no_new_network,,stop_this_layout_preserve_family,one_axis_transform/results.json
