first_tile,tiles,mode,stall,command,outputs,raw_outputs,J_outputs,total_cycles,static_words,parameter_stalls,source_load_words,external_source_words,padding_words,origin_words,source_load_stalls,output_beats,retired_tiles,core_cycles,core_source_words,core_weight_words,core_second_weight_words,core_local_source_reads,core_z_vector_reads,core_z_scalar_reads,core_z_writes,core_first_issues,core_dual_updates,core_psum_reads,core_psum_writes,core_mac_issues,core_source_stalls,core_weight_stalls,core_output_stalls,consumer_cycles,consumer_raw_words,consumer_identity_words,consumer_coefficient_words,consumer_mul_issues,consumer_add_issues,consumer_round_issues,consumer_output_words,consumer_identity_stalls,consumer_raw_wait_cycles,consumer_join_wait_cycles,consumer_output_stalls,consumer_saturations,consumer_conversion_issues,consumer_conversion_saturations,wall_seconds_so_far,identity_input,job_wall_seconds
128,64,14,0,0,245760,245760,245760,1199181,1848,0,98304,85344,12960,64,0,30720,64,1098452,85344,31381,6144,55168,99662,198720,98382,97102,0,30720,30720,198720,0,0,154816,1098836,30720,30720,1536,30720,61440,30720,30720,0,882196,882196,0,0,30720,0,0.531566,IEEE_binary32,1.065958559513092
128,64,14,0,1,245760,245760,245760,1197333,0,0,98304,85344,12960,64,0,30720,64,1098452,85344,31381,6144,55168,99662,198720,98382,97102,0,30720,30720,198720,0,0,154816,1098836,30720,30720,1536,30720,61440,30720,30720,0,882196,882196,0,0,30720,0,1.06202,IEEE_binary32,1.0659756353124976
128,64,14,1,0,245760,245760,245760,1279264,1848,154,98304,85344,12960,64,34847,30720,64,1143477,85344,31381,6144,55168,99662,198720,98382,97102,0,30720,30720,198720,8196,12010,179635,1143918,30720,30720,1536,30720,61440,30720,30720,7656,902402,910033,17245,0,30720,0,0.569932,IEEE_binary32,1.1473397621884942
128,64,14,1,1,245760,245760,245760,1277167,0,0,98304,85344,12960,64,34848,30720,64,1143381,85344,31381,6144,55168,99662,198720,98382,97102,0,30720,30720,198720,8170,11960,179615,1143822,30720,30720,1536,30720,61440,30720,30720,7626,902326,909939,17243,0,30720,0,1.14342,IEEE_binary32,1.1473597725853324
128,64,15,0,0,245760,245760,245760,1138971,1848,0,98304,85344,12960,64,0,30720,64,1038242,85344,31381,6144,55168,79592,198720,78312,77032,20070,30720,30720,198720,0,0,154816,1038626,30720,30720,1536,30720,61440,30720,30720,0,821986,821986,0,0,30720,0,0.506051,IEEE_binary32,1.0212188931182027
128,64,15,0,1,245760,245760,245760,1137123,0,0,98304,85344,12960,64,0,30720,64,1038242,85344,31381,6144,55168,79592,198720,78312,77032,20070,30720,30720,198720,0,0,154816,1038626,30720,30720,1536,30720,61440,30720,30720,0,821986,821986,0,0,30720,0,1.01749,IEEE_binary32,1.0212328638881445
128,64,15,1,0,245760,245760,245760,1219057,1848,154,98304,85344,12960,64,34863,30720,64,1083243,85344,31381,6144,55168,79592,198720,78312,77032,20070,30720,30720,198720,8228,11925,179664,1083695,30720,30720,1536,30720,61440,30720,30720,7657,842139,849782,17273,0,30720,0,0.542793,IEEE_binary32,1.0893137520179152
128,64,15,1,1,245760,245760,245760,1216912,0,0,98304,85344,12960,64,34827,30720,64,1083146,85344,31381,6144,55168,79592,198720,78312,77032,20070,30720,30720,198720,8169,11893,179658,1083588,30720,30720,1536,30720,61440,30720,30720,7655,842048,849684,17264,0,30720,0,1.08547,IEEE_binary32,1.0893326606601477
