candidate,file,valid_pixels,NB0_AEE,candidate_AEE,delta_AEE,excluded_from_holdout9
PED_R24/lifting_raw/original32,zurich_city_11_b_0001.npy,71275,0.8770144248,0.7647326729611484,-0.11228175183885158,False
PED_R24/lifting_raw/original32,zurich_city_09_a_0011.npy,34250,0.8308005246,0.7604036787044542,-0.07039684589554573,False
PED_R24/lifting_raw/original32,zurich_city_07_a_0011.npy,53178,1.8373696007,1.4063722681497024,-0.4309973325502976,False
PED_R24/lifting_raw/original32,zurich_city_02_c_0011.npy,49226,1.1510100576,0.9668612580909535,-0.1841487995090465,False
PED_R24/lifting_raw/original32,zurich_city_11_b_0011.npy,64608,1.1328364425,0.9840012447191113,-0.1488351977808886,False
PED_R24/lifting_raw/original32,zurich_city_09_a_0021.npy,33116,1.0459005607,0.9329270064702652,-0.11297355422973487,False
PED_R24/lifting_raw/original32,zurich_city_07_a_0021.npy,66633,2.1661010685,1.70859415104699,-0.4575069174530102,False
PED_R24/lifting_raw/original_ordered24,zurich_city_09_a_0001.npy,33225,1.528197658,1.4521541225575079,-0.0760435354424922,True
PED_R24/lifting_raw/original_ordered24,zurich_city_07_a_0001.npy,60911,2.7632396037,1.899099550103369,-0.8641400535966313,False
PED_R24/lifting_raw/original_ordered24,zurich_city_02_c_0001.npy,50313,1.2135586696,1.0126282760062146,-0.2009303935937854,False
PED_R24/lifting_raw/original_ordered24,zurich_city_11_b_0001.npy,71275,0.8770144248,0.7152863776470919,-0.16172804715290812,False
PED_R24/lifting_raw/original_ordered24,zurich_city_09_a_0011.npy,34250,0.8308005246,0.7691622917969596,-0.06163823280304037,False
PED_R24/lifting_raw/original_ordered24,zurich_city_07_a_0011.npy,53178,1.8373696007,1.3041672880835915,-0.5332023126164085,False
PED_R24/lifting_raw/original_ordered24,zurich_city_02_c_0011.npy,49226,1.1510100576,1.0557066867473406,-0.09530337085265939,False
PED_R24/lifting_raw/original_ordered24,zurich_city_11_b_0011.npy,64608,1.1328364425,1.0133641129876523,-0.11947232951234765,False
