case,real,order,mode,bp,packed32,prefetch,frontier,resident,active_pf,cycles,channels,batches,pairs,scalar_mac,words,xwords,graph_words,prefetch_words,cache_hits,refetches,peak_slots,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p1,1,1,2,1,1,1,1,0,0,1276,58,46,403,4030,230,116,93,74,0,9,2,309,98,1,1,30,57,6,160,0,325,46,460,138,46,0,7,1
train0_p1,1,1,2,1,1,1,1,0,1,1231,58,46,403,4030,236,116,99,91,0,9,2,336,62,1,1,30,57,6,124,0,316,46,460,138,46,0,7,1
train0_p1,1,1,2,1,1,1,1,1,0,1247,58,46,403,4030,212,98,93,74,9,0,4,309,71,5,1,30,57,6,168,0,284,46,460,138,46,0,11,1
train0_p1,1,1,2,1,1,1,1,1,1,1196,58,46,403,4030,218,98,99,91,9,0,4,336,62,3,1,30,57,6,124,0,279,46,460,138,46,0,9,1
train0_p1,1,1,3,0,1,1,0,1,0,1045,49,49,490,4900,213,98,94,88,0,0,4,343,0,0,1,21,21,6,108,0,147,49,490,147,49,0,6,1
train0_p1,1,1,3,0,1,1,0,1,1,1045,49,49,490,4900,213,98,94,88,0,0,4,343,0,0,1,21,21,6,108,0,147,49,490,147,49,0,6,1
train0_p1,1,1,3,0,1,1,1,1,0,989,58,46,403,4030,209,98,90,73,9,0,4,311,0,0,1,21,21,6,112,0,132,46,460,138,46,0,6,1
train0_p1,1,1,3,0,1,1,1,1,1,982,58,46,403,4030,216,98,97,90,9,0,4,338,0,0,1,21,21,6,105,0,132,46,460,138,46,0,6,1
train0_p1,1,1,3,1,1,1,0,1,0,1269,49,49,490,4900,213,98,94,88,0,0,4,343,75,5,1,27,54,6,122,0,313,49,490,147,49,0,11,1
train0_p1,1,1,3,1,1,1,0,1,1,1269,49,49,490,4900,213,98,94,88,0,0,4,343,75,5,1,27,54,6,122,0,313,49,490,147,49,0,11,1
train0_p1,1,1,3,1,1,1,1,1,0,1199,58,46,403,4030,209,98,90,73,9,0,4,311,68,4,1,27,54,6,133,0,278,46,460,138,46,0,10,1
train0_p1,1,1,3,1,1,1,1,1,1,1184,58,46,403,4030,216,98,97,90,9,0,4,338,78,3,1,27,54,6,117,0,280,46,460,138,46,0,9,1
train0_p2,1,1,1,0,1,1,0,1,0,1297,64,64,640,6400,158,128,0,116,0,0,4,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p2,1,1,1,0,1,1,0,1,1,1297,64,64,640,6400,158,128,0,116,0,0,4,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p2,1,1,1,1,1,1,0,1,0,1379,64,64,640,6400,158,128,0,116,0,0,4,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p2,1,1,1,1,1,1,0,1,1,1379,64,64,640,6400,158,128,0,116,0,0,4,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p2,1,1,2,0,1,1,0,1,0,1025,48,48,480,4800,212,96,95,88,0,0,4,338,0,0,1,21,21,6,106,0,144,48,480,144,48,0,6,1
train0_p2,1,1,2,0,1,1,0,1,1,1025,48,48,480,4800,212,96,95,88,0,0,4,338,0,0,1,21,21,6,106,0,144,48,480,144,48,0,6,1
train0_p2,1,1,2,0,1,1,1,0,0,980,56,45,399,3990,226,112,93,79,0,8,2,320,0,0,1,21,21,6,109,0,141,45,450,135,45,0,6,1
train0_p2,1,1,2,0,1,1,1,0,1,975,56,45,399,3990,230,112,97,89,0,8,2,335,0,0,1,21,21,6,104,0,141,45,450,135,45,0,6,1
