case,real,order,mode,bp,packed32,prefetch,frontier,resident,active_pf,cycles,channels,batches,pairs,scalar_mac,words,xwords,graph_words,prefetch_words,cache_hits,refetches,peak_slots,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p1,1,1,2,0,1,1,0,1,1,1046,49,49,490,4900,216,98,97,90,0,0,4,341,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p1,1,1,2,0,1,1,1,0,0,1000,58,46,403,4030,230,116,93,74,0,9,2,309,0,0,1,21,21,6,113,0,142,46,460,138,46,0,6,1
train0_p1,1,1,2,0,1,1,1,0,1,993,58,46,403,4030,236,116,99,91,0,9,2,336,0,0,1,21,21,6,106,0,142,46,460,138,46,0,6,1
train0_p1,1,1,2,0,1,1,1,1,0,990,58,46,403,4030,212,98,93,74,9,0,4,309,0,0,1,21,21,6,113,0,132,46,460,138,46,0,6,1
train0_p1,1,1,2,0,1,1,1,1,1,983,58,46,403,4030,218,98,99,91,9,0,4,336,0,0,1,21,21,6,106,0,132,46,460,138,46,0,6,1
train0_p1,1,1,2,1,1,1,0,0,0,1271,49,49,490,4900,216,98,97,90,0,0,1,341,75,4,1,30,57,6,124,0,308,49,490,147,49,0,10,1
train0_p1,1,1,2,1,1,1,0,0,1,1271,49,49,490,4900,216,98,97,90,0,0,1,341,75,4,1,30,57,6,124,0,308,49,490,147,49,0,10,1
train0_p1,1,1,2,1,1,1,0,1,0,1271,49,49,490,4900,216,98,97,90,0,0,4,341,75,4,1,30,57,6,124,0,308,49,490,147,49,0,10,1
train0_p1,1,1,2,1,1,1,0,1,1,1271,49,49,490,4900,216,98,97,90,0,0,4,341,75,4,1,30,57,6,124,0,308,49,490,147,49,0,10,1
train0_p1,1,1,2,1,1,1,1,0,0,1276,58,46,403,4030,230,116,93,74,0,9,2,309,98,1,1,30,57,6,160,0,325,46,460,138,46,0,7,1
train0_p1,1,1,2,1,1,1,1,0,1,1231,58,46,403,4030,236,116,99,91,0,9,2,336,62,1,1,30,57,6,124,0,316,46,460,138,46,0,7,1
train0_p1,1,1,2,1,1,1,1,1,0,1247,58,46,403,4030,212,98,93,74,9,0,4,309,71,5,1,30,57,6,168,0,284,46,460,138,46,0,11,1
train0_p1,1,1,2,1,1,1,1,1,1,1196,58,46,403,4030,218,98,99,91,9,0,4,336,62,3,1,30,57,6,124,0,279,46,460,138,46,0,9,1
train0_p1,1,1,3,0,1,1,0,0,0,1045,49,49,490,4900,213,98,94,88,0,0,1,343,0,0,1,21,21,6,108,0,147,49,490,147,49,0,6,1
