mode,groups,cycles,header_planes,source_reads,tau_reads,request_stall,response_wait,output_stall,dec_mismatch,plane_mismatch,exponent_mismatch
fx_full,20000,1900001,480000,100000,200000,168572,600000,11429,0,0,0
fx_cert,20000,1696171,267368,100000,200000,175851,600000,12952,0,0,0
bf_full,20000,1725432,296376,100000,200000,178457,600000,10599,0,0,0
bf_cert,20000,1511091,84219,100000,200000,174856,600000,12016,0,0,0
