mode,groups,cycles,header_planes,source_reads,tau_reads,request_stall,response_wait,output_stall,dec_mismatch,plane_mismatch,exponent_mismatch
fx_full,20000,1900001,480000,100000,200000,168572,600000,11429,0,0,0
fx_cert,20000,1676491,251521,100000,200000,172181,600000,12789,0,0,0
bf_full,20000,1743676,310535,100000,200000,179376,600000,13765,0,0,0
bf_cert,20000,1510726,83525,100000,200000,174768,600000,12433,0,0,0
