mode,groups,cycles,header_planes,source_reads,tau_reads,request_stall,response_wait,output_stall,dec_mismatch,plane_mismatch,exponent_mismatch
fx_full,20000,1900001,480000,100000,200000,168572,600000,11429,0,0,0
fx_cert,20000,1677288,252218,100000,200000,172313,600000,12757,0,0,0
bf_full,20000,1744148,311020,100000,200000,179248,600000,13880,0,0,0
bf_cert,20000,1511951,84782,100000,200000,174889,600000,12280,0,0,0
