mode,groups,cycles,header_planes,source_reads,tau_reads,request_stall,response_wait,output_stall,dec_mismatch,plane_mismatch,exponent_mismatch
fx_full,20000,1120000,480000,100000,200000,0,0,0,0,0,0
fx_cert,20000,907368,267368,100000,200000,0,0,0,0,0,0
bf_full,20000,936376,296376,100000,200000,0,0,0,0,0,0
bf_cert,20000,724219,84219,100000,200000,0,0,0,0,0,0
