mode,groups,cycles,header_planes,source_reads,tau_reads,request_stall,response_wait,output_stall,dec_mismatch,plane_mismatch,exponent_mismatch
fx_full,20000,1120000,480000,100000,200000,0,0,0,0,0,0
fx_cert,20000,892218,252218,100000,200000,0,0,0,0,0,0
bf_full,20000,951020,311020,100000,200000,0,0,0,0,0,0
bf_cert,20000,724782,84782,100000,200000,0,0,0,0,0,0
