mode,groups,cycles,header_planes,source_reads,tau_reads,request_stall,response_wait,output_stall,dec_mismatch,plane_mismatch,exponent_mismatch
fx_full,35,3326,840,175,350,296,1050,20,0,0,0
fx_cert,35,3326,840,175,350,296,1050,20,0,0,0
bf_full,35,3261,803,175,350,279,1050,9,0,0,0
bf_cert,35,3261,803,175,350,279,1050,9,0,0,0
