layer,spikes,elements,firing_rate,dense_flops,effective_flops,synops,energy_j,op_type
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_k,2687272,74649600,0.03599847822359396,3662309376.0,131837564.32,2687272,2.687272e-07,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_q,4112762,74649600,0.055094226894718795,3662309376.0,201772103.72,4112762,4.112762e-07,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.sn1,9612275,66355200,0.14486091519579475,24461180928.0,3543469056.0,9612275,8.6510475e-06,accumulate
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.sn2,24012460,265420800,0.09046939802758487,16307453952.0,1475325542.3999999,24012460,2.1611214e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.attn_sn,0,74649600,0.0,9766158336.0,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.proj_sn,12705995,74649600,0.17020848068844308,7324618752.0,1246712229.4,12705995,1.14353955e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn2_q,144144,2332800,0.06179012345679012,3662309376.0,226294548.48,144144,1.4414400000000001e-08,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn_k,2119928,74649600,0.02839838391632373,3662309376.0,104003667.68,2119928,2.119928e-07,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn_q,1033687,74649600,0.013847187392832647,3662309376.0,50712684.22,1033687,1.033687e-07,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.sn1,11198411,66355200,0.16876463336709105,24461180928.0,4128182231.04,11198411,1.00785699e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.sn2,10223761,265420800,0.038519064820842976,16307453952.0,628147875.8399999,10223761,9.2013849e-06,accumulate
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.attn_sn,0,74649600,0.0,9766158336.0,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.proj_sn,7939926,74649600,0.10636260609567902,7324618752.0,779065539.12,7939926,7.1459334e-06,accumulate
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn2_q,282255,2332800,0.12099408436213992,3662309376.0,443117769.6,282255,2.82255e-08,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn_k,4561983,74649600,0.061111955054012346,3662309376.0,223810885.98,4561983,4.561983e-07,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn_q,4627899,74649600,0.06199496045524691,3662309376.0,227044724.94,4627899,4.6278990000000004e-07,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.sn1,13718202,66355200,0.20673891420717594,24461180928.0,5057077985.280001,13718202,1.23463818e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.sn2,16030721,265420800,0.06039738031081211,16307453952.0,984927498.24,16030721,1.44276489e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.attn_sn,0,74649600,0.0,9766158336.0,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.proj_sn,4054605,74649600,0.05431516042952675,7324618752.0,397837842.6,4054605,3.6491445e-06,accumulate
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn2_q,0,2332800,0.0,3662309376.0,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn_k,229304,74649600,0.0030717378257887518,3662309376.0,11249654.24,229304,2.29304e-08,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn_q,13025,74649600,0.0001744818458504801,3662309376.0,639006.5,13025,1.3025e-09,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.sn1,15862361,66355200,0.23905226719232253,24461180928.0,5847500759.04,15862361,1.42761249e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.mlp.sn2,16816314,265420800,0.06335718225549769,16307453952.0,1033194332.1600001,16816314,1.51346826e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.attn_sn,0,74649600,0.0,9766158336.0,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.proj_sn,16319501,74649600,0.2186147146133402,7324618752.0,1601269438.1200001,16319501,1.46875509e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.sn2_q,653037,2332800,0.2799369855967078,3662309376.0,1025215847.04,653037,6.53037e-08,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.sn_k,2312166,74649600,0.03097358860596708,3662309376.0,113434863.96,2312166,2.312166e-07,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.attn.sn_q,8101519,74649600,0.10852729284550755,3662309376.0,397460522.14000005,8101519,8.101519e-07,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.sn1,15256509,66355200,0.22992182978877315,24461180928.0,5624159477.76,15256509,1.37308581e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.4.mlp.sn2,14156566,265420800,0.05333630973910108,16307453952.0,869779415.04,14156566,1.27409094e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.attn_sn,0,74649600,0.0,9766158336.0,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.proj_sn,16889989,74649600,0.22625692569015776,7324618752.0,1657245720.68,16889989,1.52009901e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.sn2_q,518192,2332800,0.22213305898491084,3662309376.0,813519984.64,518192,5.18192e-08,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.sn_k,6844574,74649600,0.09168935935356654,3662309376.0,335794800.44,6844574,6.844574e-07,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.attn.sn_q,2090677,74649600,0.028006539887688614,3662309376.0,102568613.62,2090677,2.090677e-07,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.sn1,17832421,66355200,0.26874187704957564,24461180928.0,6573743677.440001,17832421,1.60491789e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.5.mlp.sn2,16014276,265420800,0.06033542209201389,16307453952.0,983917117.44,16014276,1.44128484e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.attn_sn,0,49766400,0.0,8798699520.0,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.proj_sn,3286633,49766400,0.06604120450745884,6599024640.0,435807535.79999995,3286633,2.9579697e-06,accumulate
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.sn2_q,262231,1555200,0.1686156121399177,3299512320.0,556349289.6,262231,2.62231e-08,logic
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.sn_k,1903080,49766400,0.03824025848765432,3299512320.0,126174204.0,1903080,1.90308e-07,logic
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.attn.sn_q,3846947,49766400,0.07730008600180041,3299512320.0,255052586.1,3846947,3.846947e-07,logic
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.sn1,3547712,33177600,0.1069309413580247,24461180928.0,2615657103.36,3547712,3.1929408e-06,accumulate
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.sn2,12835884,132710400,0.0967210105613426,16307453952.0,1577273425.92,12835884,1.15522956e-05,accumulate
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.attn.attn_sn,0,49766400,0.0,8798699520.0,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.attn.proj_sn,6330045,49766400,0.12719515576774693,6599024640.0,839363967.0000001,6330045,5.6970405e-06,accumulate
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.attn.sn2_q,267169,1555200,0.17179076646090535,3299512320.0,566825750.4,267169,2.67169e-08,logic
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.attn.sn_k,2513682,49766400,0.050509620949074074,3299512320.0,166657116.6,2513682,2.513682e-07,logic
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.attn.sn_q,1450223,49766400,0.0291406049061214,3299512320.0,96149784.9,1450223,1.4502230000000002e-07,logic
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.sn1,5358599,33177600,0.16151255666473766,24461180928.0,3950787870.72,5358599,4.8227391e-06,accumulate
sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.1.mlp.sn2,7750988,132710400,0.05840527946566358,16307453952.0,952441405.44,7750988,6.9758892e-06,accumulate
sttmultires_unet.encoders.swin3d.patch_embed.head.sn,237391527,2123366400,0.11179960604067202,955514880.0,106826187.14999999,237391527,0.0002136523743,accumulate
