axis,window,pressure,arm,stage,slots
ordinary,corner,ready,full_code8,noncausal_T10_sn2,201984
ordinary,corner,ready,full_code8,integer_coefficient_replace,7692
ordinary,corner,ready,full_code8,original_I24_input,51840
ordinary,corner,ready,full_code8,integer_NRVs_from_actual_sn2,45877
ordinary,corner,ready,full_code8,integer_Conv2_U16,29831
ordinary,corner,ready,full_code8,resident_F,59544
ordinary,corner,ready,full_code8,integer_BN2_residual_merge,57600
ordinary,corner,ready,full_code8,integer_projection_gate,102912
ordinary,corner,ready,full_code8,quantizer_constant_cold_fill,360
ordinary,corner,ready,full_code8,latent_CSE_control_cold_fill,1122
ordinary,corner,ready,full_code8,quantizer_predictor,9052
ordinary,corner,ready,full_code8,quantizer_actual_I24_read,17280
ordinary,corner,ready,full_code8,quantizer_RNE_clip8,17280
ordinary,corner,ready,full_code8,quantizer_code8_materialize,1920
ordinary,corner,ready,full_code8,retained_U_clear,960
ordinary,corner,ready,full_code8,U_actual_source_gather,14100
ordinary,corner,ready,full_code8,Uq_and_Ug_weight_supply,59397
ordinary,corner,ready,full_code8,U_scale_and_Uc_before_original_RNE,5760
ordinary,corner,ready,full_code8,U_full_D_existing_shift_add_CSE,73872
ordinary,corner,ready,full_code8,original_U_RNE_sat,2880
ordinary,corner,ready,full_code8,retained_P1_H48_V,85312
ordinary,corner,ready,full_code8,continuous_PED_egress,18720
ordinary,corner,ready,full_code8,projection_gate_egress,4992
ordinary,interior,ready,raw,coefficient_cold_fill,23352
ordinary,interior,ready,raw,source_I24_input,98010
ordinary,interior,ready,raw,source_compiled_temporal_program,673728
ordinary,interior,ready,raw,preview_complete_K864_coalesced_directory,262570
ordinary,interior,ready,raw,preview_U32_full_K,383542
ordinary,interior,ready,raw,preview_V32_BN1,424560
ordinary,interior,ready,raw,noncausal_T10_sn2,260712
ordinary,interior,ready,raw,integer_coefficient_replace,7692
ordinary,interior,ready,raw,original_I24_input,65610
ordinary,interior,ready,raw,integer_projection_gate,130248
ordinary,interior,ready,raw,integer_NRVs_from_actual_sn2,49479
ordinary,interior,ready,raw,integer_Conv2_U16,21551
ordinary,interior,ready,raw,resident_F,60384
ordinary,interior,ready,raw,integer_BN2_residual_merge,57600
ordinary,interior,ready,raw,retained_U_clear,480
ordinary,interior,ready,raw,U_actual_source_gather,17280
ordinary,interior,ready,raw,Uq_and_Ug_weight_supply,50720
ordinary,interior,ready,raw,original_U_RNE_sat,2880
ordinary,interior,ready,raw,retained_P1_H48_V,85312
ordinary,interior,ready,raw,continuous_PED_egress,18720
ordinary,interior,ready,raw,projection_gate_egress,6318
