case	real	time	intersection	reduce	stress	cycles_through_done_handshake	last_gate	source_reads	w_reads	w_zero	packets	events	commits	source_req_wait	w_req_wait	w_response_wait	output_wait	barrier_wait	psn_issues	nr_peak	w_pending_peak	w_accept_peak	source_accept_peak	first_tile0	first_tile1	w_metadata_reads	w_value_reads	compare_active_PE_beats	weight_pointer_advances_without_value	nrv_skips	nnz_tile0	nnz_tile1	image_bytes_tile0	image_bytes_tile1
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	0	1	0	2166	2159	288	1954	30	484	4305	3185	0	0	0	0	7	2464	2	4	4	4	2	1	0	1954	0	0	0	375	380	384	384
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	0	1	1	5304	5297	288	1954	30	484	4305	3185	49	671	0	7	12	2464	2	4	4	4	2	1	0	1954	0	0	0	375	380	384	384
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	1	0	0	6478	6471	288	7956	0	484	4305	3185	0	0	0	0	15	2464	2	4	4	4	2	1	6032	1924	7516	1084	30	375	380	1127	1142
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	1	0	1	20122	20115	288	7956	0	484	4305	3185	38	2592	0	10	22	2464	1	4	4	3	2	1	6032	1924	12507	1084	30	375	380	1127	1142
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	1	1	0	6472	6465	288	7956	0	484	4305	3185	0	0	0	0	9	2464	2	4	4	4	2	1	6032	1924	7516	1084	30	375	380	1127	1142
v000_zurich_city_09_a_0001_s2b1_p136_h211_944_packed_time	1	1	1	1	1	19835	19828	288	7956	0	484	4305	3185	46	2591	0	19	9	2464	1	4	4	3	2	1	6032	1924	12416	1084	30	375	380	1127	1142
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	0	0	0	2675	2668	288	2822	51	695	6666	5069	0	0	0	0	2	2496	2	4	4	4	1	0	0	2822	0	0	0	377	377	384	384
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	0	0	1	7300	7293	288	2822	51	695	6666	5069	42	905	0	49	16	2496	2	4	3	4	0	3	0	2822	0	0	0	377	377	384	384
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	0	1	0	2675	2668	288	2822	51	695	6666	5069	0	0	0	0	1	2496	2	4	4	4	1	0	0	2822	0	0	0	377	377	384	384
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	0	1	1	7369	7362	288	2822	51	695	6666	5069	44	949	0	31	12	2496	2	4	3	3	3	0	0	2822	0	0	0	377	377	384	384
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	1	0	0	7174	7167	288	8819	0	695	6666	5069	0	0	0	0	3	2496	2	4	4	4	2	0	6048	2771	9667	245	51	377	377	1133	1133
v000_zurich_city_09_a_0001_s2b2_p272_h422_1155_packed_class	1	0	1	0	1	22153	22146	288	8819	0	695	6666	5069	46	2976	0	37	19	2496	1	4	4	3	3	0	6048	2771	17169	245	51	377	377	1133	1133
