receipt,fixture,first_tile,tiles,mode,stall,command,total_cycles,static_words,source_load_words,external_source_words,padding_words,core_weight_words,core_z_vector_reads,core_z_writes,core_psum_reads,core_psum_writes,core_first_issues,core_mac_issues,core_output_stalls,consumer_cycles,consumer_join_wait_cycles,consumer_output_stalls,output_beats,window_cycles,conflict_cycles,both_compute_cycles,shared_alu_grants
results.json,real_0,,,0,0,0,15901,1848,1536,864,672,231,405,385,480,480,365,2424,2419,12513,9128,0,480,12514,0,0,2789
results.json,real_0,,,0,0,1,14053,0,1536,864,672,231,405,385,480,480,365,2424,2419,12513,9128,0,480,12514,0,0,2789
results.json,real_0,,,0,1,0,17094,1848,1536,864,672,231,405,385,480,480,365,2424,2809,13075,9420,270,480,13076,0,0,2789
results.json,real_0,,,0,1,1,15089,0,1536,864,672,231,405,385,480,480,365,2424,2806,13072,9419,268,480,13073,0,0,2789
results.json,real_0,,,1,0,0,15901,1848,1536,864,672,231,405,385,480,480,365,2424,2419,12513,9128,0,480,12514,0,0,2789
results.json,real_0,,,1,0,1,14053,0,1536,864,672,231,405,385,480,480,365,2424,2419,12513,9128,0,480,12514,0,0,2789
results.json,real_0,,,1,1,0,17094,1848,1536,864,672,231,405,385,480,480,365,2424,2809,13075,9420,270,480,13076,0,0,2789
results.json,real_0,,,1,1,1,15089,0,1536,864,672,231,405,385,480,480,365,2424,2806,13072,9419,268,480,13073,0,0,2789
results.json,real_0,,,2,0,0,15901,1848,1536,864,672,231,405,385,480,480,365,2424,2419,12513,9128,0,480,12514,0,0,2789
results.json,real_0,,,2,0,1,14053,0,1536,864,672,231,405,385,480,480,365,2424,2419,12513,9128,0,480,12514,0,0,2789
results.json,real_0,,,2,1,0,17094,1848,1536,864,672,231,405,385,480,480,365,2424,2809,13075,9420,270,480,13076,0,0,2789
results.json,real_0,,,2,1,1,15089,0,1536,864,672,231,405,385,480,480,365,2424,2806,13072,9419,268,480,13073,0,0,2789
results.json,real_1,,,0,0,0,17853,1848,1536,864,672,385,865,845,480,480,825,2688,2419,14465,11080,0,480,14466,0,0,3513
results.json,real_1,,,0,0,1,16005,0,1536,864,672,385,865,845,480,480,825,2688,2419,14465,11080,0,480,14466,0,0,3513
results.json,real_1,,,0,1,0,19122,1848,1536,864,672,385,865,845,480,480,825,2688,2810,15102,11445,272,480,15103,0,0,3513
results.json,real_1,,,0,1,1,17117,0,1536,864,672,385,865,845,480,480,825,2688,2809,15099,11445,269,480,15100,0,0,3513
results.json,real_1,,,1,0,0,17853,1848,1536,864,672,385,865,845,480,480,825,2688,2419,14465,11080,0,480,14466,0,0,3513
results.json,real_1,,,1,0,1,16005,0,1536,864,672,385,865,845,480,480,825,2688,2419,14465,11080,0,480,14466,0,0,3513
results.json,real_1,,,1,1,0,19122,1848,1536,864,672,385,865,845,480,480,825,2688,2810,15102,11445,272,480,15103,0,0,3513
results.json,real_1,,,1,1,1,17117,0,1536,864,672,385,865,845,480,480,825,2688,2809,15099,11445,269,480,15100,0,0,3513
results.json,real_1,,,2,0,0,17853,1848,1536,864,672,385,865,845,480,480,825,2688,2419,14465,11080,0,480,14466,0,0,3513
results.json,real_1,,,2,0,1,16005,0,1536,864,672,385,865,845,480,480,825,2688,2419,14465,11080,0,480,14466,0,0,3513
results.json,real_1,,,2,1,0,19122,1848,1536,864,672,385,865,845,480,480,825,2688,2810,15102,11445,272,480,15103,0,0,3513
results.json,real_1,,,2,1,1,17117,0,1536,864,672,385,865,845,480,480,825,2688,2809,15099,11445,269,480,15100,0,0,3513
