arm,mode5_core,mode6_core,saved_core,saved_percent,mode6_fresh_source_origin,source_words,weight_words,mode5_updates,mode6_updates,parent_builds,merge_beats,mode5_stressed_core,mode6_stressed_core
dense,391120,371056,20064,5.129883411740642,383352,9600,41088,73428,67068,2496,6360,408283,388875
block_magnitude25,303052,288134,14918,4.92258754273194,300430,9600,30977,55378,50635,1862,4743,316707,302206
cin_magnitude25,302380,287080,15300,5.059858456247106,299376,7200,31560,56472,51528,2172,4944,316095,301216
cin_fullcost25,294316,277996,16320,5.545060411258647,290292,7200,30840,54816,49548,2052,5268,307711,292120
mixed_retirement25,300848,285212,15636,5.197308940062756,297508,9600,30765,55064,50029,1935,5035,314382,299238
