case,real,order,mode,bp,packed32,prefetch,frontier,cycles,channels,batches,pairs,scalar_mac,words,xwords,graph_words,prefetch_words,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p4,1,1,1,1,1,1,0,1379,64,64,640,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p4,1,1,2,0,1,1,0,1066,50,50,500,5000,224,100,103,96,340,0,0,1,21,21,6,111,0,150,50,500,150,50,0,6,1
train0_p4,1,1,2,0,1,1,1,1003,62,46,401,4010,242,124,97,76,301,0,0,1,21,21,6,114,0,144,46,460,138,46,0,6,1
train0_p4,1,1,2,1,1,1,0,1294,50,50,500,5000,224,100,103,96,340,80,4,1,30,57,6,126,0,314,50,500,150,50,0,10,1
train0_p4,1,1,2,1,1,1,1,1280,62,46,401,4010,242,124,97,76,301,95,2,1,30,57,6,160,0,328,46,460,138,46,0,8,1
train0_p4,1,1,3,0,1,1,0,1065,50,50,500,5000,218,100,97,91,341,0,0,1,21,21,6,110,0,150,50,500,150,50,0,6,1
train0_p4,1,1,3,0,1,1,1,1002,62,46,401,4010,235,124,90,71,302,0,0,1,21,21,6,113,0,144,46,460,138,46,0,6,1
train0_p4,1,1,3,1,1,1,0,1291,50,50,500,5000,218,100,97,91,341,75,5,1,27,54,6,124,0,318,50,500,150,50,0,11,1
train0_p4,1,1,3,1,1,1,1,1258,62,46,401,4010,235,124,90,71,302,90,2,1,27,54,6,149,0,323,46,460,138,46,0,8,1
train0_p5,1,1,1,0,1,1,0,1297,64,64,640,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p5,1,1,1,1,1,1,0,1379,64,64,640,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p5,1,1,2,0,1,1,0,1027,48,48,480,4800,221,96,104,96,341,0,0,1,21,21,6,108,0,144,48,480,144,48,0,6,1
train0_p5,1,1,2,0,1,1,1,1001,58,46,403,4030,238,116,101,86,328,0,0,1,21,21,6,112,0,144,46,460,138,46,0,6,1
train0_p5,1,1,2,1,1,1,0,1247,48,48,480,4800,221,96,104,96,341,61,4,1,30,57,6,124,0,299,48,480,144,48,0,10,1
train0_p5,1,1,2,1,1,1,1,1251,58,46,403,4030,238,116,101,86,328,80,1,1,30,57,6,149,0,311,46,460,138,46,0,7,1
train0_p5,1,1,3,0,1,1,0,1027,48,48,480,4800,216,96,99,91,341,0,0,1,21,21,6,108,0,144,48,480,144,48,0,6,1
train0_p5,1,1,3,0,1,1,1,1001,58,46,403,4030,234,116,97,82,328,0,0,1,21,21,6,112,0,144,46,460,138,46,0,6,1
train0_p5,1,1,3,1,1,1,0,1239,48,48,480,4800,216,96,99,91,341,63,0,1,27,54,6,123,0,302,48,480,144,48,0,6,1
train0_p5,1,1,3,1,1,1,1,1249,58,46,403,4030,234,116,97,82,328,78,0,1,27,54,6,144,0,321,46,460,138,46,0,6,1
train0_p6,1,1,1,0,1,1,0,1297,64,64,640,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p6,1,1,1,1,1,1,0,1379,64,64,640,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p6,1,1,2,0,1,1,0,1026,48,48,480,4800,213,96,96,88,345,0,0,1,21,21,6,107,0,144,48,480,144,48,0,6,1
train0_p6,1,1,2,0,1,1,1,977,53,45,411,4110,222,106,95,81,333,0,0,1,21,21,6,108,0,139,45,450,135,45,0,6,1
train0_p6,1,1,2,1,1,1,0,1247,48,48,480,4800,213,96,96,88,345,61,4,1,30,57,6,122,0,301,48,480,144,48,0,10,1
train0_p6,1,1,2,1,1,1,1,1225,53,45,411,4110,222,106,95,81,333,78,2,1,30,57,6,141,0,307,45,450,135,45,0,8,1
train0_p6,1,1,3,0,1,1,0,1026,48,48,480,4800,211,96,94,86,345,0,0,1,21,21,6,107,0,144,48,480,144,48,0,6,1
train0_p6,1,1,3,0,1,1,1,977,53,45,411,4110,219,106,92,79,333,0,0,1,21,21,6,108,0,139,45,450,135,45,0,6,1
train0_p6,1,1,3,1,1,1,0,1239,48,48,480,4800,211,96,94,86,345,60,3,1,27,54,6,121,0,301,48,480,144,48,0,9,1
train0_p6,1,1,3,1,1,1,1,1214,53,45,411,4110,219,106,92,79,333,84,4,1,27,54,6,134,0,307,45,450,135,45,0,10,1
train0_p7,1,1,1,0,1,1,0,1297,64,64,640,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p7,1,1,1,1,1,1,0,1379,64,64,640,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p7,1,1,2,0,1,1,0,1108,52,52,520,5200,242,104,117,107,346,0,0,1,21,21,6,117,0,156,52,520,156,52,0,6,1
train0_p7,1,1,2,0,1,1,1,1001,65,46,410,4100,264,130,113,88,313,0,0,1,21,21,6,114,0,142,46,460,138,46,0,6,1
train0_p7,1,1,2,1,1,1,0,1335,52,52,520,5200,242,104,117,107,346,84,2,1,30,57,6,131,0,322,52,520,156,52,0,8,1
train0_p7,1,1,2,1,1,1,1,1276,65,46,410,4100,264,130,113,88,313,100,2,1,30,57,6,159,0,325,46,460,138,46,0,8,1
train0_p7,1,1,3,0,1,1,0,1107,52,52,520,5200,240,104,115,106,347,0,0,1,21,21,6,116,0,156,52,520,156,52,0,6,1
train0_p7,1,1,3,0,1,1,1,1001,65,46,410,4100,261,130,110,85,309,0,0,1,21,21,6,114,0,142,46,460,138,46,0,6,1
train0_p7,1,1,3,1,1,1,0,1346,52,52,520,5200,240,104,115,106,347,81,8,1,27,54,6,134,0,330,52,520,156,52,0,14,1
train0_p7,1,1,3,1,1,1,1,1249,65,46,410,4100,261,130,110,85,309,89,2,1,27,54,6,150,0,313,46,460,138,46,0,8,1
train0_p8,1,1,1,0,1,1,0,1297,64,64,640,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p8,1,1,1,1,1,1,0,1379,64,64,640,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p8,1,1,2,0,1,1,0,1047,49,49,490,4900,216,98,97,89,344,0,0,1,21,21,6,110,0,147,49,490,147,49,0,6,1
train0_p8,1,1,2,0,1,1,1,1014,55,47,408,4080,226,110,95,83,332,0,0,1,21,21,6,111,0,143,47,470,141,47,0,6,1
train0_p8,1,1,2,1,1,1,0,1276,49,49,490,4900,216,98,97,89,344,62,1,1,30,57,6,136,0,304,49,490,147,49,0,7,1
train0_p8,1,1,2,1,1,1,1,1251,55,47,408,4080,226,110,95,83,332,71,0,1,30,57,6,140,0,306,47,470,141,47,0,6,1
train0_p8,1,1,3,0,1,1,0,1046,49,49,490,4900,214,98,95,87,343,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p8,1,1,3,0,1,1,1,995,54,46,407,4070,221,108,92,80,330,0,0,1,21,21,6,110,0,140,46,460,138,46,0,6,1
train0_p8,1,1,3,1,1,1,0,1243,49,49,490,4900,214,98,95,87,343,63,0,1,27,54,6,121,0,293,49,490,147,49,0,6,1
train0_p8,1,1,3,1,1,1,1,1243,54,46,407,4070,221,108,92,80,330,68,6,1,27,54,6,132,0,321,46,460,138,46,0,12,1
train0_p9,1,1,1,0,1,1,0,1297,64,64,640,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p9,1,1,1,1,1,1,0,1379,64,64,640,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p9,1,1,2,0,1,1,0,1331,63,63,630,6300,313,126,166,151,392,0,0,1,21,21,6,142,0,189,63,630,189,63,0,6,1
train0_p9,1,1,2,0,1,1,1,1198,84,55,466,4660,349,168,160,125,353,0,0,1,21,21,6,141,0,177,55,550,165,55,0,6,1
train0_p9,1,1,2,1,1,1,0,1625,63,63,630,6300,313,126,166,151,392,103,3,1,30,57,6,174,0,403,63,630,189,63,0,9,1
train0_p9,1,1,2,1,1,1,1,1534,84,55,466,4660,349,168,160,125,353,144,6,1,30,57,6,205,0,398,55,550,165,55,0,12,1
train0_p9,1,1,3,0,1,1,0,1329,63,63,630,6300,312,126,165,151,392,0,0,1,21,21,6,140,0,189,63,630,189,63,0,6,1
train0_p9,1,1,3,0,1,1,1,1196,84,55,462,4620,348,168,159,125,356,0,0,1,21,21,6,139,0,177,55,550,165,55,0,6,1
train0_p9,1,1,3,1,1,1,0,1617,63,63,630,6300,312,126,165,151,392,96,0,1,27,54,6,168,0,410,63,630,189,63,0,6,1
train0_p9,1,1,3,1,1,1,1,1500,84,55,462,4620,348,168,159,125,356,111,6,1,27,54,6,194,0,381,55,550,165,55,0,12,1
train0_p10,1,1,1,0,1,1,0,1297,64,64,640,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
