case,real,order,mode,bp,packed32,prefetch,cycles,channels,scalar_mac,words,xwords,graph_words,prefetch_words,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train2_p10,1,1,3,0,1,1,1148,54,5400,249,108,120,110,336,0,0,1,21,21,6,121,0,162,54,540,162,54,0,6,1
train2_p10,1,1,3,1,1,1,1390,54,5400,249,108,120,110,336,86,1,1,27,54,6,145,0,340,54,540,162,54,0,7,1
train2_p11,1,1,2,0,1,1,1149,54,5400,266,108,137,122,346,0,0,1,21,21,6,122,0,162,54,540,162,54,0,6,1
train2_p11,1,1,2,1,1,1,1406,54,5400,266,108,137,122,346,84,3,1,30,57,6,156,0,337,54,540,162,54,0,9,1
train2_p11,1,1,3,0,1,1,1130,53,5300,266,106,139,123,324,0,0,1,21,21,6,121,0,159,53,530,159,53,0,6,1
train2_p11,1,1,3,1,1,1,1390,53,5300,266,106,139,123,324,94,3,1,27,54,6,164,0,334,53,530,159,53,0,9,1
train2_p12,1,1,2,0,1,1,1169,55,5500,273,110,142,130,368,0,0,1,21,21,6,124,0,165,55,550,165,55,0,6,1
train2_p12,1,1,2,1,1,1,1440,55,5500,273,110,142,130,368,91,3,1,30,57,6,150,0,362,55,550,165,55,0,9,1
train2_p12,1,1,3,0,1,1,1169,55,5500,265,110,134,122,345,0,0,1,21,21,6,124,0,165,55,550,165,55,0,6,1
train2_p12,1,1,3,1,1,1,1414,55,5500,265,110,134,122,345,86,5,1,27,54,6,145,0,345,55,550,165,55,0,11,1
train2_p13,1,1,2,0,1,1,1271,60,6000,302,120,161,144,359,0,0,1,21,21,6,136,0,180,60,600,180,60,0,6,1
train2_p13,1,1,2,1,1,1,1533,60,6000,302,120,161,144,359,104,2,1,30,57,6,163,0,368,60,600,180,60,0,8,1
train2_p13,1,1,3,0,1,1,1233,58,5800,292,116,155,137,338,0,0,1,21,21,6,134,0,174,58,580,174,58,0,6,1
train2_p13,1,1,3,1,1,1,1504,58,5800,292,116,155,137,338,100,0,1,27,54,6,171,0,369,58,580,174,58,0,6,1
train2_p14,1,1,2,0,1,1,1253,59,5900,299,118,160,143,354,0,0,1,21,21,6,136,0,177,59,590,177,59,0,6,1
train2_p14,1,1,2,1,1,1,1533,59,5900,299,118,160,143,354,118,5,1,30,57,6,175,0,368,59,590,177,59,0,11,1
train2_p14,1,1,3,0,1,1,1214,57,5700,290,114,155,138,339,0,0,1,21,21,6,133,0,171,57,570,171,57,0,6,1
train2_p14,1,1,3,1,1,1,1490,57,5700,290,114,155,138,339,85,2,1,27,54,6,167,0,372,57,570,171,57,0,8,1
train2_p15,1,1,2,0,1,1,1150,54,5400,261,108,132,117,347,0,0,1,21,21,6,123,0,162,54,540,162,54,0,6,1
train2_p15,1,1,2,1,1,1,1408,54,5400,261,108,132,117,347,102,2,1,30,57,6,153,0,343,54,540,162,54,0,8,1
train2_p15,1,1,3,0,1,1,1130,53,5300,258,106,131,116,324,0,0,1,21,21,6,121,0,159,53,530,159,53,0,6,1
train2_p15,1,1,3,1,1,1,1390,53,5300,258,106,131,117,322,89,3,1,27,54,6,155,0,343,53,530,159,53,0,9,1
train2_p16,1,1,2,0,1,1,1088,51,5100,237,102,114,106,360,0,0,1,21,21,6,115,0,153,51,510,153,51,0,6,1
train2_p16,1,1,2,1,1,1,1314,51,5100,237,102,114,106,360,80,2,1,30,57,6,129,0,318,51,510,153,51,0,8,1
train2_p16,1,1,3,0,1,1,1050,49,4900,230,98,111,102,324,0,0,1,21,21,6,113,0,147,49,490,147,49,0,6,1
train2_p16,1,1,3,1,1,1,1276,49,4900,230,98,111,102,324,85,0,1,27,54,6,133,0,314,49,490,147,49,0,6,1
train2_p17,1,1,2,0,1,1,1149,54,5400,261,108,132,120,349,0,0,1,21,21,6,122,0,162,54,540,162,54,0,6,1
train2_p17,1,1,2,1,1,1,1403,54,5400,261,108,132,120,349,102,2,1,30,57,6,147,0,344,54,540,162,54,0,8,1
train2_p17,1,1,3,0,1,1,1130,53,5300,257,106,130,117,330,0,0,1,21,21,6,121,0,159,53,530,159,53,0,6,1
train2_p17,1,1,3,1,1,1,1379,53,5300,257,106,130,117,330,89,4,1,27,54,6,139,0,347,53,530,159,53,0,10,1
train2_p18,1,1,2,0,1,1,1269,60,6000,297,120,156,142,367,0,0,1,21,21,6,134,0,180,60,600,180,60,0,6,1
train2_p18,1,1,2,1,1,1,1524,60,6000,297,120,156,142,367,97,0,1,30,57,6,163,0,361,60,600,180,60,0,6,1
train2_p18,1,1,3,0,1,1,1252,59,5900,292,118,153,135,336,0,0,1,21,21,6,135,0,177,59,590,177,59,0,6,1
train2_p18,1,1,3,1,1,1,1526,59,5900,292,118,153,136,336,95,2,1,27,54,6,168,0,377,59,590,177,59,0,8,1
train2_p19,1,1,2,0,1,1,1169,55,5500,266,110,135,121,345,0,0,1,21,21,6,124,0,165,55,550,165,55,0,6,1
train2_p19,1,1,2,1,1,1,1406,55,5500,266,110,135,121,345,81,2,1,30,57,6,142,0,337,55,550,165,55,0,8,1
train2_p19,1,1,3,0,1,1,1131,53,5300,254,106,127,113,322,0,0,1,21,21,6,122,0,159,53,530,159,53,0,6,1
train2_p19,1,1,3,1,1,1,1384,53,5300,254,106,127,113,322,83,3,1,27,54,6,155,0,337,53,530,159,53,0,9,1
train2_p20,1,1,2,0,1,1,1247,59,5900,278,118,139,127,359,0,0,1,21,21,6,130,0,177,59,590,177,59,0,6,1
train2_p20,1,1,2,1,1,1,1522,59,5900,278,118,139,127,359,97,8,1,30,57,6,155,0,374,59,590,177,59,0,14,1
train2_p20,1,1,3,0,1,1,1210,57,5700,270,114,135,120,333,0,0,1,21,21,6,129,0,171,57,570,171,57,0,6,1
train2_p20,1,1,3,1,1,1,1485,57,5700,270,114,135,120,333,89,4,1,27,54,6,159,0,373,57,570,171,57,0,10,1
train2_p21,1,1,2,0,1,1,1108,52,5200,250,104,125,113,347,0,0,1,21,21,6,117,0,156,52,520,156,52,0,6,1
train2_p21,1,1,2,1,1,1,1368,52,5200,250,104,125,113,347,94,2,1,30,57,6,145,0,341,52,520,156,52,0,8,1
train2_p21,1,1,3,0,1,1,1032,48,4800,238,96,121,108,318,0,0,1,21,21,6,113,0,144,48,480,144,48,0,6,1
train2_p21,1,1,3,1,1,1,1264,48,4800,238,96,121,108,318,66,1,1,27,54,6,137,0,312,48,480,144,48,0,7,1
train2_p22,1,1,2,0,1,1,1248,59,5900,297,118,158,145,362,0,0,1,21,21,6,131,0,177,59,590,177,59,0,6,1
train2_p22,1,1,2,1,1,1,1522,59,5900,297,118,158,145,361,116,5,1,30,57,6,165,0,367,59,590,177,59,0,11,1
train2_p22,1,1,3,0,1,1,1210,57,5700,294,114,159,143,334,0,0,1,21,21,6,129,0,171,57,570,171,57,0,6,1
train2_p22,1,1,3,1,1,1,1490,57,5700,294,114,159,143,334,93,2,1,27,54,6,165,0,374,57,570,171,57,0,8,1
train2_p23,1,1,2,0,1,1,1206,57,5700,267,114,132,123,360,0,0,1,21,21,6,125,0,171,57,570,171,57,0,6,1
train2_p23,1,1,2,1,1,1,1485,57,5700,267,114,132,123,360,93,7,1,30,57,6,144,0,379,57,570,171,57,0,13,1
train2_p23,1,1,3,0,1,1,1186,56,5600,254,112,121,112,340,0,0,1,21,21,6,123,0,168,56,560,168,56,0,6,1
train2_p23,1,1,3,1,1,1,1425,56,5600,254,112,121,112,340,84,4,1,27,54,6,139,0,348,56,560,168,56,0,10,1
train2_p24,1,1,2,0,1,1,1170,55,5500,278,110,147,132,350,0,0,1,21,21,6,125,0,165,55,550,165,55,0,6,1
train2_p24,1,1,2,1,1,1,1437,55,5500,278,110,147,132,350,94,0,1,30,57,6,146,0,366,55,550,165,55,0,6,1
train2_p24,1,1,3,0,1,1,1151,54,5400,269,108,140,124,324,0,0,1,21,21,6,124,0,162,54,540,162,54,0,6,1
train2_p24,1,1,3,1,1,1,1401,54,5400,269,108,140,124,324,93,5,1,27,54,6,150,0,342,54,540,162,54,0,11,1
train2_p25,1,1,2,0,1,1,1191,56,5600,266,112,133,119,355,0,0,1,21,21,6,128,0,168,56,560,168,56,0,6,1
train2_p25,1,1,2,1,1,1,1456,56,5600,266,112,133,119,355,104,3,1,30,57,6,156,0,357,56,560,168,56,0,9,1
train2_p25,1,1,3,0,1,1,1154,54,5400,259,108,130,115,332,0,0,1,21,21,6,127,0,162,54,540,162,54,0,6,1
train2_p25,1,1,3,1,1,1,1403,54,5400,259,108,130,115,332,76,0,1,27,54,6,158,0,341,54,540,162,54,0,6,1
train2_p26,1,1,2,0,1,1,1190,56,5600,279,112,146,133,354,0,0,1,21,21,6,127,0,168,56,560,168,56,0,6,1
train2_p26,1,1,2,1,1,1,1456,56,5600,278,112,145,133,355,91,2,1,30,57,6,159,0,355,56,560,168,56,0,8,1
train2_p26,1,1,3,0,1,1,1150,54,5400,272,108,143,130,338,0,0,1,21,21,6,123,0,162,54,540,162,54,0,6,1
train2_p26,1,1,3,1,1,1,1403,54,5400,272,108,143,130,338,85,0,1,27,54,6,143,0,355,54,540,163,54,0,6,1
