case,real,order,mode,bp,packed32,prefetch,cycles,channels,scalar_mac,words,xwords,graph_words,prefetch_words,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p11,1,1,2,1,1,1,1382,54,5400,252,108,123,114,355,86,1,1,30,57,6,138,0,333,54,540,162,54,0,7,1
train0_p11,1,1,3,0,1,1,1146,54,5400,255,108,126,117,354,0,0,1,21,21,6,119,0,162,54,540,162,54,0,6,1
train0_p11,1,1,3,1,1,1,1374,54,5400,255,108,126,117,354,79,1,1,27,54,6,137,0,332,54,540,162,54,0,7,1
train0_p12,1,1,2,0,1,1,1046,49,4900,218,98,99,91,340,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p12,1,1,2,1,1,1,1276,49,4900,218,98,99,91,340,63,3,1,30,57,6,126,0,312,49,490,147,49,0,9,1
train0_p12,1,1,3,0,1,1,1046,49,4900,218,98,99,91,338,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p12,1,1,3,1,1,1,1269,49,4900,218,98,99,91,338,60,5,1,27,54,6,122,0,313,49,490,147,49,0,11,1
train0_p13,1,1,2,0,1,1,1313,62,6200,329,124,184,165,387,0,0,1,21,21,6,142,0,186,62,620,186,62,0,6,1
train0_p13,1,1,2,1,1,1,1610,62,6200,329,124,184,165,387,108,1,1,30,57,6,182,0,397,62,620,186,62,0,7,1
train0_p13,1,1,3,0,1,1,1316,62,6200,330,124,185,164,382,0,0,1,21,21,6,145,0,186,62,620,186,62,0,6,1
train0_p13,1,1,3,1,1,1,1621,62,6200,330,124,185,164,382,97,4,1,27,54,6,194,0,398,62,620,187,62,0,10,1
train0_p14,1,1,2,0,1,1,1148,54,5400,248,108,119,109,353,0,0,1,21,21,6,121,0,162,54,540,162,54,0,6,1
train0_p14,1,1,2,1,1,1,1390,54,5400,248,108,119,109,353,103,2,1,30,57,6,137,0,341,54,540,162,54,0,8,1
train0_p14,1,1,3,0,1,1,1148,54,5400,246,108,117,107,350,0,0,1,21,21,6,121,0,162,54,540,162,54,0,6,1
train0_p14,1,1,3,1,1,1,1392,54,5400,246,108,117,107,350,81,2,1,27,54,6,142,0,344,54,540,162,54,0,8,1
train0_p15,1,1,2,0,1,1,1045,49,4900,220,98,101,93,345,0,0,1,21,21,6,108,0,147,49,490,147,49,0,6,1
train0_p15,1,1,2,1,1,1,1269,49,4900,220,98,101,93,345,68,2,1,30,57,6,121,0,311,49,490,147,49,0,8,1
train0_p15,1,1,3,0,1,1,1045,49,4900,220,98,101,93,343,0,0,1,21,21,6,108,0,147,49,490,147,49,0,6,1
train0_p15,1,1,3,1,1,1,1271,49,4900,220,98,101,93,343,63,3,1,27,54,6,125,0,314,49,490,147,49,0,9,1
train0_p16,1,1,2,0,1,1,1026,48,4800,214,96,97,90,345,0,0,1,21,21,6,107,0,144,48,480,144,48,0,6,1
train0_p16,1,1,2,1,1,1,1247,48,4800,214,96,97,90,345,60,6,1,30,57,6,123,0,298,48,480,144,48,0,12,1
train0_p16,1,1,3,0,1,1,1026,48,4800,212,96,95,88,342,0,0,1,21,21,6,107,0,144,48,480,144,48,0,6,1
train0_p16,1,1,3,1,1,1,1239,48,4800,212,96,95,88,342,50,3,1,27,54,6,118,0,304,48,480,144,48,0,9,1
train0_p17,1,1,2,0,1,1,1107,52,5200,237,104,112,103,349,0,0,1,21,21,6,116,0,156,52,520,156,52,0,6,1
train0_p17,1,1,2,1,1,1,1335,52,5200,237,104,112,103,349,79,4,1,30,57,6,130,0,321,52,520,156,52,0,10,1
train0_p17,1,1,3,0,1,1,1107,52,5200,237,104,112,103,347,0,0,1,21,21,6,116,0,156,52,520,156,52,0,6,1
train0_p17,1,1,3,1,1,1,1346,52,5200,237,104,112,103,347,70,8,1,27,54,6,132,0,332,52,520,156,52,0,14,1
train0_p18,1,1,2,0,1,1,1107,52,5200,232,104,107,98,340,0,0,1,21,21,6,116,0,156,52,520,156,52,0,6,1
train0_p18,1,1,2,1,1,1,1346,52,5200,232,104,107,98,340,64,1,1,30,57,6,137,0,328,52,520,156,52,0,7,1
train0_p18,1,1,3,0,1,1,1107,52,5200,230,104,105,96,340,0,0,1,21,21,6,116,0,156,52,520,156,52,0,6,1
train0_p18,1,1,3,1,1,1,1335,52,5200,230,104,105,96,340,74,3,1,27,54,6,132,0,326,52,520,156,52,0,9,1
