case,real,order,mode,bp,packed32,prefetch,cycles,channels,scalar_mac,words,xwords,graph_words,prefetch_words,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p0,1,1,2,0,1,1,1047,49,4900,224,98,105,96,335,0,0,1,21,21,6,110,0,147,49,490,147,49,0,6,1
train0_p0,1,1,2,1,1,1,1291,49,4900,224,98,105,96,335,68,5,1,30,57,6,130,0,321,49,490,147,49,0,11,1
train0_p0,1,1,3,0,1,1,1008,47,4700,216,94,101,93,308,0,0,1,21,21,6,107,0,141,47,470,141,47,0,6,1
train0_p0,1,1,3,1,1,1,1231,47,4700,216,94,101,93,308,80,3,1,27,54,6,124,0,305,47,470,141,47,0,9,1
train0_p1,1,1,2,0,1,1,1046,49,4900,216,98,97,90,341,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p1,1,1,2,1,1,1,1271,49,4900,216,98,97,90,341,75,4,1,30,57,6,124,0,308,49,490,147,49,0,10,1
train0_p1,1,1,3,0,1,1,987,46,4600,207,92,94,87,316,0,0,1,21,21,6,104,0,138,46,460,138,46,0,6,1
train0_p1,1,1,3,1,1,1,1199,46,4600,207,92,94,87,316,62,6,1,27,54,6,119,0,290,46,460,138,46,0,12,1
train0_p2,1,1,2,0,1,1,1025,48,4800,212,96,95,88,338,0,0,1,21,21,6,106,0,144,48,480,144,48,0,6,1
train0_p2,1,1,2,1,1,1,1247,48,4800,212,96,95,88,338,59,6,1,30,57,6,121,0,300,48,480,144,48,0,12,1
train0_p2,1,1,3,0,1,1,947,44,4400,200,88,91,84,309,0,0,1,21,21,6,100,0,132,44,440,132,44,0,6,1
train0_p2,1,1,3,1,1,1,1154,44,4400,200,88,91,84,309,59,4,1,27,54,6,113,0,283,44,440,132,44,0,10,1
train0_p3,1,1,2,0,1,1,1048,49,4900,223,98,104,96,346,0,0,1,21,21,6,111,0,147,49,490,147,49,0,6,1
train0_p3,1,1,2,1,1,1,1271,49,4900,223,98,104,96,346,78,2,1,30,57,6,126,0,308,49,490,147,49,0,8,1
train0_p3,1,1,3,0,1,1,1008,47,4700,217,94,102,95,319,0,0,1,21,21,6,107,0,141,47,470,141,47,0,6,1
train0_p3,1,1,3,1,1,1,1226,47,4700,217,94,102,95,319,64,4,1,27,54,6,122,0,301,47,470,141,47,0,10,1
train0_p4,1,1,2,0,1,1,1066,50,5000,224,100,103,96,340,0,0,1,21,21,6,111,0,150,50,500,150,50,0,6,1
train0_p4,1,1,2,1,1,1,1294,50,5000,224,100,103,96,340,80,4,1,30,57,6,126,0,314,50,500,150,50,0,10,1
train0_p4,1,1,3,0,1,1,989,46,4600,215,92,102,94,311,0,0,1,21,21,6,106,0,138,46,460,138,46,0,6,1
train0_p4,1,1,3,1,1,1,1214,46,4600,215,92,102,94,311,72,5,1,27,54,6,124,0,301,46,460,138,46,0,11,1
train0_p5,1,1,2,0,1,1,1027,48,4800,221,96,104,96,341,0,0,1,21,21,6,108,0,144,48,480,144,48,0,6,1
train0_p5,1,1,2,1,1,1,1247,48,4800,221,96,104,96,341,61,4,1,30,57,6,124,0,299,48,480,144,48,0,10,1
train0_p5,1,1,3,0,1,1,949,44,4400,209,88,100,92,308,0,0,1,21,21,6,102,0,132,44,440,132,44,0,6,1
train0_p5,1,1,3,1,1,1,1166,44,4400,209,88,100,92,308,81,8,1,27,54,6,121,0,283,44,440,132,44,0,14,1
train0_p6,1,1,2,0,1,1,1026,48,4800,213,96,96,88,345,0,0,1,21,21,6,107,0,144,48,480,144,48,0,6,1
