context,p,word,anchor,last_gate_read,last_PED_read,last_write,physical_free,local_outputs_done,output_policy_extra_hold
0,0,105,True,33892,37454,24462,37454,70434,32980
0,0,106,True,33893,37460,24462,37460,70434,32974
0,0,107,True,33894,37469,24462,37469,70434,32965
0,0,108,True,32753,38366,24473,38366,70434,32068
0,0,109,True,32754,38372,24473,38372,70434,32062
0,0,110,True,32755,38381,24473,38381,70434,32053
0,0,111,True,32857,38390,24484,38390,70434,32044
0,0,112,True,32858,38396,24484,38396,70434,32038
0,0,113,True,32859,38405,24484,38405,70434,32029
0,0,114,True,32961,38414,24495,38414,70434,32020
0,0,115,True,32962,38420,24495,38420,70434,32014
0,0,116,True,32963,38429,24495,38429,70434,32005
0,0,117,True,33065,38438,24506,38438,70434,31996
0,0,118,True,33066,38444,24506,38444,70434,31990
0,0,119,True,33067,38453,24506,38453,70434,31981
0,0,120,True,33169,38462,24517,38462,70434,31972
0,0,121,True,33170,38468,24517,38468,70434,31966
0,0,122,True,33171,38477,24517,38477,70434,31957
0,0,123,True,33273,38486,24528,38486,70434,31948
0,0,124,True,33274,38492,24528,38492,70434,31942
0,0,125,True,33275,38501,24528,38501,70434,31933
0,0,126,True,33377,38510,24539,38510,70434,31924
0,0,127,True,33378,38516,24539,38516,70434,31918
0,0,128,True,33379,38525,24539,38525,70434,31909
0,0,129,True,33481,38534,24550,38534,70434,31900
0,0,130,True,33482,38540,24550,38540,70434,31894
0,0,131,True,33483,38549,24550,38549,70434,31885
0,0,132,True,33585,38558,24561,38558,70434,31876
0,0,133,True,33586,38564,24561,38564,70434,31870
0,0,134,True,33587,38573,24561,38573,70434,31861
0,0,135,True,33689,38582,24572,38582,70434,31852
0,0,136,True,33690,38588,24572,38588,70434,31846
0,0,137,True,33691,38597,24572,38597,70434,31837
0,0,138,True,33793,38606,24583,38606,70434,31828
0,0,139,True,33794,38612,24583,38612,70434,31822
0,0,140,True,33795,38621,24583,38621,70434,31813
0,0,141,True,33897,38630,24594,38630,70434,31804
0,0,142,True,33898,38636,24594,38636,70434,31798
0,0,143,True,33899,38645,24594,38645,70434,31789
0,0,144,True,32743,39542,24655,39542,70434,30892
0,0,145,True,32744,39548,24655,39548,70434,30886
0,0,146,True,32745,39557,24655,39557,70434,30877
0,0,147,True,32847,39566,24716,39566,70434,30868
0,0,148,True,32848,39572,24716,39572,70434,30862
0,0,149,True,32849,39581,24716,39581,70434,30853
0,0,150,True,32951,39590,24777,39590,70434,30844
0,0,151,True,32952,39596,24777,39596,70434,30838
0,0,152,True,32953,39605,24777,39605,70434,30829
0,0,153,True,33055,39614,24838,39614,70434,30820
0,0,154,True,33056,39620,24838,39620,70434,30814
0,0,155,True,33057,39629,24838,39629,70434,30805
0,0,156,True,33159,39638,24899,39638,70434,30796
0,0,157,True,33160,39644,24899,39644,70434,30790
0,0,158,True,33161,39653,24899,39653,70434,30781
0,0,159,True,33263,39662,24960,39662,70434,30772
0,0,160,True,33264,39668,24960,39668,70434,30766
0,0,161,True,33265,39677,24960,39677,70434,30757
0,0,162,True,33367,39686,25021,39686,70434,30748
0,0,163,True,33368,39692,25021,39692,70434,30742
0,0,164,True,33369,39701,25021,39701,70434,30733
0,0,165,True,33471,39710,25082,39710,70434,30724
0,0,166,True,33472,39716,25082,39716,70434,30718
0,0,167,True,33473,39725,25082,39725,70434,30709
0,0,168,True,33575,39734,25143,39734,70434,30700
0,0,169,True,33576,39740,25143,39740,70434,30694
0,0,170,True,33577,39749,25143,39749,70434,30685
0,0,171,True,33679,39758,25204,39758,70434,30676
0,0,172,True,33680,39764,25204,39764,70434,30670
0,0,173,True,33681,39773,25204,39773,70434,30661
0,0,174,True,33783,39782,25265,39782,70434,30652
0,0,175,True,33784,39788,25265,39788,70434,30646
0,0,176,True,33785,39797,25265,39797,70434,30637
0,0,177,True,33887,39806,25326,39806,70434,30628
0,0,178,True,33888,39812,25326,39812,70434,30622
0,0,179,True,33889,39821,25326,39821,70434,30613
0,0,180,True,32708,40718,25387,40718,70434,29716
0,0,181,True,32709,40724,25387,40724,70434,29710
0,0,182,True,32710,40733,25387,40733,70434,29701
0,0,183,True,32812,40742,25448,40742,70434,29692
0,0,184,True,32813,40748,25448,40748,70434,29686
0,0,185,True,32814,40757,25448,40757,70434,29677
0,0,186,True,32916,40766,25509,40766,70434,29668
0,0,187,True,32917,40772,25509,40772,70434,29662
0,0,188,True,32918,40781,25509,40781,70434,29653
0,0,189,True,33020,40790,25570,40790,70434,29644
0,0,190,True,33021,40796,25570,40796,70434,29638
0,0,191,True,33022,40805,25570,40805,70434,29629
0,0,192,True,33124,40814,25631,40814,70434,29620
0,0,193,True,33125,40820,25631,40820,70434,29614
0,0,194,True,33126,40829,25631,40829,70434,29605
0,0,195,True,33228,40838,25692,40838,70434,29596
0,0,196,True,33229,40844,25692,40844,70434,29590
0,0,197,True,33230,40853,25692,40853,70434,29581
0,0,198,True,33332,40862,25753,40862,70434,29572
