arm,frames,valid_pixels,AEE_frame_mean,noncal9_mean,below_historical_NB0,below_fresh_NB0
parent_fp32,10,516735,1.157519653249069,1.1393737388769545,True,True
dense_q16,10,516735,1.163296947981814,1.1373011284377197,True,True
physical25_q16,10,516735,1.1906838362998358,1.1878059216404162,True,True
magnitude25_q16,10,516735,1.18599666968428,1.1754742772839517,True,True
coordinate25_q16,10,516735,1.1721160357095002,1.1541872264812645,True,True
fresh_NB0,10,516735,1.462941239319642,,,
