axis,stress,valid825_AEE,baseline_slots,candidate_slots,saved_slots,net_reduction
dense_twopot,False,1.209053834287375,2372848,2356692,16156,0.006808695710808332
dense_twopot,True,1.209053834287375,2634262,2619917,14345,0.005445547937145245
lifting_twopot,False,1.235243344790693,2227558,2185190,42368,0.019019931243092203
lifting_twopot,True,1.235243344790693,2467129,2414265,52864,0.021427335173799134
contiguous34,False,1.4214610958585636,2090628,2036004,54624,0.02612803425573562
contiguous34,True,1.4214610958585636,2302817,2240769,62048,0.026944390283726416
