artifact	path	size_bytes	sha256
mapped_verilog	netlist/m803_fc2_channel_split_registered_release_matched_8bank_raw4_acc24_mapped.v	103014577	65f89c13d0b181fd26708b385fc831bb4493328e24a15bbb07c2dc40f27677dc
mapped_sdc	netlist/m803_fc2_channel_split_registered_release_matched_8bank_raw4_acc24_mapped.sdc	584736	24806d5c2d5c0afae2c01d518927e3ca96ec977d000287b0a6bc62fc42a7e317
ddc	netlist/m803_fc2_channel_split_registered_release_matched_8bank_raw4_acc24.ddc	26992640	2257282a7c1691b74740dd32ea811419ce5c06bb53e4fb9ebce2119bc7c9a382
svf	netlist/m803_fc2_channel_split_registered_release_matched_8bank_raw4_acc24.svf	1460992	2049d65f2b9f13b33967bffe5353f791e46687b384a5d4b5d666a1757647e97b
area_report	reports/area.rpt	2147	e0840bdcbc655cdb07d0b2251142a677ad11dc95015fb70a0c8c069a399192dd
qor_report	reports/qor.rpt	2508	172d9e088bfa569e016b28c403ba7824111ede666583a19ef4ff41bcc9b38666
setup_timing_report	reports/timing_setup.rpt	836525	8093d9e298837ce2f45f6c75e4f7ebd9807c0425c5f8bd19e1faf122f6929b17
