case,real,order,mode,bp,packed32,prefetch,cycles,channels,scalar_mac,words,xwords,graph_words,prefetch_words,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train6_p10,1,1,3,1,1,1,1524,60,6000,294,120,153,141,355,114,3,1,27,54,6,158,0,369,60,600,180,60,0,9,1
train6_p11,1,1,3,0,1,1,1271,60,6000,298,120,157,143,374,0,0,1,21,21,6,136,0,180,60,600,180,60,0,6,1
train6_p11,1,1,3,1,1,1,1535,60,6000,298,120,157,143,374,114,1,1,27,54,6,164,0,376,60,600,180,60,0,7,1
train6_p12,1,1,3,0,1,1,1207,57,5700,263,114,128,119,362,0,0,1,21,21,6,126,0,171,57,570,171,57,0,6,1
train6_p12,1,1,3,1,1,1,1463,57,5700,263,114,128,119,362,73,1,1,27,54,6,148,0,365,57,570,171,57,0,7,1
train6_p13,1,1,3,0,1,1,1207,57,5700,257,114,122,114,350,0,0,1,21,21,6,126,0,171,57,570,171,57,0,6,1
train6_p13,1,1,3,1,1,1,1459,57,5700,257,114,122,114,350,102,7,1,27,54,6,145,0,358,57,570,171,57,0,13,1
train6_p14,1,1,3,0,1,1,1268,60,6000,285,120,144,133,370,0,0,1,21,21,6,133,0,180,60,600,180,60,0,6,1
train6_p14,1,1,3,1,1,1,1524,60,6000,285,120,144,133,370,107,3,1,27,54,6,154,0,373,60,600,180,60,0,9,1
train6_p15,1,1,3,0,1,1,1228,58,5800,280,116,143,132,362,0,0,1,21,21,6,129,0,174,58,580,174,58,0,6,1
train6_p15,1,1,3,1,1,1,1470,58,5800,280,116,143,132,362,101,2,1,27,54,6,148,0,356,58,580,174,58,0,8,1
train6_p16,1,1,3,0,1,1,1266,60,6000,286,120,145,135,375,0,0,1,21,21,6,131,0,180,60,600,180,60,0,6,1
train6_p16,1,1,3,1,1,1,1533,60,6000,286,120,145,135,375,84,6,1,27,54,6,150,0,383,60,600,180,60,0,12,1
train6_p17,1,1,3,0,1,1,1170,55,5500,267,110,136,124,342,0,0,1,21,21,6,125,0,165,55,550,165,55,0,6,1
train6_p17,1,1,3,1,1,1,1408,55,5500,267,110,136,124,342,90,1,1,27,54,6,148,0,340,55,550,165,55,0,7,1
train6_p18,1,1,3,0,1,1,1230,58,5800,289,116,152,138,369,0,0,1,21,21,6,131,0,174,58,580,174,58,0,6,1
train6_p18,1,1,3,1,1,1,1515,58,5800,289,116,152,138,369,98,1,1,27,54,6,157,0,393,58,580,174,58,0,7,1
train6_p19,1,1,3,0,1,1,1171,55,5500,262,110,131,118,357,0,0,1,21,21,6,126,0,165,55,550,165,55,0,6,1
train6_p19,1,1,3,1,1,1,1436,55,5500,262,110,131,118,357,96,6,1,27,54,6,155,0,356,55,550,165,55,0,12,1
train6_p20,1,1,3,0,1,1,1330,63,6300,303,126,156,142,387,0,0,1,21,21,6,141,0,189,63,630,189,63,0,6,1
train6_p20,1,1,3,1,1,1,1602,63,6300,303,126,156,142,387,98,0,1,27,54,6,161,0,402,63,630,189,63,0,6,1
train6_p21,1,1,3,0,1,1,1248,59,5900,269,118,130,118,356,0,0,1,21,21,6,131,0,177,59,590,177,59,0,6,1
train6_p21,1,1,3,1,1,1,1504,59,5900,269,118,130,118,356,100,1,1,27,54,6,150,0,374,59,590,177,59,0,7,1
train6_p22,1,1,3,0,1,1,1228,58,5800,274,116,137,125,350,0,0,1,21,21,6,129,0,174,58,580,174,58,0,6,1
train6_p22,1,1,3,1,1,1,1485,58,5800,274,116,137,125,350,92,3,1,27,54,6,150,0,368,58,580,174,58,0,9,1
train6_p23,1,1,3,0,1,1,1233,58,5800,278,116,141,126,362,0,0,1,21,21,6,134,0,174,58,580,174,58,0,6,1
train6_p23,1,1,3,1,1,1,1494,58,5800,278,116,141,126,362,108,3,1,27,54,6,159,0,368,58,580,174,58,0,9,1
train6_p24,1,1,3,0,1,1,1232,58,5800,300,116,163,148,358,0,0,1,21,21,6,133,0,174,58,580,174,58,0,6,1
train6_p24,1,1,3,1,1,1,1496,58,5800,300,116,163,148,358,107,3,1,27,54,6,158,0,371,58,580,174,58,0,9,1
