arm,quality_AEE_diverse10,tiles,mode3_core,mode4_core,mode5_core,mode6_core,mode6_fresh_source_origin_cycles,mode6_vs_mode5_core_reduction_pct,mode6_vs_mode5_fresh_reduction_pct,source_10bit_words,weight_128bit_words,mode5_psum_256bit_reads,mode6_psum_256bit_reads,mode6_psum_256bit_writes,paid_merge_issues
dense,1.163296947981814,8,415024,422008,391120,371056,383352,5.129883411740643,4.973526087215186,9600,41088,77268,70908,70908,6360
block_magnitude25,1.18599666968428,8,323132,326364,303052,288134,300430,4.922587542731938,4.730646777528314,9600,30977,59218,54475,54475,4743
cin_magnitude25,1.3115772136838026,8,320116,325960,302380,287080,299376,5.059858456247102,4.862143919460015,7200,31560,60312,55368,55368,4944
cin_fullcost25,1.2603504201296971,8,312796,316660,294316,277996,290292,5.5450604112586515,5.322687957418493,7200,30840,58656,53388,53388,5268
mixed_retirement25,1.2010505064282313,8,321196,323513,300848,285212,297508,5.1973089400627615,4.993229951715506,9600,30765,58904,53869,53869,5035
