structure,new_GT_steps,AEE_diverse10,AEE_holdout9,delta_NB0_diverse10,delta_NB0_holdout9,better_than_NB0,valid_pixels,source_nonzero,source_quantized_changed,source_gate_density,consumer_gate_density,deployed_flow_difference
dense,64,1.1593035665825018,1.1466900181930977,-0.29529929448749836,-0.2997356432180134,True,516735,100,100,0.04712420654296875,0.011113099500868055,0.0
dense,320,1.1597366283203656,1.1351236836723948,-0.2948662327496345,-0.31130197773871626,True,516735,99,99,0.047154334852430556,0.011213410101996528,0.0
contiguous34,64,1.4531527236035107,1.4063409572930676,-0.0014501374664894762,-0.040084704118043435,True,516735,34,34,0.01871773681640625,0.01002838134765625,0.0
contiguous34,320,1.4141994527913195,1.3606768748882418,-0.04040340827868061,-0.08574878652286921,True,516735,34,34,0.018960814073350693,0.010070099555121528,0.0
lifting40,64,1.1773762378528692,1.1608699296389924,-0.277226623217131,-0.2855557317721187,True,516735,40,35,0.03831207953559028,0.010717738172743055,0.0
lifting40,320,1.1653433024219495,1.137084633215804,-0.28925955864805064,-0.30934102819530707,True,516735,40,39,0.03859617784288195,0.010779653591579862,0.0
