function,case,real,mode,bp,pass,p,cycles_to_last_code,cycles_to_done,first_X_request_to_last_code,words,bytes,config_words,X_words,prefetch_words,produced_pairs,channel_refs,batches,scalar_mac,bound_cycles,popcount16_ops,dominance_tests,reduce_cycles,cache_hits,refetches,peak_slots,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16
adapt_class,train0,1,3,0,0,28,9343,9344,9159,100,1600,0,100,0,407,61,46,4070,8458,127024,119552,467,11,0,4,0,0,1,0,0,6,52,0,130,46,460,138,46,0,6,1,519,7472,467
adapt_class,train0,1,3,0,0,29,9197,9198,9013,94,1504,0,94,0,400,56,45,4000,8331,125120,117760,460,9,0,4,0,0,1,0,0,6,51,0,127,45,450,135,45,0,6,1,511,7360,460
adapt_class,train0,1,3,0,0,30,10401,10402,10217,128,2048,0,128,0,456,88,55,4560,9349,140352,132096,516,24,3,4,0,0,1,0,0,6,61,0,153,55,550,165,55,0,6,1,577,8256,516
adapt_class,train0,1,3,0,0,31,10043,10044,9859,118,1888,0,118,0,438,79,53,4380,9023,135456,127488,498,20,1,4,0,0,1,0,0,6,59,0,153,53,530,159,53,0,6,1,557,7968,498
adapt_class,train0,1,3,1,0,0,9387,9389,9062,131,2096,35,96,0,395,54,44,3950,8240,123760,116480,455,6,0,4,50,4,1,47,94,6,50,0,279,44,440,132,44,0,10,2,505,7280,455
adapt_class,train0,1,3,1,0,1,9321,9324,9137,96,1536,0,96,0,398,57,46,3980,8296,124576,117248,458,9,0,4,30,0,1,0,0,6,52,0,270,46,460,138,46,0,6,3,510,7328,458
adapt_class,train0,1,3,1,0,2,9236,9237,9052,92,1472,0,92,0,394,54,45,3940,8223,123488,116224,454,8,0,4,29,2,1,0,0,6,51,0,272,45,450,135,45,0,8,1,505,7264,454
adapt_class,train0,1,3,1,0,3,9508,9509,9324,96,1536,0,96,0,407,59,47,4070,8459,127024,119552,467,11,0,4,25,3,1,0,0,6,53,0,275,47,470,141,47,0,9,1,520,7472,467
adapt_class,train0,1,3,1,0,4,9300,9301,9116,96,1536,0,96,0,396,59,46,3960,8260,124032,116736,456,11,0,4,26,1,1,0,0,6,52,0,284,46,460,138,46,0,7,1,508,7296,456
adapt_class,train0,1,3,1,0,5,9339,9340,9155,94,1504,0,94,0,399,56,46,3990,8314,124848,117504,459,9,0,4,29,0,1,0,0,6,52,0,270,46,460,138,46,0,6,1,511,7344,459
adapt_class,train0,1,3,1,0,6,9464,9467,9280,92,1472,0,92,0,406,51,45,4060,8439,126752,119296,466,5,0,4,28,3,1,0,0,6,51,0,283,45,450,135,45,0,9,3,517,7456,466
adapt_class,train0,1,3,1,0,7,9456,9457,9272,100,1600,0,100,0,406,62,46,4060,8440,126752,119296,466,12,0,4,27,3,1,0,0,6,52,0,258,46,460,138,46,0,9,1,518,7456,466
adapt_class,train0,1,3,1,0,8,9446,9447,9262,96,1536,0,96,0,403,54,47,4030,8387,125936,118528,463,6,0,4,26,0,1,0,0,6,53,0,288,47,470,141,47,0,6,1,516,7408,463
adapt_class,train0,1,3,1,0,9,10621,10624,10437,122,1952,0,122,0,460,81,54,4600,9420,141440,133120,520,20,1,4,22,1,1,0,0,6,60,0,317,54,540,162,54,0,7,3,580,8320,520
adapt_class,train0,1,3,1,0,10,9401,9402,9217,96,1536,0,96,0,403,57,45,4030,8385,125936,118528,463,9,0,4,37,1,1,0,0,6,51,0,276,45,450,135,45,0,7,1,514,7408,463
adapt_class,train0,1,3,1,0,11,9641,9642,9457,106,1696,0,106,0,414,64,47,4140,8585,128928,121344,474,11,0,4,28,2,1,0,0,6,53,0,283,47,470,141,47,0,8,1,527,7584,474
adapt_class,train0,1,3,1,0,12,9347,9350,9163,94,1504,0,94,0,401,56,45,4010,8349,125392,118016,461,9,0,4,27,1,1,0,0,6,51,0,258,45,450,135,45,0,7,3,512,7376,461
adapt_class,train0,1,3,1,0,13,10702,10703,10518,124,1984,0,124,0,463,84,55,4630,9475,142256,133888,523,22,1,4,20,6,1,0,0,6,61,0,322,55,550,165,55,0,12,1,584,8368,523
adapt_class,train0,1,3,1,0,14,9827,9828,9643,110,1760,0,110,0,420,68,50,4200,8696,130560,122880,480,13,2,4,27,5,1,0,0,6,56,0,307,50,500,150,50,0,11,1,536,7680,480
adapt_class,train0,1,3,1,0,15,9438,9441,9254,94,1504,0,94,0,405,52,45,4050,8421,126480,119040,465,5,0,4,29,2,1,0,0,6,51,0,276,45,450,135,45,0,8,3,516,7440,465
adapt_class,train0,1,3,1,0,16,9420,9421,9236,96,1536,0,96,0,403,57,46,4030,8386,125936,118528,463,9,0,4,30,3,1,0,0,6,52,0,276,46,460,138,46,0,9,1,515,7408,463
adapt_class,train0,1,3,1,0,17,9531,9532,9347,102,1632,0,102,0,409,59,46,4090,8494,127568,120064,469,8,0,4,26,2,1,0,0,6,52,0,280,46,460,138,46,0,8,1,521,7504,469
adapt_class,train0,1,3,1,0,18,9424,9425,9240,102,1632,0,102,0,402,61,47,4020,8369,125664,118272,462,10,1,4,20,1,1,0,0,6,53,0,283,47,470,141,47,0,7,1,515,7392,462
adapt_class,train0,1,3,1,0,19,9678,9679,9494,114,1824,0,114,0,413,69,49,4130,8569,128656,121088,473,12,1,4,33,5,1,0,0,6,55,0,301,49,490,147,49,0,11,1,528,7568,473
adapt_class,train0,1,3,1,0,20,9453,9454,9269,106,1696,0,106,0,405,61,46,4050,8422,126480,119040,465,8,0,4,23,7,1,0,0,6,52,0,269,46,460,138,46,0,13,1,517,7440,465
adapt_class,train0,1,3,1,0,21,9398,9399,9214,96,1536,0,96,0,403,57,45,4030,8385,125936,118528,463,9,0,4,27,5,1,0,0,6,51,0,269,45,450,135,45,0,11,1,514,7408,463
adapt_class,train0,1,3,1,0,22,9863,9864,9679,114,1824,0,114,0,420,70,51,4200,8697,130560,122880,480,13,0,4,22,1,1,0,0,6,57,0,330,51,510,153,51,0,7,1,537,7680,480
adapt_class,train0,1,3,1,0,23,10608,10611,10424,128,2048,0,128,0,457,80,55,4570,9367,140624,132352,517,16,1,4,21,3,1,0,0,6,61,0,339,55,550,165,55,0,9,3,578,8272,517
adapt_class,train0,1,3,1,0,24,9410,9411,9226,102,1632,0,102,0,402,56,46,4020,8368,125664,118272,462,5,0,4,16,7,1,0,0,6,52,0,280,46,460,138,46,0,13,1,514,7392,462
adapt_class,train0,1,3,1,0,25,9392,9393,9208,96,1536,0,96,0,403,59,45,4030,8385,125936,118528,463,11,0,4,30,1,1,0,0,6,51,0,267,45,450,135,45,0,7,1,514,7408,463
adapt_class,train0,1,3,1,0,26,10215,10216,10031,116,1856,0,116,0,442,80,50,4420,9092,136544,128512,502,22,1,4,31,3,1,0,0,6,56,0,301,50,500,150,50,0,9,1,558,8032,502
adapt_class,train0,1,3,1,0,27,9347,9350,9163,94,1504,0,94,0,401,56,45,4010,8349,125392,118016,461,9,0,4,27,1,1,0,0,6,51,0,258,45,450,135,45,0,7,3,512,7376,461
adapt_class,train0,1,3,1,0,28,9491,9493,9307,100,1600,0,100,0,407,61,46,4070,8458,127024,119552,467,11,0,4,27,1,1,0,0,6,52,0,277,46,460,138,46,0,7,2,519,7472,467
adapt_class,train0,1,3,1,0,29,9348,9350,9164,94,1504,0,94,0,400,56,45,4000,8331,125120,117760,460,9,0,4,29,3,1,0,0,6,51,0,275,45,450,135,45,0,9,2,511,7360,460
adapt_class,train0,1,3,1,0,30,10564,10565,10380,128,2048,0,128,0,456,88,55,4560,9349,140352,132096,516,24,3,4,36,2,1,0,0,6,61,0,314,55,550,165,55,0,8,1,577,8256,516
adapt_class,train0,1,3,1,0,31,10205,10208,10021,118,1888,0,118,0,438,79,53,4380,9023,135456,127488,498,20,1,4,28,1,1,0,0,6,59,0,314,53,530,159,53,0,7,3,557,7968,498
adapt_class,train1,1,2,0,0,0,9519,9520,9271,140,2240,32,108,0,412,65,47,4120,8549,128384,120832,472,11,1,4,0,0,1,32,32,6,53,0,135,47,470,141,47,0,6,1,525,7552,472
adapt_class,train1,1,2,0,0,1,9325,9326,9141,94,1504,0,94,0,407,55,45,4070,8457,127024,119552,467,8,0,4,0,0,1,0,0,6,51,0,129,45,450,135,45,0,6,1,518,7472,467
adapt_class,train1,1,2,0,0,2,9385,9386,9201,112,1792,0,112,0,409,67,46,4090,8494,127568,120064,469,11,1,4,0,0,1,0,0,6,52,0,136,46,460,138,46,0,6,1,521,7504,469
adapt_class,train1,1,2,0,0,3,9379,9380,9195,94,1504,0,94,0,409,57,46,4090,8494,127568,120064,469,10,0,4,0,0,1,0,0,6,52,0,130,46,460,138,46,0,6,1,521,7504,469
adapt_class,train1,1,2,0,0,4,10221,10222,10037,124,1984,0,124,0,448,75,53,4480,9203,138176,130048,508,13,1,4,0,0,1,0,0,6,59,0,151,53,530,159,53,0,6,1,567,8128,508
adapt_class,train1,1,2,0,0,5,9433,9434,9249,98,1568,0,98,0,412,61,46,4120,8548,128384,120832,472,12,0,4,0,0,1,0,0,6,52,0,130,46,460,138,46,0,6,1,524,7552,472
adapt_class,train1,1,2,0,0,6,9437,9438,9253,104,1664,0,104,0,413,63,45,4130,8565,128656,121088,473,11,1,4,0,0,1,0,0,6,51,0,133,45,450,135,45,0,6,1,524,7568,473
adapt_class,train1,1,2,0,0,7,9253,9254,9069,96,1536,0,96,0,403,56,45,4030,8385,125936,118528,463,8,0,4,0,0,1,0,0,6,51,0,129,45,450,135,45,0,6,1,514,7408,463
