function,case,real,mode,bp,pass,p,cycles_to_last_code,cycles_to_done,first_X_request_to_last_code,words,bytes,config_words,X_words,prefetch_words,produced_pairs,channel_refs,batches,scalar_mac,bound_cycles,popcount16_ops,dominance_tests,reduce_cycles,cache_hits,refetches,peak_slots,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16
zero_class,train1,1,3,0,1,3,9071,9072,8887,92,1472,0,92,0,394,54,44,3940,8222,123488,116224,454,8,0,4,0,0,1,0,0,6,50,0,126,44,440,132,44,0,6,1,504,7264,454
zero_class,train1,1,3,0,1,4,10081,10082,9897,124,1984,0,124,0,441,71,52,4410,9076,136272,128256,501,9,1,4,0,0,1,0,0,6,58,0,154,52,520,156,52,0,6,1,559,8016,501
zero_class,train1,1,3,0,1,5,9033,9034,8849,92,1472,0,92,0,393,56,43,3930,8203,123216,115968,453,10,0,4,0,0,1,0,0,6,49,0,123,43,430,129,43,0,6,1,502,7248,453
zero_class,train1,1,3,0,1,6,9183,9184,8999,102,1632,0,102,0,400,60,44,4000,8330,125120,117760,460,9,1,4,0,0,1,0,0,6,50,0,130,44,440,132,44,0,6,1,510,7360,460
zero_class,train1,1,3,0,1,7,8927,8928,8743,90,1440,0,90,0,387,52,43,3870,8095,121584,114432,447,7,0,4,0,0,1,0,0,6,49,0,125,43,430,129,43,0,6,1,496,7152,447
zero_class,train1,1,3,0,1,8,10021,10022,9837,118,1888,0,118,0,439,74,51,4390,9039,135728,127744,499,15,2,4,0,0,1,0,0,6,57,0,147,51,510,153,51,0,6,1,556,7984,499
zero_class,train1,1,3,0,1,9,9343,9344,9159,106,1696,0,106,0,406,68,47,4060,8441,126752,119296,466,15,1,4,0,0,1,0,0,6,53,0,131,47,470,141,47,0,6,1,519,7456,466
zero_class,train1,1,3,0,1,10,8943,8944,8759,90,1440,0,90,0,388,53,43,3880,8113,121856,114688,448,8,0,4,0,0,1,0,0,6,49,0,123,43,430,129,43,0,6,1,497,7168,448
zero_class,train1,1,3,0,1,11,8999,9000,8815,92,1472,0,92,0,391,54,43,3910,8167,122672,115456,451,8,0,4,0,0,1,0,0,6,49,0,125,43,430,129,43,0,6,1,500,7216,451
zero_class,train1,1,3,0,1,12,9017,9018,8833,90,1440,0,90,0,392,53,43,3920,8185,122944,115712,452,8,0,4,0,0,1,0,0,6,49,0,125,43,430,129,43,0,6,1,501,7232,452
zero_class,train1,1,3,0,1,13,10263,10264,10079,122,1952,0,122,0,450,77,53,4500,9239,138720,130560,510,16,0,4,0,0,1,0,0,6,59,0,157,53,530,159,53,0,6,1,569,8160,510
zero_class,train1,1,3,0,1,14,9017,9018,8833,90,1440,0,90,0,392,53,43,3920,8185,122944,115712,452,8,0,4,0,0,1,0,0,6,49,0,125,43,430,129,43,0,6,1,501,7232,452
zero_class,train1,1,3,0,1,15,9295,9296,9111,110,1760,0,110,0,403,66,47,4030,8387,125936,118528,463,11,1,4,0,0,1,0,0,6,53,0,137,47,470,141,47,0,6,1,516,7408,463
zero_class,train1,1,3,0,1,16,8945,8946,8761,90,1440,0,90,0,388,51,43,3880,8113,121856,114688,448,6,0,4,0,0,1,0,0,6,49,0,125,43,430,129,43,0,6,1,497,7168,448
zero_class,train1,1,3,0,1,17,9881,9882,9697,120,1920,0,120,0,430,75,52,4300,8878,133280,125440,490,15,1,4,0,0,1,0,0,6,58,0,152,52,520,156,52,0,6,1,548,7840,490
zero_class,train1,1,3,0,1,18,9017,9018,8833,90,1440,0,90,0,392,53,43,3920,8185,122944,115712,452,8,0,4,0,0,1,0,0,6,49,0,125,43,430,129,43,0,6,1,501,7232,452
zero_class,train1,1,3,0,1,19,9037,9038,8853,94,1504,0,94,0,393,55,43,3930,8203,123216,115968,453,8,0,4,0,0,1,0,0,6,49,0,127,43,430,129,43,0,6,1,502,7248,453
zero_class,train1,1,3,0,1,20,8999,9000,8815,96,1536,0,96,0,391,54,43,3910,8167,122672,115456,451,6,0,4,0,0,1,0,0,6,49,0,125,43,430,129,43,0,6,1,500,7216,451
zero_class,train1,1,3,0,1,21,10257,10258,10073,120,1920,0,120,0,451,73,52,4510,9256,138992,130816,511,13,1,4,0,0,1,0,0,6,58,0,150,52,520,156,52,0,6,1,569,8176,511
zero_class,train1,1,3,0,1,22,9017,9018,8833,90,1440,0,90,0,392,53,43,3920,8185,122944,115712,452,8,0,4,0,0,1,0,0,6,49,0,125,43,430,129,43,0,6,1,501,7232,452
