function,case,real,mode,bp,pass,p,cycles_to_last_code,cycles_to_done,first_X_request_to_last_code,words,bytes,config_words,X_words,prefetch_words,produced_pairs,channel_refs,batches,scalar_mac,bound_cycles,popcount16_ops,dominance_tests,reduce_cycles,cache_hits,refetches,peak_slots,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16
adapt_class,train0,1,2,0,0,28,9417,9418,9233,100,1600,0,100,0,411,62,46,4110,8530,128112,120576,471,12,0,4,0,0,1,0,0,6,52,0,132,46,460,138,46,0,6,1,523,7536,471
adapt_class,train0,1,2,0,0,29,9271,9272,9087,96,1536,0,96,0,404,57,45,4040,8403,126208,118784,464,9,0,4,0,0,1,0,0,6,51,0,129,45,450,135,45,0,6,1,515,7424,464
adapt_class,train0,1,2,0,0,30,10457,10458,10273,128,2048,0,128,0,459,89,55,4590,9403,141168,132864,519,25,3,4,0,0,1,0,0,6,61,0,155,55,550,165,55,0,6,1,580,8304,519
adapt_class,train0,1,2,0,0,31,10193,10194,10009,124,1984,0,124,0,444,82,55,4440,9133,137088,129024,504,20,1,4,0,0,1,0,0,6,61,0,161,55,550,165,55,0,6,1,565,8064,504
adapt_class,train0,1,2,1,0,0,9436,9437,9126,130,2080,32,98,0,398,55,44,3980,8294,124576,117248,458,6,0,4,38,4,1,41,85,6,50,0,289,44,440,132,44,0,10,1,508,7328,458
adapt_class,train0,1,2,1,0,1,9431,9432,9247,98,1568,0,98,0,403,58,46,4030,8386,125936,118528,463,9,0,4,30,6,1,0,0,6,52,0,284,46,460,138,46,0,12,1,515,7408,463
adapt_class,train0,1,2,1,0,2,9339,9340,9155,96,1536,0,96,0,399,56,45,3990,8313,124848,117504,459,8,0,4,29,0,1,0,0,6,51,0,287,45,450,135,45,0,6,1,510,7344,459
adapt_class,train0,1,2,1,0,3,9609,9610,9425,98,1568,0,98,0,412,62,47,4120,8549,128384,120832,472,13,0,4,37,2,1,0,0,6,53,0,287,47,470,141,47,0,8,1,525,7552,472
adapt_class,train0,1,2,1,0,4,9390,9391,9206,100,1600,0,100,0,401,62,46,4010,8350,125392,118016,461,12,0,4,24,1,1,0,0,6,52,0,284,46,460,138,46,0,7,1,513,7376,461
adapt_class,train0,1,2,1,0,5,9416,9417,9232,96,1536,0,96,0,403,58,46,4030,8386,125936,118528,463,10,0,4,24,0,1,0,0,6,52,0,275,46,460,138,46,0,6,1,515,7408,463
