g,a,b,cal_jobs_saved,probe_jobs_saved,weight_squared_change,score,nodes
1,10,11,0,0,494971,,307
1,10,12,0,0,561299,,299
1,10,13,0,0,499856,,304
1,10,14,0,0,541152,,301
1,10,15,1,0,623231,623231.0,297
1,11,12,0,0,491068,,302
1,11,13,0,0,486619,,307
1,11,14,0,0,623349,,307
1,11,15,0,0,631432,,307
1,12,13,0,0,525499,,304
1,12,14,0,0,583793,,301
1,12,15,0,0,625934,,300
1,13,14,0,0,523296,,303
1,13,15,0,0,601851,,304
1,14,15,9,2,594505,66056.11111111111,301
2,1,2,0,0,608739,,359
2,1,3,0,0,629757,,359
2,1,4,1,0,648737,648737.0,358
2,1,5,0,0,569894,,359
2,1,6,0,0,590349,,358
2,1,7,0,0,618230,,358
2,1,8,0,0,649891,,359
2,1,9,0,0,579488,,357
2,1,10,0,0,599990,,356
2,1,11,0,0,623719,,359
2,1,12,0,0,513188,,357
2,1,13,0,0,678359,,359
2,1,14,0,0,600925,,352
2,1,15,0,0,595720,,359
2,2,3,0,0,641024,,355
2,2,4,0,0,656178,,359
2,2,5,0,0,631683,,356
2,2,6,0,0,610546,,357
2,2,7,0,0,489701,,359
2,2,8,0,0,680092,,356
2,2,9,0,0,474343,,355
2,2,10,0,0,541087,,355
2,2,11,0,1,508868,,356
2,2,12,0,0,599213,,359
2,2,13,0,0,690646,,344
2,2,14,0,0,519798,,359
2,2,15,0,0,458469,,317
2,3,4,0,0,602244,,359
2,3,5,1,3,590349,590349.0,355
2,3,6,0,0,569894,,358
2,3,7,0,0,649985,,359
2,3,8,0,0,593718,,356
2,3,9,0,0,632931,,350
2,3,10,0,0,646163,,355
2,3,11,0,0,651436,,358
2,3,12,0,0,588679,,359
2,3,13,0,0,613158,,318
2,3,14,0,0,612826,,359
2,3,15,0,0,630487,,355
2,4,5,0,0,568947,,359
2,4,6,0,0,593718,,359
2,4,7,0,0,683299,,359
2,4,8,0,0,569894,,359
2,4,9,0,0,640165,,357
2,4,10,0,0,619231,,357
2,4,11,0,0,661824,,359
2,4,12,0,0,515489,,358
2,4,13,0,0,656116,,359
2,4,14,0,0,659184,,359
2,4,15,0,0,644807,,359
2,5,6,0,0,537511,,359
2,5,7,0,0,637140,,359
2,5,8,1,0,648737,648737.0,358
2,5,9,0,0,600996,,359
2,5,10,0,0,611974,,359
2,5,11,0,0,639141,,358
2,5,12,0,0,491092,,359
2,5,13,0,0,624471,,355
2,5,14,0,0,616527,,359
2,5,15,0,0,619978,,356
2,6,7,0,0,622201,,355
2,6,8,0,0,573528,,359
2,6,9,0,0,604351,,358
2,6,10,0,0,625207,,358
2,6,11,0,0,628010,,359
2,6,12,0,0,569971,,359
2,6,13,0,0,657248,,356
2,6,14,0,0,587108,,357
2,6,15,0,0,598245,,357
2,7,8,0,0,701967,,359
2,7,9,0,0,472308,,359
2,7,10,0,0,540370,,359
2,7,11,0,0,526357,,359
2,7,12,0,0,611816,,359
2,7,13,0,0,692027,,359
2,7,14,0,4,485031,,358
2,7,15,0,0,490076,,359
2,8,9,0,0,661575,,359
2,8,10,0,0,636783,,359
2,8,11,0,0,679600,,358
2,8,12,0,0,527013,,359
2,8,13,0,0,630354,,356
2,8,14,0,0,675458,,359
2,8,15,0,0,669831,,356
2,9,10,0,0,485246,,346
2,9,11,0,0,495933,,359
2,9,12,0,0,596122,,355
2,9,13,0,0,666829,,352
2,9,14,0,0,534423,,359
2,9,15,0,0,426462,,355
2,10,11,0,0,551669,,347
2,10,12,0,0,603352,,354
2,10,13,0,0,693881,,355
2,10,14,0,0,567903,,359
2,10,15,0,0,502130,,355
2,11,12,0,0,610797,,359
2,11,13,0,0,705310,,355
2,11,14,0,0,528366,,359
2,11,15,0,0,484723,,356
2,12,13,0,0,679621,,359
2,12,14,0,0,578265,,359
2,12,15,0,0,588682,,359
2,13,14,0,0,648656,,359
2,13,15,0,0,673339,,344
2,14,15,0,0,527613,,359
3,1,2,0,0,530358,,75
3,1,3,0,0,672934,,75
3,1,4,0,0,580703,,75
3,1,5,0,0,606541,,75
3,1,6,0,0,546295,,75
3,1,7,0,0,530070,,75
3,1,8,0,0,595416,,75
3,1,9,0,0,504667,,75
3,1,10,0,0,619549,,75
3,1,11,0,0,475326,,75
3,1,12,9,7,520987,57887.444444444445,74
3,1,13,0,0,564612,,75
3,1,14,0,0,588325,,75
3,1,15,0,0,552339,,75
3,2,3,0,0,577490,,75
3,2,4,0,0,638599,,75
3,2,5,0,0,501611,,74
3,2,6,0,0,504667,,74
3,2,7,0,0,585300,,75
3,2,8,0,0,539880,,75
3,2,9,0,0,488929,,75
3,2,10,0,0,681905,,75
3,2,11,0,0,530070,,75
3,2,12,0,0,546795,,75
3,2,13,0,0,589500,,75
3,2,14,0,0,557385,,75
3,2,15,0,0,595801,,75
3,3,4,0,0,843585,,75
3,3,5,0,0,504667,,74
3,3,6,0,0,605023,,75
3,3,7,0,0,717834,,74
3,3,8,0,0,591074,,74
3,3,9,0,0,655417,,75
3,3,10,0,0,871035,,72
3,3,11,0,0,632466,,72
3,3,12,0,0,600233,,75
3,3,13,0,0,804208,,75
3,3,14,0,0,552339,,74
3,3,15,0,0,661391,,74
3,4,5,0,0,747640,,75
3,4,6,0,0,598620,,75
3,4,7,0,0,491415,,75
3,4,8,0,0,709403,,75
3,4,9,0,0,520944,,75
3,4,10,0,0,530070,,75
3,4,11,0,0,523167,,75
3,4,12,0,0,623604,,75
3,4,13,0,0,504667,,75
3,4,14,0,0,719108,,75
3,4,15,0,0,567616,,75
3,5,6,0,0,577490,,73
3,5,7,0,0,645341,,74
3,5,8,1,1,524289,524289.0,74
3,5,9,0,0,672934,,75
3,5,10,0,0,777844,,74
3,5,11,0,0,548835,,74
3,5,12,0,0,561744,,75
3,5,13,0,0,843585,,75
3,5,14,3,4,519310,173103.33333333334,73
3,5,15,0,0,610488,,74
3,6,7,0,0,560291,,75
3,6,8,0,0,532419,,75
3,6,9,0,0,530358,,75
3,6,10,0,0,628126,,75
3,6,11,0,0,491443,,75
3,6,12,0,0,552084,,75
3,6,13,0,0,638599,,75
3,6,14,0,0,567628,,75
3,6,15,0,0,574538,,75
3,7,8,0,0,656254,,74
3,7,9,0,0,491443,,75
3,7,10,0,0,580703,,74
3,7,11,0,0,530358,,74
3,7,12,0,0,498917,,75
3,7,13,0,0,493148,,75
3,7,14,0,0,669891,,74
3,7,15,1,2,520987,520987.0,72
3,8,9,0,0,589031,,75
3,8,10,0,1,800411,,74
3,8,11,0,0,574604,,74
3,8,12,0,0,537061,,75
3,8,13,0,0,730338,,75
3,8,14,0,0,513197,,74
3,8,15,0,0,586909,,74
3,9,10,0,0,549440,,75
3,9,11,0,0,448743,,75
3,9,12,0,0,513080,,75
3,9,13,0,0,580703,,74
3,9,14,0,0,582158,,75
3,9,15,0,0,519310,,75
3,10,11,0,0,638599,,71
3,10,12,0,0,617430,,75
3,10,13,0,0,491443,,75
3,10,14,0,0,836106,,74
3,10,15,0,0,623604,,74
3,11,12,0,0,486863,,75
3,11,13,0,0,502222,,75
3,11,14,0,0,619217,,74
3,11,15,0,0,546795,,74
3,12,13,0,0,598727,,75
3,12,14,0,0,556826,,75
3,12,15,0,0,530070,,75
3,13,14,0,0,701379,,75
3,13,15,0,0,549987,,75
3,14,15,0,0,672934,,74
4,1,2,0,0,489361,,116
4,1,3,0,0,481368,,115
4,1,4,0,0,609279,,116
4,1,5,0,0,611571,,116
4,1,6,0,0,497987,,116
4,1,7,0,0,585624,,116
4,1,8,0,0,548134,,116
4,1,9,0,1,592163,,115
4,1,10,0,0,525014,,116
4,1,11,0,0,551975,,116
4,1,12,0,0,504923,,116
4,1,13,0,0,603826,,116
4,1,14,5,4,517105,103421.0,115
4,1,15,0,0,625687,,116
4,2,3,0,0,472933,,115
4,2,4,0,0,592848,,116
4,2,5,0,0,556242,,115
4,2,6,0,0,481368,,116
4,2,7,1,0,614359,614359.0,115
4,2,8,0,0,489737,,113
4,2,9,0,0,562890,,108
4,2,10,0,0,509647,,116
4,2,11,0,0,530762,,115
4,2,12,0,0,525014,,110
4,2,13,0,0,654051,,116
4,2,14,0,0,512260,,116
4,2,15,0,0,587508,,116
4,3,4,0,0,628871,,116
4,3,5,0,0,439085,,115
4,3,6,0,0,489361,,116
4,3,7,0,0,516838,,116
4,3,8,0,0,533216,,114
4,3,9,0,0,595315,,111
4,3,10,0,0,549572,,116
4,3,11,0,0,489209,,115
4,3,12,0,0,519681,,115
4,3,13,0,0,544870,,116
4,3,14,0,0,558629,,116
4,3,15,0,0,590853,,116
4,4,5,0,0,524802,,112
4,4,6,0,1,610218,,113
4,4,7,0,0,559785,,115
4,4,8,0,0,587475,,115
4,4,9,0,0,642614,,114
4,4,10,0,0,639059,,114
4,4,11,0,1,617432,,113
4,4,12,0,0,612432,,115
