sequence,frames,NB0,flat_R8,spatial_q13,spatial_q11,moment,native_tap,unconstrained
zurich_city_09_a,64,1.4876258966738252,1.409623936507587,1.3943283065614969,1.3013924662762542,1.3395924136155999,1.3067694987500815,1.3586857440670101
zurich_city_07_a,10,2.132908130034569,1.8510206837404692,1.6832521765547168,1.7083768546533222,1.6353649571400926,1.6834392722362421,1.6843857251097547
zurich_city_02_c,80,1.9408881838605883,1.6449547857989046,1.5959414784462282,1.5976134398153399,1.6358041462792505,1.6216893134048291,1.6045724478544836
zurich_city_11_b,97,1.2696138829364885,1.1849686928992653,1.0917436984245745,1.106280502877394,1.147057747870402,1.1281582594980306,1.0993555148142935
thun_00_a,5,1.0751327580432577,0.9761995933867434,0.9266001013198683,0.8880855139568433,0.9072672720522504,0.9354899622095716,0.931795215713223
zurich_city_02_d,37,1.86198093638361,1.597626146598896,1.561418772013958,1.562103690923663,1.5942795451521148,1.5449692801499435,1.5608494037467584
zurich_city_11_c,82,1.1183120982393857,1.0449511761281953,0.9784878816839215,0.9745169321168664,1.003155670634099,1.0017288607488812,0.970703818113386
zurich_city_03_a,44,1.0621991559869508,1.1303905991357124,1.0439603696189292,1.0437471093548154,1.133876685536851,1.1184810416447255,1.03508658253524
zurich_city_10_a,76,1.3445882959824957,1.303001096145486,1.230513047999701,1.220569242927453,1.3260632400331112,1.2813974198965934,1.2222421072360106
zurich_city_05_b,40,2.079752509915578,1.6995876724732204,1.6310855540597735,1.634491916544995,1.6832835882734527,1.6381159581237297,1.6190464563755116
zurich_city_08_a,35,1.1707680342792777,1.0488089432680476,0.9783876157071725,0.9800600848822981,0.9989562939600566,0.9981007258826068,0.9646708324603408
zurich_city_01_a,10,1.0997928123280454,0.9847552876506837,0.937757172666164,0.9247325353911798,0.9508203241324177,0.9510825583441561,0.9203464362376147
zurich_city_10_b,39,1.2853328247978748,1.1811527879974413,1.119745340789446,1.1189031933343976,1.1463760384160517,1.1677235615382429,1.1446038404777632
zurich_city_02_e,47,1.691578087645843,1.48119325135296,1.4435211991431431,1.4343915339669613,1.463563862209135,1.490748974741433,1.444101492115605
zurich_city_05_a,63,1.4315152550135002,1.3047197640341344,1.2289385411532796,1.257500339094056,1.2850048522868505,1.2901674402090777,1.2426528303230957
zurich_city_06_a,65,1.4282309730633245,1.4603518331719758,1.3757988711899267,1.3648722228271224,1.4109838669070376,1.416325459618236,1.3777481153379114
zurich_city_11_a,24,0.9975339777694484,0.9438678806700519,0.8349300454318317,0.8334988638734998,0.8294239131546514,0.8690266979525185,0.846219253413127
zurich_city_02_a,7,1.8475193457051846,1.656645648316241,1.4771365205293,1.5216164072812866,1.581419504076387,1.560075449203502,1.4995096011933953
