layer,spikes,elements,firing_rate,dense_flops_share,effective_flops,synops,energy_uj,op_type
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_k,5775926,74649600,0.07737383723422496,4059494897.334994,314098697.4395646,5775926,0.5775926,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.attn.sn_q,10900652,74649600,0.1460242519718793,4059494897.334994,592784705.7670034,10900652,1.0900652000000002,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.sn1,15402335,66355200,0.23211948724440587,3608439908.7422166,837589221.3694941,15402335,13.8621015,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.0.mlp.sn2,68581249,265420800,0.25838686719352816,14433759634.968866,3729493933.904008,68581249,61.7231241,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.attn_sn,0,74649600,0.0,4059494897.334994,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.proj_sn,25571409,74649600,0.34255252539866254,4059494897.334994,1390590228.9250865,25571409,23.014268100000002,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn2_q,881353,2332800,0.3778090706447188,126859215.54171856,47928562.326534756,881353,0.0881353,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn_k,11014962,74649600,0.14755553948045266,4059494897.334994,599000959.5944098,11014962,1.1014962,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.attn.sn_q,5917287,74649600,0.07926749774948559,4059494897.334994,321786002.63854986,5917287,0.5917287,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.sn1,23676834,66355200,0.35681957103587963,3608439908.7422166,1287561980.3461463,23676834,21.3091506,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.1.mlp.sn2,28055961,265420800,0.10570370144314237,14433759634.968866,1525701819.1568286,28055961,25.2503649,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.attn_sn,0,74649600,0.0,4059494897.334994,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.proj_sn,19411652,74649600,0.26003691915294924,4059494897.334994,1055618546.4201097,19411652,17.4704868,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn2_q,201440,2332800,0.0863511659807956,126859215.54171856,10954441.177436465,201440,0.020144000000000002,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn_k,11078384,74649600,0.1484051354595336,4059494897.334994,602449890.1362852,11078384,1.1078384,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.attn.sn_q,9683946,74649600,0.12972535686728395,4059494897.334994,526619424.2577003,9683946,0.9683946,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.sn1,23088236,66355200,0.3479491584683642,3608439908.7422166,1255553629.6305153,23088236,20.7794124,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.2.mlp.sn2,68239874,265420800,0.2571007019796489,14433759634.968866,3710929734.3560166,68239874,61.41588659999999,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.attn_sn,0,74649600,0.0,4059494897.334994,0.0,0,0.0,logic
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.proj_sn,19594332,74649600,0.2624840856481481,4059494897.334994,1065552806.3202988,19594332,17.634898800000002,mac
sttmultires_unet.encoders.swin3d.layers.2.swin_blocks.3.attn.sn2_q,1,2332800,4.2866941015089163e-07,126859215.54171856,54.380665098473315,1,1.0000000000000001e-07,logic
