fixture,mode,stall,command,total_cycles,static_words,source_load_words,core_cycles,core_encoder_cycles,core_candidate_trials,core_mac_issues,core_base_reads,core_base_negations,core_reference_writes,core_choice_prev,core_choice_anchor,core_choice_neg1,core_choice_pos2,core_choice_neg2,core_range_rejects,consumer_cycles,consumer_join_wait_cycles,consumer_output_stalls
real_4,1,1,1,16464,0,1536,14304,176,48,2580,12,0,12,3,1,0,0,0,0,14310,10655,270
real_4,2,0,0,17198,1848,1536,13804,344,132,2580,12,0,12,3,1,0,0,0,0,13810,10425,0
real_4,2,0,1,15350,0,1536,13804,344,132,2580,12,0,12,3,1,0,0,0,0,13810,10425,0
real_4,2,1,0,18634,1848,1536,14472,344,132,2580,12,0,12,3,1,0,0,0,0,14478,10822,271
real_4,2,1,1,16629,0,1536,14469,344,132,2580,12,0,12,3,1,0,0,0,0,14475,10821,269
real_5,0,0,0,14974,1848,1536,11580,0,0,1524,0,0,0,0,0,0,0,0,0,11586,8201,0
real_5,0,0,1,13126,0,1536,11580,0,0,1524,0,0,0,0,0,0,0,0,0,11586,8201,0
real_5,0,1,0,16362,1848,1536,12199,0,0,1524,0,0,0,0,0,0,0,0,0,12206,8550,271
real_5,0,1,1,14359,0,1536,12199,0,0,1524,0,0,0,0,0,0,0,0,0,12205,8549,271
real_5,1,0,0,15086,1848,1536,11692,112,16,1524,0,0,0,0,0,0,0,0,0,11698,8313,0
real_5,1,0,1,13238,0,1536,11692,112,16,1524,0,0,0,0,0,0,0,0,0,11698,8313,0
real_5,1,1,0,16472,1848,1536,12309,112,16,1524,0,0,0,0,0,0,0,0,0,12316,8661,270
real_5,1,1,1,14469,0,1536,12309,112,16,1524,0,0,0,0,0,0,0,0,0,12315,8661,269
real_5,2,0,0,15170,1848,1536,11776,196,58,1524,0,0,0,0,0,0,0,0,0,11782,8397,0
real_5,2,0,1,13322,0,1536,11776,196,58,1524,0,0,0,0,0,0,0,0,0,11782,8397,0
real_5,2,1,0,16559,1848,1536,12397,196,58,1524,0,0,0,0,0,0,0,0,0,12403,8747,271
real_5,2,1,1,14557,0,1536,12394,196,58,1524,0,0,0,0,0,0,0,0,0,12403,8748,270
real_6,0,0,0,22530,1848,1536,19136,0,0,3612,0,0,0,0,0,0,0,0,0,19142,15757,0
real_6,0,0,1,20682,0,1536,19136,0,0,3612,0,0,0,0,0,0,0,0,0,19142,15757,0
real_6,0,1,0,24102,1848,1536,19939,0,0,3612,0,0,0,0,0,0,0,0,0,19946,16293,268
real_6,0,1,1,22099,0,1536,19939,0,0,3612,0,0,0,0,0,0,0,0,0,19945,16289,271
real_6,1,0,0,22686,1848,1536,19292,216,68,3552,0,0,0,5,0,0,0,0,0,19298,15913,0
real_6,1,0,1,20838,0,1536,19292,216,68,3552,0,0,0,5,0,0,0,0,0,19298,15913,0
real_6,1,1,0,24252,1848,1536,20089,216,68,3552,0,0,0,5,0,0,0,0,0,20096,16443,268
real_6,1,1,1,22257,0,1536,20094,216,68,3552,0,0,0,5,0,0,0,0,0,20103,16447,271
real_6,2,0,0,22902,1848,1536,19508,432,176,3552,0,0,0,5,0,0,0,0,0,19514,16129,0
real_6,2,0,1,21054,0,1536,19508,432,176,3552,0,0,0,5,0,0,0,0,0,19514,16129,0
real_6,2,1,0,24472,1848,1536,20309,432,176,3552,0,0,0,5,0,0,0,0,0,20316,16662,269
real_6,2,1,1,22467,0,1536,20306,432,176,3552,0,0,0,5,0,0,0,0,0,20313,16658,270
